dataset,table,type,error,status
deprecated,fct_zl_price_volatility_daily_legacy_20251009T114922,VIEW,"404 Not found: Table cbi-v14:curated.fct_zl_price_volatility_daily was not found in location us-central1

Location: us-central1
Job ID: 23e30e34-98f1-4e5a-a26f-c0a24a0944f6
",ERROR
forecasting_data_warehouse,vw_scrapecreator_economic_proxy,VIEW,"404 Not found: Table cbi-v14:forecasting_data_warehouse.scrapecreator_intelligence_raw was not found in location us-central1

Location: us-central1
Job ID: 2b54745e-d57a-4c36-9061-39064875de27
",ERROR
forecasting_data_warehouse,vw_scrapecreator_policy_signals,VIEW,"404 Not found: Table cbi-v14:forecasting_data_warehouse.scrapecreator_intelligence_raw was not found in location us-central1

Location: us-central1
Job ID: 8c47bfc9-1c6b-4db2-9254-be8b840fc5bf
",ERROR
forecasting_data_warehouse,vw_scrapecreator_price_proxy,VIEW,"404 Not found: Table cbi-v14:forecasting_data_warehouse.scrapecreator_intelligence_raw was not found in location us-central1

Location: us-central1
Job ID: e3e23031-c2a0-42a7-9c36-49d87fe96a03
",ERROR
forecasting_data_warehouse,vw_scrapecreator_weather_proxy,VIEW,"404 Not found: Table cbi-v14:forecasting_data_warehouse.scrapecreator_intelligence_raw was not found in location us-central1

Location: us-central1
Job ID: 3acb433b-89dc-471c-8cb9-93630f48c0dd
",ERROR
models,training_dataset_enriched,VIEW,"400 Duplicate column name 'news_total_articles' in definition of view 'cbi-v14.models.training_dataset_enriched'

Location: us-central1
Job ID: 04fd0670-c44e-4020-a2f4-fa3d96c51f87
",ERROR
models_v4,enhanced_features_automl,VIEW,"400 Unrecognized name: vix_level; failed to parse view 'cbi-v14.models_v4.enhanced_features_automl' at [3:15]

Location: us-central1
Job ID: c2bc9e10-6a0b-487c-921a-dd4a676bb4f0
",ERROR
models_v4,predict_frame,VIEW,"400 Column target_1w in SELECT * EXCEPT list does not exist; failed to parse view 'cbi-v14.models_v4.predict_frame' at [7:19]

Location: us-central1
Job ID: 16695929-44b6-4733-82ef-48c0d25e1b4e
",ERROR
models_v4,train_1m,VIEW,"400 Unrecognized name: target_1m; failed to parse view 'cbi-v14.models_v4.train_1m' at [4:7]

Location: us-central1
Job ID: 520f6664-5fae-4c5f-a49e-b008a8bb6811
",ERROR
models_v4,train_1w,VIEW,"400 Unrecognized name: target_1w; failed to parse view 'cbi-v14.models_v4.train_1w' at [4:7]

Location: us-central1
Job ID: f491d957-f0bd-40c8-9d9d-76039ba3e342
",ERROR
models_v4,train_3m,VIEW,"400 Unrecognized name: target_3m; failed to parse view 'cbi-v14.models_v4.train_3m' at [4:7]

Location: us-central1
Job ID: 5e5ee9f1-3a99-43b9-afc2-83d1848f928e
",ERROR
models_v4,train_6m,VIEW,"400 Unrecognized name: target_6m; failed to parse view 'cbi-v14.models_v4.train_6m' at [4:7]

Location: us-central1
Job ID: c9c95258-0b57-484b-bf08-5a637f6ce60a
",ERROR
models_v4,training_dataset_1m_filtered,VIEW,"400 Unrecognized name: target_1m; failed to parse view 'cbi-v14.models_v4.training_dataset_1m_filtered' at [3:11]

Location: us-central1
Job ID: 4db8d638-72d6-495b-b060-d8e5c83b51f3
",ERROR
models_v4,training_dataset_3m_filtered,VIEW,"400 Unrecognized name: target_3m; failed to parse view 'cbi-v14.models_v4.training_dataset_3m_filtered' at [3:11]

Location: us-central1
Job ID: 8a1144df-eb22-409d-a8eb-d00b0e76954d
",ERROR
models_v4,training_dataset_6m_filtered,VIEW,"400 Unrecognized name: target_6m; failed to parse view 'cbi-v14.models_v4.training_dataset_6m_filtered' at [3:11]

Location: us-central1
Job ID: fb7113ec-88f0-44b0-97fa-b4f29638fd2a
",ERROR
models_v4,vw_temporal_engineered,VIEW,"404 Not found: Table cbi-v14:models_v4.training_dataset_clean was not found in location us-central1

Location: us-central1
Job ID: cb6e5fd8-7701-49e4-8f3d-8c4914c82325
",ERROR
signals,vw_comprehensive_signal_universe,VIEW,"404 Not found: Table cbi-v14:forecasting_data_warehouse.ice_enforcement_intelligence was not found in location us-central1

Location: us-central1
Job ID: 43b50034-9b1a-4368-93f2-e75b178ac7a9
",ERROR
signals,vw_geopolitical_aggregates_comprehensive_daily,VIEW,"404 Not found: Table cbi-v14:forecasting_data_warehouse.ice_enforcement_intelligence was not found in location us-central1

Location: us-central1
Job ID: 8ae041ee-714c-4ddc-9441-bc8c31d6cd95
",ERROR
signals,vw_sentiment_price_correlation,VIEW,"400 Unrecognized name: avg_sentiment; failed to parse view 'cbi-v14.signals.vw_sentiment_price_correlation' at [7:11]

Location: us-central1
Job ID: 58893271-9562-4b31-9d57-12128e9b03bf
",ERROR
