feature,importance
zl_price_current,0.7990558385889878
palm_price,0.10365628024899595
yoy_change,0.013884221412170617
fx_usd_myr_ma7,0.005435692644707494
corr_zl_dxy_365d,0.004778759072379184
zl_price_lag30,0.0043124303707276586
days_to_next_event,0.004022337884072352
volatility_30d,0.004020465823426682
corr_zl_corn_365d,0.004006528791887818
dxy_level,0.003727206557053264
crush_spread_momentum_7d,0.0033398859154958015
corr_zl_palm_90d,0.003224297163433744
corr_zl_palm_180d,0.0029666491513396097
corr_zl_crude_90d,0.002611019424144702
corr_zl_palm_30d,0.0023541515011938578
corr_zl_corn_30d,0.002174937164015401
crush_spread_percentile_365d,0.0019467946053920938
crush_spread_volatility_30d,0.0018799087960038536
bean_price_per_bushel,0.0016968985182377117
zl_volume,0.0016950315503775008
brazil_month,0.0016944955216960352
corn_price,0.0016912172453042186
corr_zl_palm_365d,0.0015410604416674458
corr_zl_vix_30d,0.0013545821966100124
corr_palm_crude_30d,0.001247742178355126
corr_zl_dxy_30d,0.0011926369334953116
corr_zl_wheat_7d,0.001158355031525217
feature_vix_stress,0.001135298800502704
crush_spread_gross,0.001113446235550371
corr_zl_vix_180d,0.001050031606822688
corr_zl_dxy_180d,0.0010161773898293147
corr_corn_wheat_30d,0.000987989667155879
crude_price,0.0009263534547738778
feature_harvest_pace,0.0009007188655223088
corr_zl_vix_90d,0.000900147427468709
corr_zl_crude_180d,0.0007626059368554297
vix_level,0.0006557107178325717
fx_usd_brl,0.0006209315945184071
corr_zl_crude_30d,0.0006070810445829301
wheat_price,0.0005279071604875705
corr_zl_corn_90d,0.0005274726742218409
corr_zl_crude_365d,0.0005176817764137408
meal_price_per_ton,0.000508772947056819
corr_zl_wheat_30d,0.0004915230337417947
corr_zl_dxy_90d,0.00048182908424770714
fx_usd_cny_ma7,0.00047047688364586747
corr_zl_corn_7d,0.0004215640188558495
corr_zl_vix_365d,0.00038485447286142223
corr_zl_palm_7d,0.0003544171591159426
export_capacity_index,0.0003401607851597038
corr_zl_dxy_7d,0.00033646390386103377
return_7d,0.00030034045707349604
fx_usd_myr,0.00028832466527329057
dxy_momentum_3d,0.00024081907360853404
corr_zl_crude_7d,0.00023659711252332842
big8_composite_score,0.00022130015464987164
return_1d,0.00020709403945649916
fx_usd_cny,0.00019876570735384436
feature_hidden_correlation,0.00018868334626484686
fx_usd_cny_pct_change,0.00018570866300000017
corr_zl_vix_7d,0.00018320988879917221
fx_usd_brl_pct_change,0.00012468367553782097
fx_usd_myr_pct_change,0.00011830220240053945
vix_lag1,0.0001099268338291241
seasonal_index,0.00010913119347706969
fx_usd_ars_pct_change,9.191425924258323e-05
brazil_temp_7d_ma,8.801422039688854e-05
palm_lag3,6.981814255930965e-05
palm_accuracy_30d,6.93542417028765e-05
brazil_temperature_c,5.96512938597177e-05
weather_us_temp,3.5452535999913106e-05
day_of_week,3.403618315576258e-05
crude_momentum_2d,3.223955546263771e-05
feature_biofuel_cascade,1.5336247007195263e-05
max_sentiment,1.49413725254968e-05
palm_momentum_3d,1.2310134983641205e-05
sentiment_ma30,1.0687665660299022e-05
total_engagement_score,8.455229164292163e-06
event_vol_mult,7.765954900293048e-06
labor_mentions,6.326492485313348e-06
weather_argentina_temp,5.8453950752759e-06
volatility_multiplier,3.224448819265351e-06
total_comments,3.084243028628545e-06
harvest_pressure,2.1051493801851584e-06
china_mentions,1.4552001896357654e-06
crude_accuracy_30d,1.2771849411175941e-06
sentiment_change_7d,1.143250889960333e-06
sentiment_lag7,1.0011672223485972e-06
tension_index,9.132944163175486e-07
china_sentiment_30d_ma,8.769599785022156e-07
export_seasonality_factor,6.317736063871091e-07
sentiment_lag1,8.078283604607797e-08
sentiment_change_1d,6.529511244532862e-08
avg_sentiment,6.393836923643973e-08
trade_war_intensity,0.0
trumpxi_volatility_30d_ma,0.0
china_sentiment,0.0
extreme_positive,0.0
china_mentions_policy,0.0
tariff_mentions,0.0
trump_order_mentions,0.0
extreme_negative,0.0
