Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-03,6426,6445,6159,6190,-291.,-4.49%,18588,0
2025-10-02,6666,6706,6420,6481,-194.,-2.91%,13361,47189
2025-10-01,6731,6821,6666,6675,-74.,-1.10%,9913,46075
2025-09-30,6955,6970,6682,6749,-249.,-3.56%,13489,45875
2025-09-29,6923,7078,6912,6998,90,+1.30%,7135,45786
2025-09-26,6909,6970,6850,6908,-17.,-0.25%,5691,45427
2025-09-25,7020,7130,6870,6925,-123.,-1.75%,8985,45264
2025-09-24,6979,7142,6960,7048,56,+0.80%,8456,44647
2025-09-23,6901,7086,6834,6992,33,+0.47%,10764,44854
2025-09-22,7230,7230,6914,6959,-284.,-3.92%,13678,44981
2025-09-19,7225,7292,7196,7243,10,+0.14%,5832,44663
2025-09-18,7340,7350,7208,7233,-152.,-2.06%,7401,45052
2025-09-17,7355,7455,7323,7385,14,+0.19%,6450,45431
2025-09-16,7605,7644,7347,7371,-273.,-3.57%,9156,45452
2025-09-15,7420,7690,7380,7644,224,+3.02%,8472,45905
2025-09-12,7547,7600,7375,7420,-108.,-1.43%,9125,46020
2025-09-11,7476,7640,7343,7528,60,+0.80%,8804,46173
2025-09-10,7367,7530,7296,7468,73,+0.99%,5368,45954
2025-09-09,7231,7580,7167,7395,160,+2.21%,10897,45805
2025-09-08,7470,7485,7203,7235,-236.,-3.16%,10010,45599
2025-09-05,7404,7490,7346,7471,72,+0.97%,7856,45286
2025-09-04,7644,7671,7380,7399,-270.,-3.52%,8295,45779
2025-09-03,7554,7750,7474,7669,123,+1.63%,7175,46565
2025-09-02,7710,7799,7332,7546,-164.,-2.13%,11418,46846
2025-08-29,7794,7813,7628,7710,-103.,-1.32%,6086,47081
2025-08-28,7831,7865,7686,7813,-34.,-0.43%,4356,46790
2025-08-27,7639,7900,7619,7847,234,+3.07%,7690,46757
2025-08-26,7964,7968,7579,7613,-411.,-5.12%,8000,47492
2025-08-25,7800,8050,7689,8024,243,+3.12%,5601,47499
2025-08-22,7631,7961,7479,7781,131,+1.71%,10742,47535
2025-08-21,7947,7978,7570,7650,-205.,-2.61%,10742,47816
2025-08-20,8152,8230,7731,7855,-323.,-3.95%,14131,47997
2025-08-19,8237,8340,8035,8178,-6.,-0.07%,8393,48029
2025-08-18,8302,8500,8135,8184,-94.,-1.14%,10953,48450
2025-08-15,8229,8369,8129,8278,7,+0.08%,8182,49590
2025-08-14,8529,8538,8214,8271,-287.,-3.35%,12186,50169
2025-08-13,8661,8750,8409,8558,-110.,-1.27%,14071,50497
2025-08-12,8414,8796,8393,8668,224,+2.65%,20261,49453
2025-08-11,8133,8823,8133,8444,466,+5.84%,20670,45661
2025-08-08,8091,8199,7952,7978,-83.,-1.03%,13399,43844
2025-08-07,7749,8099,7700,8061,224,+2.86%,16286,41322
2025-08-06,7750,7849,7657,7837,87,+1.12%,10513,38038
2025-08-05,7476,7799,7365,7750,279,+3.73%,9691,36355
2025-08-04,7538,7538,7319,7471,-83.,-1.10%,10284,34252
2025-08-01,7750,7820,7507,7554,-187.,-2.42%,8677,33841
2025-07-31,7496,7808,7480,7741,248,+3.31%,6920,33414
2025-07-30,7564,7762,7459,7493,-16.,-0.21%,5598,32963
2025-07-29,7702,7850,7448,7509,-181.,-2.35%,11162,32880
2025-07-28,7549,7766,7356,7690,133,+1.76%,7655,32242
2025-07-25,7480,7600,7375,7557,81,+1.08%,5916,32099
2025-07-24,7735,7831,7438,7476,-240.,-3.11%,5830,32005
2025-07-23,7507,7754,7457,7716,203,+2.70%,5762,31310
2025-07-22,7339,7546,7320,7513,89,+1.20%,6593,30860
2025-07-21,7060,7500,7020,7424,303,+4.26%,7465,31148
2025-07-18,6884,7149,6816,7121,358,+5.29%,6204,30672
2025-07-17,7000,7006,6700,6763,-363.,-5.09%,11250,30702
2025-07-16,7285,7309,7090,7126,-176.,-2.41%,8625,30408
2025-07-15,7496,7521,7229,7302,-266.,-3.51%,6642,29761
2025-07-14,7431,7595,7410,7568,117,+1.57%,3807,29542
2025-07-11,7394,7517,7351,7451,50,+0.68%,5681,29626
2025-07-10,7580,7718,7394,7401,-275.,-3.58%,5444,29076
2025-07-09,7549,7709,7512,7676,165,+2.20%,5344,28742
2025-07-08,7697,7844,7464,7511,-147.,-1.92%,7023,28633
2025-07-07,7594,7757,7429,7658,64,+0.84%,6390,28076
2025-07-03,7711,7744,7400,7594,-76.,-0.99%,7765,27294
2025-07-02,7814,7939,7648,7670,-104.,-1.34%,4681,26612
2025-07-01,8253,8257,7755,7774,-525.,-6.33%,9580,26308
2025-06-30,8259,8393,8157,8299,30,+0.36%,2948,26081
2025-06-27,8350,8558,8249,8269,-66.,-0.79%,4864,26217
2025-06-26,8123,8400,8060,8335,280,+3.48%,4226,25958
2025-06-25,8100,8228,7999,8055,-27.,-0.33%,3124,25754
2025-06-24,7950,8130,7867,8082,157,+1.98%,3806,25682
2025-06-23,7589,7949,7546,7925,334,+4.40%,5112,25449
2025-06-20,7944,7944,7467,7591,-536.,-6.60%,9853,25925
2025-06-18,8434,8488,8010,8127,-310.,-3.67%,4742,25793
2025-06-17,8569,8612,8422,8437,-85.,-1.00%,4742,25553
2025-06-16,8368,8579,8236,8522,189,+2.27%,4639,25616
2025-06-13,8539,8579,8326,8333,-213.,-2.49%,3108,25711
2025-06-12,8443,8584,8399,8546,85,+1.00%,3596,25478
2025-06-11,8414,8519,8236,8461,54,+0.64%,3464,24994
2025-06-10,8810,8826,8350,8407,-351.,-4.01%,4700,24577
2025-06-09,8631,8829,8500,8758,-5.,-0.06%,3412,25221
2025-06-06,8630,8900,8529,8763,195,+2.28%,4888,24922
2025-06-05,8460,8619,8422,8568,2,+0.02%,3678,24315
2025-06-04,8491,8613,8320,8566,79,+0.93%,4241,23923
2025-06-03,8330,8531,8179,8487,197,+2.38%,4043,24077
2025-06-02,8379,8672,8222,8290,-264.,-3.09%,4823,23754
2025-05-30,8209,8585,8209,8554,435,+5.36%,4475,23446
2025-05-29,8577,8577,8097,8119,-503.,-5.83%,7356,23660
2025-05-28,8770,8773,8509,8622,-129.,-1.47%,4809,23480
2025-05-27,8774,9073,8736,8751,-3.,-0.03%,5680,24315
2025-05-23,9298,9392,8655,8754,-518.,-5.59%,7226,24791
