Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-03,65.1,65.74,64.82,65.3,0.21,+0.32%,23678,0
2025-10-02,65.63,65.93,65.03,65.09,-0.5,-0.76%,21170,168843
2025-10-01,65.74,65.9,64.7,65.59,-0.18,-0.27%,33054,168391
2025-09-30,65.45,65.99,65.25,65.77,0.27,+0.41%,31202,170250
2025-09-29,66.3,66.62,65.4,65.5,-0.9,-1.36%,29657,167652
2025-09-26,66.21,66.44,66.05,66.4,0.12,+0.18%,16371,166742
2025-09-25,66.16,66.36,66.06,66.28,0.11,+0.17%,16552,165485
2025-09-24,66.6,66.69,66.05,66.17,-0.47,-0.71%,16853,163107
2025-09-23,66.2,67.02,66.03,66.64,0.42,+0.63%,23470,160902
2025-09-22,66.35,66.51,66.11,66.22,-0.07,-0.11%,18560,160524
2025-09-19,66.9,67.04,66.27,66.29,-0.61,-0.91%,16429,158861
2025-09-18,67.21,67.31,66.56,66.9,-0.35,-0.52%,22760,155885
2025-09-17,67.66,67.84,67.09,67.25,-0.43,-0.64%,23215,154943
2025-09-16,66.8,67.72,66.68,67.68,0.84,+1.26%,26209,157713
2025-09-15,66.8,66.93,66.46,66.84,0.01,+0.01%,12715,158846
2025-09-12,66.74,66.92,66.32,66.83,0.11,+0.16%,15062,158745
2025-09-11,66.74,67,66.3,66.72,0.05,+0.07%,20177,158736
2025-09-10,66.46,67.1,66.43,66.67,0.21,+0.32%,19613,159409
2025-09-09,66.25,66.57,66.15,66.46,0.25,+0.38%,15020,163333
2025-09-08,66.09,66.44,65.91,66.21,0.18,+0.27%,13703,164819
2025-09-05,66.21,66.33,65.83,66.03,-0.17,-0.26%,13491,165339
2025-09-04,66.25,66.59,65.82,66.2,-0.01,-0.02%,15197,164556
2025-09-03,66.28,66.43,65.83,66.21,0.16,+0.24%,13765,163796
2025-09-02,66.63,66.86,65.8,66.05,-0.49,-0.74%,30304,162314
2025-08-29,67.3,67.5,66.51,66.54,-0.76,-1.13%,21756,157837
2025-08-28,66.68,67.59,66.6,67.3,0.62,+0.93%,13491,155601
2025-08-27,66.66,66.88,66.55,66.68,-0.03,-0.04%,15865,155670
2025-08-26,67.38,67.5,66.61,66.71,-0.61,-0.91%,22270,152995
2025-08-25,68,68.2,67.3,67.32,-0.69,-1.01%,17619,151254
2025-08-22,67.44,68.3,67.3,68.01,0.59,+0.88%,15500,151699
2025-08-21,67.51,67.85,67.22,67.42,-0.18,-0.27%,15500,153554
2025-08-20,67.51,67.9,67.36,67.6,0.04,+0.06%,12594,153591
2025-08-19,67.77,68,67.25,67.56,-0.25,-0.37%,20997,153685
2025-08-18,67.35,68,67.32,67.81,0.27,+0.40%,17888,153715
2025-08-15,67.56,67.68,67.22,67.54,-0.14,-0.21%,22669,154218
2025-08-14,67.7,68,67.41,67.68,-0.05,-0.07%,18022,154300
2025-08-13,68.4,68.5,67.51,67.73,-0.66,-0.97%,37219,155307
2025-08-12,66.82,68.47,66.73,68.39,1.63,+2.44%,42160,160267
2025-08-11,66.55,67.19,66.55,66.76,0.16,+0.24%,21101,160378
2025-08-08,66.42,66.72,65.88,66.6,0.17,+0.26%,23738,161432
2025-08-07,66.89,67.44,66.36,66.43,-0.41,-0.61%,22669,159736
2025-08-06,67.16,67.72,66.8,66.84,-0.27,-0.40%,18121,160417
2025-08-05,66.61,67.44,66.51,67.11,0.47,+0.71%,20304,162583
2025-08-04,66.36,67.16,66.36,66.64,0.28,+0.42%,28591,161781
2025-08-01,67.3,67.41,66.34,66.36,-0.89,-1.32%,33536,161976
2025-07-31,67.73,67.85,67.16,67.25,-0.25,-0.37%,23738,157336
2025-07-30,67.7,67.75,67.15,67.5,-0.17,-0.25%,19975,156327
2025-07-29,68.35,68.5,67.57,67.67,-0.67,-0.98%,25439,155838
