Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-03,1.9,1.9,1.9,1.9,-0.0125,-0.65%,1760,0
2025-10-02,1.9125,1.9125,1.9125,1.9125,-0.0075,-0.39%,1998,9424
2025-10-01,1.92,1.92,1.92,1.92,0.06,+3.23%,1830,9810
2025-09-30,1.86,1.86,1.86,1.86,-0.025,-1.33%,1391,9709
2025-09-29,1.8875,1.8875,1.885,1.885,0.015,+0.80%,1830,9444
2025-09-26,1.87,1.87,1.87,1.87,0,0.00%,1127,9083
2025-09-25,1.87,1.87,1.87,1.87,0.02,+1.08%,1484,8905
2025-09-24,1.85,1.85,1.85,1.85,0.0475,+2.64%,1721,8936
2025-09-23,1.8025,1.8025,1.8025,1.8025,0,0.00%,1733,8379
2025-09-22,1.8025,1.8025,1.8025,1.8025,-0.0275,-1.50%,1367,7885
2025-09-19,1.83,1.83,1.83,1.83,-0.01,-0.54%,2089,7424
2025-09-18,1.84,1.84,1.84,1.84,-0.035,-1.87%,1467,7727
2025-09-17,1.875,1.875,1.875,1.875,-0.01,-0.53%,2260,7379
2025-09-16,1.885,1.885,1.885,1.885,0.02,+1.07%,1175,6561
2025-09-15,1.865,1.865,1.865,1.865,0.005,+0.27%,1123,6372
2025-09-12,1.86,1.86,1.86,1.86,0.045,+2.48%,753,6168
2025-09-11,1.815,1.815,1.815,1.815,0.035,+1.97%,1468,6071
2025-09-10,1.78,1.78,1.775,1.78,-0.015,-0.84%,1376,5959
2025-09-09,1.795,1.795,1.795,1.795,-0.015,-0.83%,1228,6112
2025-09-08,1.81,1.81,1.81,1.81,0,0.00%,409,5736
2025-09-05,1.81,1.81,1.81,1.81,-0.015,-0.82%,1155,5529
2025-09-04,1.825,1.825,1.825,1.825,-0.0275,-1.48%,1128,5559
2025-09-03,1.8525,1.8525,1.8525,1.8525,-0.0325,-1.72%,841,5809
2025-09-02,1.885,1.885,1.885,1.885,0.06,+3.29%,915,5930
2025-08-29,1.825,1.825,1.825,1.825,0.065,+3.69%,1160,0
2025-08-28,1.76,1.76,1.76,1.76,0.0325,+1.88%,1160,4974
2025-08-27,1.7275,1.7275,1.7275,1.7275,0.0275,+1.62%,1975,4964
2025-08-26,1.7,1.7,1.7,1.7,-0.0175,-1.02%,493,4610
2025-08-25,1.7175,1.7175,1.7175,1.7175,0,0.00%,437,4485
2025-08-22,1.7175,1.7175,1.7175,1.7175,0.04,+2.38%,1396,4383
2025-08-21,1.6775,1.6775,1.6775,1.6775,0.0175,+1.05%,2519,4383
2025-08-20,1.66,1.66,1.66,1.66,0.03,+1.84%,1499,4334
2025-08-19,1.63,1.63,1.63,1.63,-0.0225,-1.36%,239,3846
2025-08-18,1.6525,1.6525,1.6525,1.6525,0.005,+0.30%,1110,3709
2025-08-15,1.6475,1.6475,1.6475,1.6475,0.025,+1.54%,174,3419
2025-08-14,1.6225,1.6225,1.6225,1.6225,-0.0125,-0.76%,200,3324
2025-08-13,1.635,1.635,1.635,1.635,0.015,+0.93%,218,3154
2025-08-12,1.62,1.62,1.62,1.62,-0.045,-2.70%,461,3201
2025-08-11,1.665,1.665,1.665,1.665,0.0025,+0.15%,340,3134
2025-08-08,1.6625,1.6625,1.6625,1.6625,0.0075,+0.45%,1429,3084
2025-08-07,1.655,1.655,1.655,1.655,0.0075,+0.46%,1059,3198
2025-08-06,1.6475,1.6475,1.6475,1.6475,0.0075,+0.46%,845,2586
2025-08-05,1.64,1.64,1.64,1.64,-0.01,-0.61%,552,2573
2025-08-04,1.65,1.65,1.65,1.65,-0.0025,-0.15%,230,2610
2025-08-01,1.6525,1.6525,1.6525,1.6525,0.0075,+0.46%,389,2555
2025-07-31,1.645,1.645,1.645,1.645,0.0025,+0.15%,2478,2558
2025-07-30,1.6425,1.6425,1.6425,1.6425,0,0.00%,641,2528
2025-07-29,1.6425,1.6425,1.6425,1.6425,-0.015,-0.90%,35,2153
2025-07-28,1.6575,1.6575,1.6575,1.6575,-0.01,-0.60%,80,2153
2025-07-25,1.6675,1.6675,1.6675,1.6675,-0.0025,-0.15%,542,2118
2025-07-24,1.67,1.67,1.67,1.67,0.0075,+0.45%,165,2082
2025-07-23,1.6625,1.6625,1.6625,1.6625,-0.0275,-1.63%,100,2031
2025-07-22,1.69,1.69,1.69,1.69,0.0075,+0.45%,440,1996
2025-07-21,1.6825,1.6825,1.6825,1.6825,0,0.00%,490,2101
2025-07-18,1.6825,1.6825,1.6825,1.6825,0.0225,+1.36%,185,2094
2025-07-17,1.66,1.66,1.66,1.66,0.015,+0.91%,707,2094
2025-07-16,1.645,1.645,1.645,1.645,0.01,+0.61%,355,2059
2025-07-15,1.635,1.635,1.635,1.635,-0.005,-0.30%,424,1939
2025-07-14,1.64,1.64,1.64,1.64,0.02,+1.23%,71,1812
2025-07-11,1.62,1.62,1.62,1.62,-0.005,-0.31%,176,1776
2025-07-10,1.625,1.625,1.625,1.625,0,0.00%,255,1797
2025-07-09,1.625,1.625,1.625,1.625,0,0.00%,565,1621
2025-07-08,1.625,1.625,1.625,1.625,0.0125,+0.78%,320,1711
2025-07-07,1.6125,1.6125,1.6125,1.6125,-0.0275,-1.68%,5,1541
2025-07-03,1.64,1.64,1.64,1.64,0.015,+0.92%,97,1541
2025-07-02,1.625,1.625,1.625,1.625,0.015,+0.93%,45,1546
2025-07-01,1.61,1.61,1.61,1.61,0.0075,+0.47%,70,1521
2025-06-30,1.6025,1.6025,1.6025,1.6025,-0.0075,-0.47%,333,1491
2025-06-27,1.61,1.61,1.61,1.61,0.0225,+1.42%,246,1761
2025-06-26,1.5875,1.5875,1.5875,1.5875,0.01,+0.63%,356,1960
2025-06-25,1.5775,1.5775,1.5775,1.5775,-0.0025,-0.16%,598,2020
2025-06-24,1.58,1.58,1.58,1.58,-0.01,-0.63%,245,1547
2025-06-23,1.59,1.59,1.59,1.59,-0.0125,-0.78%,163,1418
2025-06-20,1.6025,1.6025,1.6025,1.6025,-0.0025,-0.16%,95,1290
2025-06-18,1.605,1.605,1.605,1.605,0.0025,+0.16%,118,1278
2025-06-17,1.6025,1.6025,1.6025,1.6025,0,0.00%,190,1241
2025-06-16,1.6025,1.6025,1.6025,1.6025,-0.01,-0.62%,74,1272
2025-06-13,1.6125,1.6125,1.6125,1.6125,0.015,+0.94%,111,1217
2025-06-12,1.5975,1.5975,1.5975,1.5975,-0.0025,-0.16%,95,1208
2025-06-11,1.6,1.6,1.6,1.6,-0.01,-0.62%,198,1183
2025-06-10,1.61,1.61,1.61,1.61,0.005,+0.31%,90,1065
2025-06-09,1.605,1.605,1.605,1.605,-0.02,-1.23%,167,1020
2025-06-06,1.625,1.625,1.625,1.625,-0.0025,-0.15%,28,998
2025-06-05,1.6275,1.6275,1.6275,1.6275,-0.0025,-0.15%,111,998
2025-06-04,1.63,1.63,1.63,1.63,-0.01,-0.61%,70,953
2025-06-03,1.64,1.64,1.64,1.64,-0.0125,-0.76%,60,998
2025-06-02,1.6525,1.6525,1.6525,1.6525,-0.005,-0.30%,20,1003
2025-05-30,1.6575,1.6575,1.6575,1.6575,0.0025,+0.15%,98,1003
2025-05-29,1.655,1.655,1.655,1.655,-0.02,-1.19%,20,1008
2025-05-28,1.675,1.675,1.675,1.675,-0.0275,-1.62%,37,988
2025-05-27,1.7025,1.7025,1.7025,1.7025,0.005,+0.29%,20,985
2025-05-23,1.6975,1.6975,1.6975,1.6975,-0.005,-0.29%,12,985
2025-05-22,1.7025,1.7025,1.7025,1.7025,-0.0075,-0.44%,30,975
2025-05-21,1.71,1.71,1.71,1.71,0.0175,+1.03%,19,958
2025-05-20,1.6925,1.6925,1.6925,1.6925,0.0125,+0.74%,92,958
2025-05-19,1.68,1.68,1.68,1.68,0.005,+0.30%,0,955
2025-05-16,1.675,1.675,1.675,1.675,0.005,+0.30%,105,955
2025-05-15,1.67,1.67,1.67,1.67,0.015,+0.91%,29,928
2025-05-14,1.655,1.655,1.655,1.655,0.0075,+0.46%,109,996
2025-05-13,1.6475,1.6475,1.6475,1.6475,-0.0075,-0.45%,170,928
2025-05-12,1.655,1.655,1.655,1.655,0.0025,+0.15%,34,782
2025-05-09,1.6525,1.6525,1.6525,1.6525,0.015,+0.92%,53,778
2025-05-08,1.6375,1.6375,1.6375,1.6375,0.0025,+0.15%,315,768
2025-05-07,1.635,1.635,1.635,1.635,-0.01,-0.61%,20,808
2025-05-06,1.645,1.645,1.645,1.645,-0.025,-1.50%,93,798
2025-05-05,1.67,1.67,1.67,1.67,-0.03,-1.76%,40,738
2025-05-02,1.7,1.7,1.7,1.7,0.0175,+1.04%,138,738
2025-05-01,1.6825,1.6825,1.6825,1.6825,-0.0125,-0.74%,123,738
2025-04-30,1.695,1.695,1.695,1.695,0.0025,+0.15%,25,814
2025-04-29,1.6925,1.6925,1.6925,1.6925,-0.0275,-1.60%,110,814
2025-04-28,1.72,1.72,1.72,1.72,0.005,+0.29%,65,749
2025-04-25,1.715,1.715,1.715,1.715,0.02,+1.18%,100,764
2025-04-24,1.695,1.695,1.695,1.695,0.02,+1.19%,301,764
2025-04-23,1.675,1.675,1.675,1.675,0,0.00%,30,732
2025-04-22,1.675,1.675,1.675,1.675,-0.0225,-1.33%,22,722
2025-04-21,1.6975,1.6975,1.6975,1.6975,-0.005,-0.29%,60,717
2025-04-17,1.7025,1.7025,1.7025,1.7025,0.0025,+0.15%,6,707
2025-04-16,1.7,1.7,1.7,1.7,-0.0125,-0.73%,23,707
2025-04-15,1.7125,1.7125,1.7125,1.7125,-0.01,-0.58%,63,697
2025-04-14,1.7225,1.7225,1.7225,1.7225,0,0.00%,25,650
2025-04-11,1.7225,1.7225,1.7225,1.7225,0.025,+1.47%,60,635
2025-04-10,1.6975,1.6975,1.6975,1.6975,0.005,+0.30%,50,600
2025-04-09,1.6925,1.6925,1.6925,1.6925,0.0075,+0.45%,25,600
2025-04-08,1.685,1.685,1.685,1.685,0.0075,+0.45%,25,600
2025-04-07,1.6775,1.6775,1.6775,1.6775,0.015,+0.90%,0,590
2025-04-04,1.6625,1.6625,1.6625,1.6625,-0.015,-0.89%,5,590
