Symbol,Name,Last,IV/HV,"Imp Vol","Long Term","Short Term","Med Term","Last Mth Signal","Last Wk Signal","Prev Signal",Signal
ZLZ28,"Soybean Oil",47.81,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV28,"Soybean Oil",48.42,0,0.00%,Hold,Sell,Sell,Sell,Sell,Sell,Sell
ZLN28,"Soybean Oil",48.43,0,0.00%,Hold,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ27,"Soybean Oil",48.54,0,0.00%,Hold,Sell,Sell,Sell,Sell,Sell,Sell
ZLV27,"Soybean Oil",48.64,0,0.00%,Hold,Sell,Sell,Sell,Sell,Sell,Sell
ZLU27,"Soybean Oil",48.92,0,0.00%,Hold,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ27,"Soybean Oil",49.22,0,0.00%,Hold,Sell,Sell,Sell,Sell,Sell,Sell
ZLN27,"Soybean Oil",49.5,0,0.00%,Hold,Sell,Sell,Buy,Sell,Sell,Sell
ZLK27,"Soybean Oil",49.64,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLH27,"Soybean Oil",49.75,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLF27,"Soybean Oil",49.88,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ26,"Soybean Oil",49.92,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV26,"Soybean Oil",50.02,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU26,"Soybean Oil",50.37,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ26,"Soybean Oil",50.68,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLN26,"Soybean Oil",51.01,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLK26,"Soybean Oil",51.02,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLH26,"Soybean Oil",50.83,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLF26,"Soybean Oil",50.43,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ25,"Soybean Oil",50.05,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV25,"Soybean Oil",49.43,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLU25,"Soybean Oil",51.38,0,0.00%,Hold,Hold,Sell,Hold,Sell,Sell,Sell
ZLQ25,"Soybean Oil",51.99,0,0.00%,Buy,Sell,Sell,Buy,Buy,Hold,Sell
ZLN25,"Soybean Oil",54.41,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK25,"Soybean Oil",51.62,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH25,"Soybean Oil",41,0,0.00%,Hold,Sell,Sell,Buy,Sell,Sell,Sell
ZLF25,"Soybean Oil",45.73,0,0.00%,Buy,Buy,Buy,Sell,Hold,Buy,Buy
ZLZ24,"Soybean Oil",42.28,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLV24,"Soybean Oil",42.16,0,0.00%,Sell,Sell,Sell,Sell,Buy,Buy,Sell
ZLU24,"Soybean Oil",40.69,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLQ24,"Soybean Oil",40.05,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLN24,"Soybean Oil",47.55,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLK24,"Soybean Oil",42.68,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLH24,"Soybean Oil",47.94,0,0.00%,Sell,Buy,Buy,Sell,Sell,Buy,Buy
ZLF24,"Soybean Oil",47.75,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ23,"Soybean Oil",49.28,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV23,"Soybean Oil",55.35,0,0.00%,Sell,Sell,Sell,Hold,Sell,Sell,Sell
ZLU23,"Soybean Oil",64.43,0,0.00%,Buy,Sell,Sell,Buy,Sell,Sell,Sell
ZLQ23,"Soybean Oil",66.32,0,0.00%,Buy,Sell,Buy,Buy,Buy,Buy,Buy
ZLN23,"Soybean Oil",67.89,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK23,"Soybean Oil",49.89,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLH23,"Soybean Oil",55.84,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLF23,"Soybean Oil",63.25,0,0.00%,Hold,Sell,Sell,Sell,Sell,Sell,Sell
ZLZ22,"Soybean Oil",66.31,0,0.00%,Hold,Sell,Sell,Buy,Sell,Sell,Sell
ZLV22,"Soybean Oil",69.57,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
ZLU22,"Soybean Oil",68.51,0,0.00%,Sell,Sell,Buy,Buy,Sell,Sell,Sell
ZLQ22,"Soybean Oil",71.97,0,0.00%,Hold,Buy,Buy,Sell,Hold,Buy,Buy
ZLN22,"Soybean Oil",59.8,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLK22,"Soybean Oil",88.34,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH22,"Soybean Oil",78.73,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLF22,"Soybean Oil",58.15,0,0.00%,Sell,Buy,Hold,Sell,Buy,Buy,Hold
ZLZ21,"Soybean Oil",52.01,0,0.00%,Sell,Sell,Sell,Sell,Sell,Sell,Sell
ZLV21,"Soybean Oil",59.94,0,0.00%,Sell,Sell,Buy,Sell,Buy,Sell,Sell
ZLU21,"Soybean Oil",56.68,0,0.00%,Sell,Sell,Sell,Buy,Sell,Sell,Sell
ZLQ21,"Soybean Oil",63.51,0,0.00%,Buy,Sell,Sell,Buy,Hold,Buy,Buy
ZLN21,"Soybean Oil",66.63,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLK21,"Soybean Oil",68.41,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLH21,"Soybean Oil",56.89,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLF21,"Soybean Oil",43.27,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLZ20,"Soybean Oil",40.11,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLV20,"Soybean Oil",33.72,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLU20,"Soybean Oil",34.28,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLQ20,"Soybean Oil",31.53,0,0.00%,Buy,Buy,Buy,Buy,Buy,Buy,Buy
ZLN20,"Soybean Oil",28.48,0,0.00%,Buy,Buy,Buy,Sell,Buy,Buy,Buy
