Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-03,420.75,423,418.5,419,-2.75,-0.65%,151547,0
2025-10-02,417.25,422.5,414.75,421.75,5.25,+1.26%,192896,806589
2025-10-01,415.75,419.5,410.5,416.5,1,+0.24%,285170,800920
2025-09-30,421.25,421.5,414,415.5,-6.,-1.42%,279177,796993
2025-09-29,421,422.75,418.75,421.5,-0.5,-0.12%,146154,802928
2025-09-26,425.25,425.75,421.25,422,-3.75,-0.88%,131813,807029
2025-09-25,423.75,428.25,423.5,425.75,1.5,+0.35%,146851,823224
2025-09-24,425,427.5,423.5,424.25,-2.,-0.47%,134256,819886
2025-09-23,421.75,426.5,418.75,426.25,4.5,+1.07%,145931,825997
2025-09-22,424,424.75,418.25,421.75,-2.25,-0.53%,189769,823431
2025-09-19,424,429.75,422.25,424,0.25,+0.06%,162409,834005
2025-09-18,426.5,428,423.5,423.75,-3.,-0.70%,113263,835078
2025-09-17,428.75,431.25,425.5,426.75,-2.75,-0.64%,146851,842604
2025-09-16,423,431.25,423,429.5,6.25,+1.48%,178779,840309
2025-09-15,426.25,428.5,422,423.25,-6.75,-1.57%,192792,832723
2025-09-12,419.75,430.25,417,430,10.25,+2.44%,363844,849543
2025-09-11,417,421.25,416.5,419.75,2.75,+0.66%,138704,851601
2025-09-10,419.25,420,416.75,417,-2.75,-0.66%,98507,847269
2025-09-09,420.75,422.5,419,419.75,-2.,-0.47%,116928,849058
2025-09-08,417,422.25,415,421.75,3.75,+0.90%,133439,848697
2025-09-05,420,424.75,417.25,418,-1.75,-0.42%,166147,852452
2025-09-04,418,421,414.25,419.75,1.75,+0.42%,153762,859314
2025-09-03,423,424.25,416.25,418,-5.,-1.18%,187053,861943
2025-09-02,418,423.5,414,423,2.75,+0.65%,246406,870263
2025-08-29,410,420.5,409.75,420.25,10.25,+2.50%,277558,871196
2025-08-28,406,411,403.5,410,4,+0.99%,208709,874978
2025-08-27,409.25,410,405.25,406,-3.5,-0.85%,204078,854543
2025-08-26,412,414.5,408.5,409.5,-2.75,-0.67%,266957,838348
2025-08-25,413,416.5,411.25,412.25,0.75,+0.18%,195064,834884
2025-08-22,411.75,413.5,409.75,411.5,-0.25,-0.06%,180162,832390
2025-08-21,403.5,413.75,403.25,411.75,7.75,+1.92%,256769,833839
2025-08-20,403.5,406,401.25,404,0.75,+0.19%,143806,819974
2025-08-19,406,406,401.5,403.25,-3.25,-0.80%,141707,819067
2025-08-18,404.5,408,401.25,406.5,1.25,+0.31%,167859,815847
2025-08-15,397.75,405.75,397,405.25,8,+2.01%,202741,797828
2025-08-14,397,399,392.5,397.25,0,0.00%,186631,797139
2025-08-13,394,398.5,393.5,397.25,2.75,+0.70%,249115,788739
2025-08-12,407.75,407.75,392,394.5,-13.25,-3.25%,418565,757435
2025-08-11,405,409.25,403,407.75,2.25,+0.55%,222153,719646
2025-08-08,406.75,411,404.25,405.5,-1.5,-0.37%,218129,714292
2025-08-07,401.5,408,401.25,407,5.75,+1.43%,209898,691777
2025-08-06,402,402,396.75,401.25,-0.75,-0.19%,188249,681657
2025-08-05,406,406.75,401.5,402,-5.,-1.23%,205896,682821
2025-08-04,411,412.75,406.75,407,-3.75,-0.91%,165950,677416
2025-08-01,413.25,416,410,410.75,-3.,-0.73%,137743,671118
2025-07-31,412,414.25,408.75,413.75,1.5,+0.36%,167472,669939
2025-07-30,411,414.5,410,412.25,1.25,+0.30%,148306,659207
2025-07-29,412.5,415,409.25,411,-3.,-0.72%,209242,652976
2025-07-28,419,419.75,412.75,414,-5.,-1.19%,160905,635882
2025-07-25,420.5,422,417.75,419,-1.75,-0.42%,92307,626580
2025-07-24,417.5,423,417.5,420.75,3.25,+0.78%,119505,624247
2025-07-23,418,420.25,415.75,417.5,-0.5,-0.12%,95249,617561
2025-07-22,423.25,424.75,416.75,418,-4.25,-1.01%,121714,611485
2025-07-21,425,427.75,420,422.25,-5.5,-1.29%,137079,602025
2025-07-18,421.5,430.25,421.5,427.75,6.75,+1.60%,156897,605616
2025-07-17,423.5,425.75,419.5,421,-3.,-0.71%,122209,602096
2025-07-16,419,425.75,418.75,424,4.25,+1.01%,186715,606235
2025-07-15,417.75,424,413,419.75,1.75,+0.42%,210298,607106
2025-07-14,410.5,418.75,407.5,418,5.75,+1.39%,213320,618846
2025-07-11,416,418,411.5,412.25,-4.25,-1.02%,157226,605999
2025-07-10,415,417,412.5,416.5,1,+0.24%,154046,595794
2025-07-09,414,416.5,411.75,415.5,1.25,+0.30%,201140,597278
2025-07-08,420.75,420.75,413.25,414.25,-6.5,-1.54%,229017,609269
2025-07-07,429.5,429.75,419.75,420.75,-16.25,-3.72%,211231,609193
2025-07-03,433,442.25,432.75,437,3.5,+0.81%,201521,604780
2025-07-02,422.25,434,417.5,433.5,11.5,+2.73%,192158,596646
2025-07-01,424,425,416.5,422,-3.5,-0.82%,179741,596378
2025-06-30,426.5,429.5,422.25,425.5,-1.5,-0.35%,201098,584946
2025-06-27,421.25,428,421.25,427,6,+1.43%,149154,589582
2025-06-26,422.25,426,419.25,421,-1.5,-0.36%,145061,576854
2025-06-25,429.25,430.5,421,422.5,-6.5,-1.52%,172212,571521
2025-06-24,434.25,434.5,428.5,429,-4.75,-1.10%,158223,567044
2025-06-23,444,444.25,433,433.75,-7.5,-1.70%,149672,562415
