Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-03,50.44,50.58,49.95,50.05,-0.39,-0.77%,41426,0
2025-10-02,50.42,50.75,49.98,50.44,0.02,+0.04%,68759,260956
2025-10-01,49.49,50.75,49.2,50.42,0.93,+1.88%,92060,261986
2025-09-30,49.59,49.83,49.31,49.49,-0.2,-0.40%,61266,272132
2025-09-29,50.25,50.25,49.41,49.69,-0.5,-1.00%,76168,270959
2025-09-26,50.27,50.62,49.89,50.19,-0.08,-0.16%,97265,277590
2025-09-25,49.75,50.54,49.5,50.27,0.43,+0.86%,90265,278901
2025-09-24,49.88,50.55,49.4,49.84,-0.04,-0.08%,91867,276963
2025-09-23,49.69,50.02,48.89,49.88,0.19,+0.38%,100882,270970
2025-09-22,50.62,50.77,49.36,49.69,-0.93,-1.84%,105729,269304
2025-09-19,51.17,51.34,50.56,50.62,-0.51,-1.00%,78232,266310
2025-09-18,51.83,51.97,51.02,51.13,-0.65,-1.26%,67823,267737
2025-09-17,53.2,53.39,51.73,51.78,-1.42,-2.67%,77978,265280
2025-09-16,52.28,53.88,52.2,53.2,0.94,+1.80%,103843,257861
2025-09-15,52.06,52.97,51.87,52.26,0.09,+0.17%,62857,261360
2025-09-12,51.58,52.52,51.34,52.17,0.57,+1.10%,81469,260528
2025-09-11,51.01,51.65,50.98,51.6,0.59,+1.16%,76014,256482
2025-09-10,50.58,51.05,50.02,51.01,0.53,+1.05%,97634,260779
2025-09-09,51.54,51.66,50.37,50.48,-0.99,-1.92%,84349,260451
2025-09-08,51.23,51.98,50.98,51.47,0.24,+0.47%,77112,255318
2025-09-05,51.98,52.2,51.17,51.23,-0.7,-1.35%,58300,255919
2025-09-04,52.01,52.02,51.12,51.93,0.09,+0.17%,66420,254956
2025-09-03,52.7,52.85,51.8,51.84,-0.82,-1.56%,62328,258285
2025-09-02,52.2,52.84,51.83,52.66,0.52,+1.00%,72167,255515
2025-08-29,52.39,52.5,51.68,52.14,-0.29,-0.55%,70110,252957
2025-08-28,53.15,53.2,52.2,52.43,-0.72,-1.35%,74681,255753
2025-08-27,53.48,53.73,52.77,53.15,-0.33,-0.62%,58591,257997
2025-08-26,54.85,54.94,53.01,53.48,-1.39,-2.53%,92445,257109
2025-08-25,55.29,55.72,54.81,54.87,-0.45,-0.81%,68869,258047
2025-08-22,53.85,55.98,51.83,55.32,1.45,+2.69%,188273,256994
2025-08-21,51.44,54.27,51.41,53.87,2.42,+4.70%,126974,257045
2025-08-20,51.82,51.98,51.35,51.45,-0.36,-0.69%,66801,259644
2025-08-19,52.99,53.33,51.73,51.81,-1.51,-2.83%,88549,260048
