Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-03,278.8,282,278.1,278.6,-0.7,-0.25%,65474,0
2025-10-02,273.6,279.9,272.2,279.3,5.7,+2.08%,110533,323161
2025-10-01,273,274.8,270.1,273.6,0.3,+0.11%,90320,326210
2025-09-30,275.1,275.8,272.6,273.3,-2.1,-0.76%,83023,320181
2025-09-29,274.6,277.8,274.6,275.4,0.8,+0.29%,100079,315752
2025-09-26,273.2,275.1,272.8,274.6,1.4,+0.51%,103561,309398
2025-09-25,276.1,277.6,273,273.2,-2.9,-1.05%,135170,305362
2025-09-24,277.2,279.3,275.9,276.1,-1.2,-0.43%,107601,300737
2025-09-23,280.1,280.1,276.4,277.3,-2.8,-1.00%,107406,296982
2025-09-22,284,284.5,278.6,280.1,-3.9,-1.37%,91636,291311
2025-09-19,284.7,287.8,283.6,284,-0.7,-0.25%,60042,285212
2025-09-18,286,286,283.3,284.7,-1.,-0.35%,68920,283414
2025-09-17,286.3,288.6,285.3,285.7,-0.4,-0.14%,65603,284881
2025-09-16,286.1,286.8,284.4,286.1,0.4,+0.14%,55384,284481
2025-09-15,287.1,288.6,284.8,285.7,-2.9,-1.00%,48319,283078
2025-09-12,287.4,289.4,284.5,288.6,0.9,+0.31%,63306,279616
2025-09-11,285.7,289.7,284.3,287.7,1.9,+0.66%,53019,279283
2025-09-10,289,289.6,285.4,285.8,-3.2,-1.11%,71802,275801
2025-09-09,285.6,289.8,284.9,289,3.4,+1.19%,79904,277243
2025-09-08,285,286.3,282.4,285.6,1.6,+0.56%,52267,270129
2025-09-05,284.7,286.5,283.4,284,0.3,+0.11%,51449,265265
2025-09-04,282.9,284.1,281.4,283.7,1.2,+0.42%,71217,264997
2025-09-03,283.8,284.8,282.2,282.5,-1.3,-0.46%,47095,264324
2025-09-02,288.4,289.1,282.2,283.8,-5.2,-1.80%,80976,258595
2025-08-29,287.8,289.2,286.2,289,1.7,+0.59%,55298,258001
2025-08-28,288.3,289.8,286.4,287.3,-0.9,-0.31%,59317,258503
2025-08-27,293.6,293.7,287.7,288.2,-5.1,-1.74%,82400,262206
2025-08-26,290.9,295,288.9,293.3,2.4,+0.83%,97676,265826
2025-08-25,291,294.1,290,290.9,-0.6,-0.21%,109010,266533
2025-08-22,294,298.2,290.2,291.5,-2.7,-0.92%,110876,271494
2025-08-21,297.5,298.4,291.9,294.2,-3.,-1.01%,119462,269995
2025-08-20,295.9,299.3,294.3,297.2,1.3,+0.44%,109835,273525
2025-08-19,292,296.9,291.3,295.9,4.1,+1.41%,88032,276157
2025-08-18,294.4,296.9,291.3,291.8,-2.7,-0.92%,63617,274915
2025-08-15,295.1,297.7,293.6,294.5,-0.5,-0.17%,51672,276463
2025-08-14,297.1,300.1,294.7,295,-2.3,-0.77%,74827,278104
2025-08-13,291.4,297.5,290.6,297.3,5.4,+1.85%,69523,280373
2025-08-12,289.9,297.5,285.6,291.9,1.7,+0.59%,113158,280939
2025-08-11,285.3,291.7,284.1,290.2,5,+1.75%,66518,285375
2025-08-08,284.9,287.4,284.2,285.2,0,0.00%,40302,282766
2025-08-07,281.5,286,280.4,285.2,3.9,+1.39%,52969,284419
2025-08-06,284.2,286.3,279.4,281.3,-3.6,-1.26%,63430,288893
