Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-03,112.953125,112.984375,112.625,112.671875,-0.25,-0.22%,1085242,0
2025-10-02,112.890625,112.96875,112.671875,112.921875,0.078125,+0.07%,1311442,5480087
2025-10-01,112.453125,112.96875,112.375,112.84375,0.34375,+0.31%,1992224,5466706
2025-09-30,112.546875,112.796875,112.40625,112.5,-0.015625,-0.01%,2283043,5457806
2025-09-29,112.28125,112.578125,112.265625,112.515625,0.25,+0.22%,1174337,5436020
2025-09-26,112.375,112.484375,112.1875,112.265625,-0.0625,-0.06%,1681227,5452089
2025-09-25,112.59375,112.6875,112.1875,112.328125,-0.3125,-0.28%,2421612,5484173
2025-09-24,112.953125,113,112.578125,112.640625,-0.234375,-0.21%,1576936,5447682
2025-09-23,112.671875,112.953125,112.671875,112.875,0.171875,+0.15%,1509773,5474951
2025-09-22,112.828125,112.890625,112.640625,112.703125,-0.046875,-0.04%,1283787,5442415
2025-09-19,112.984375,112.984375,112.6875,112.75,-0.234375,-0.21%,1279789,5391626
2025-09-18,113.046875,113.375,112.734375,112.984375,-0.140625,-0.12%,2214957,5396323
2025-09-17,113.515625,113.796875,113.046875,113.125,-0.421875,-0.37%,2012077,5400033
2025-09-16,113.421875,113.578125,113.265625,113.546875,0.078125,+0.07%,1240665,5408626
2025-09-15,113.203125,113.5,113.0625,113.46875,0.1875,+0.17%,1140548,5376498
2025-09-12,113.53125,113.5625,113.125,113.28125,-0.375,-0.33%,1411624,5372264
2025-09-11,113.453125,113.90625,113.28125,113.65625,0.078125,+0.07%,2243288,5367855
2025-09-10,113.234375,113.640625,113.15625,113.578125,0.234375,+0.21%,1611386,5288243
2025-09-09,113.578125,113.625,113.21875,113.34375,-0.203125,-0.18%,1655658,5264095
2025-09-08,113.421875,113.609375,113.234375,113.546875,0.15625,+0.14%,1653232,5282797
2025-09-05,112.890625,113.671875,112.875,113.390625,0.546875,+0.48%,2674293,5295907
2025-09-04,112.515625,112.9375,112.5,112.84375,0.234375,+0.21%,1692347,5268501
2025-09-03,112.265625,112.65625,112,112.609375,0.46875,+0.42%,1858637,5187934
2025-09-02,112.484375,112.5,111.96875,112.140625,-0.359375,-0.32%,2157916,5186422
2025-08-29,112.625,112.640625,112.390625,112.5,-0.09375,-0.08%,2126299,5220391
2025-08-28,112.46875,112.640625,112.3125,112.59375,0.15625,+0.14%,1848280,5208502
2025-08-27,112.1875,112.5,112.046875,112.4375,0.203125,+0.18%,2211236,5110047
2025-08-26,112.015625,112.265625,111.8125,112.234375,0.234375,+0.21%,3436933,4547507
2025-08-25,112.171875,112.203125,111.890625,112,-0.171875,-0.15%,2710704,3257626
2025-08-22,111.609375,112.28125,111.515625,112.171875,0.609375,+0.55%,1937463,2061252
2025-08-21,111.890625,111.921875,111.46875,111.5625,-0.3125,-0.28%,1164764,1247845
2025-08-20,111.734375,112.015625,111.640625,111.875,0.109375,+0.10%,687129,612097
2025-08-19,111.578125,111.8125,111.484375,111.765625,0.25,+0.22%,142744,278907
2025-08-18,111.625,111.828125,111.421875,111.515625,-0.078125,-0.07%,226075,224454
2025-08-15,111.828125,111.953125,111.546875,111.59375,-0.203125,-0.18%,124306,212543
2025-08-14,112.21875,112.46875,111.765625,111.796875,-0.390625,-0.35%,76107,148575
2025-08-13,111.796875,112.28125,111.71875,112.1875,0.375,+0.34%,46495,128684
2025-08-12,111.796875,112.15625,111.625,111.8125,-0.078125,-0.07%,33698,112967
2025-08-11,111.828125,112.015625,111.78125,111.890625,0.046875,+0.04%,107042,104101
2025-08-08,112.125,112.140625,111.8125,111.84375,-0.265625,-0.24%,8712,41376
2025-08-07,112.1875,112.296875,112.0625,112.109375,-0.140625,-0.13%,10836,39943
2025-08-06,112.234375,112.28125,111.84375,112.25,-0.078125,-0.07%,23075,37991
2025-08-05,112.4375,112.484375,112.1875,112.328125,-0.078125,-0.07%,13637,33277
2025-08-04,112.3125,112.453125,112.015625,112.40625,0.1875,+0.17%,13832,30615
2025-08-01,110.984375,112.34375,110.78125,112.21875,1.15625,+1.04%,34092,27945
2025-07-31,110.9375,111.28125,110.9375,111.0625,0.09375,+0.08%,11243,25642
2025-07-30,111.34375,111.40625,110.90625,110.96875,-0.359375,-0.32%,4189,24712
2025-07-29,110.84375,111.359375,110.734375,111.328125,0.609375,+0.55%,5987,22356
2025-07-28,110.671875,111.046875,110.421875,110.71875,-0.21875,-0.20%,7630,22023
2025-07-25,110.828125,110.953125,110.671875,110.9375,0.15625,+0.14%,1419,18442
2025-07-24,110.96875,111,110.578125,110.78125,-0.203125,-0.18%,2804,18680
2025-07-23,111.203125,111.25,110.953125,110.984375,-0.390625,-0.35%,2728,17932
2025-07-22,111.15625,111.390625,111,111.375,0.234375,+0.21%,2173,17245
2025-07-21,110.875,111.234375,110.875,111.140625,0.421875,+0.38%,4135,16565
2025-07-18,110.609375,110.796875,110.546875,110.71875,0.296875,+0.27%,12012,15444
2025-07-17,110.46875,110.65625,110.21875,110.421875,-0.09375,-0.08%,1198,7778
2025-07-16,110.21875,110.546875,110.1875,110.515625,0.328125,+0.30%,8761,7849
2025-07-15,110.65625,110.84375,110.15625,110.1875,-0.484375,-0.44%,2664,6631
2025-07-14,110.734375,110.8125,110.5625,110.671875,0.03125,+0.03%,745,5381
2025-07-11,110.9375,110.9375,110.640625,110.640625,-0.53125,-0.48%,993,5148
2025-07-10,111.359375,111.359375,110.984375,111.171875,-0.03125,-0.03%,1380,5132
2025-07-09,110.828125,111.25,110.71875,111.203125,0.484375,+0.44%,919,4780
2025-07-08,111,111,110.65625,110.71875,-0.140625,-0.13%,1857,4911
2025-07-07,111.359375,111.375,110.859375,110.859375,-0.3125,-0.28%,412,4624
2025-07-03,111.703125,111.796875,110.953125,111.171875,-0.40625,-0.36%,513,4508
2025-07-02,111.90625,111.921875,111.484375,111.578125,-0.234375,-0.21%,152,4508
2025-07-01,112.0625,112.328125,111.6875,111.8125,-0.265625,-0.24%,316,4442
2025-06-30,111.78125,112.109375,111.671875,112.078125,0.3125,+0.28%,178,4396
2025-06-27,111.890625,111.984375,111.6875,111.765625,-0.203125,-0.18%,62,4314
2025-06-26,111.703125,112.03125,111.671875,111.96875,0.34375,+0.31%,575,4333
2025-06-25,111.546875,111.671875,111.3125,111.625,0.03125,+0.03%,104,3962
2025-06-24,111.21875,111.609375,111.109375,111.59375,0.203125,+0.18%,551,3931
2025-06-23,111.015625,111.546875,110.75,111.390625,0.484375,+0.44%,675,3962
2025-06-20,110.78125,111,110.453125,110.90625,0.203125,+0.18%,141,3882
2025-06-18,110.765625,111.09375,110.65625,110.703125,-0.0625,-0.06%,8,3830
2025-06-17,110.65625,110.78125,110.453125,110.765625,0.359375,+0.33%,502,3831
2025-06-16,110.484375,110.671875,110.265625,110.40625,-0.125,-0.11%,545,3828
2025-06-13,111.078125,111.28125,110.375,110.53125,-0.453125,-0.41%,217,3866
2025-06-12,110.796875,111.09375,110.59375,110.984375,0.359375,+0.32%,224,3880
2025-06-11,110.125,110.625,109.921875,110.625,0.484375,+0.44%,3835,3874
2025-06-10,110.25,110.328125,110.078125,110.140625,0.046875,+0.04%,10,515
2025-06-09,110.046875,110.1875,109.859375,110.09375,0.25,+0.23%,58,510
2025-06-06,110.734375,110.828125,109.84375,109.84375,-0.890625,-0.80%,89,484
2025-06-05,111.046875,111.375,110.65625,110.734375,-0.328125,-0.30%,37,427
2025-06-04,110.4375,111.171875,110.328125,111.0625,0.65625,+0.59%,24,419
2025-06-03,110.625,110.734375,110.328125,110.40625,-0.015625,-0.01%,27,426
2025-06-02,110.640625,110.78125,110.390625,110.421875,-0.28125,-0.25%,31,417
2025-05-30,110.703125,110.859375,110.515625,110.703125,0.0625,+0.06%,30,411
2025-05-29,110.0625,110.65625,109.875,110.640625,0.4375,+0.40%,46,410
2025-05-28,110.34375,110.4375,110.171875,110.203125,-0.25,-0.23%,14,409
2025-05-27,109.984375,110.5625,109.796875,110.453125,0.4375,+0.40%,285,402
2025-05-23,109.8125,110.390625,109.8125,110.015625,0.265625,+0.24%,18,225
2025-05-22,109.484375,109.890625,109.359375,109.75,0.359375,+0.33%,210,225
2025-05-21,109.8125,110.21875,109.390625,109.390625,-0.75,-0.68%,31,120
2025-05-20,110.359375,110.359375,109.90625,110.140625,0.078125,+0.07%,10,115
2025-05-19,110.125,110.1875,109.5625,110.0625,-0.203125,-0.18%,14,112
2025-05-16,110.53125,110.671875,110,110.265625,0.09375,+0.09%,16,116
2025-05-15,109.53125,110.296875,109.53125,110.171875,0.546875,+0.50%,4,108
2025-05-14,110.171875,110.1875,109.5625,109.625,-0.25,-0.23%,10,110
2025-05-13,110.09375,110.296875,109.875,109.875,-0.21875,-0.20%,15,109
2025-05-12,110.703125,110.703125,110,110.09375,-0.671875,-0.61%,57,103
2025-05-09,110.875,111,110.703125,110.765625,0.015625,+0.01%,16,79
2025-05-08,111,111,110.515625,110.75,-0.78125,-0.70%,10,73
2025-05-07,111.359375,111.53125,111.125,111.53125,0.25,+0.22%,4,79
2025-05-06,110.9375,111.28125,110.9375,111.28125,0.25,+0.23%,6,79
2025-05-05,111,111.140625,110.875,111.03125,-0.09375,-0.08%,4,77
2025-05-02,111.25,111.890625,111.046875,111.125,-0.71875,-0.64%,41,75
2025-05-01,112.1875,112.5,111.828125,111.84375,-0.375,-0.33%,5,59
2025-04-30,111.984375,112.421875,111.9375,112.21875,-0.03125,-0.03%,7,59
2025-04-29,112.1875,112.25,111.78125,112.25,0.25,+0.22%,1,58
2025-04-28,111.390625,112,111.390625,112,0.421875,+0.38%,9,57
2025-04-25,111.328125,111.578125,111.171875,111.578125,0.25,+0.22%,25,54
2025-04-24,111.328125,111.328125,111.328125,111.328125,0.5625,+0.51%,29,39
2025-04-23,110.515625,111.25,110.515625,110.765625,-0.109375,-0.10%,14,24
2025-04-22,110.875,110.96875,110.734375,110.875,-0.015625,-0.01%,12,22
2025-04-21,111.578125,111.578125,110.578125,110.890625,-0.390625,-0.35%,42,30
2025-04-17,111.484375,112.109375,111.28125,111.28125,-0.28125,-0.25%,24,18
2025-04-16,111.5625,111.5625,111.5625,111.5625,0.390625,+0.35%,0,9
