Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-03,1021,1028.75,1016.5,1018,-5.75,-0.56%,122676,0
2025-10-02,1013,1025.5,1008.25,1023.75,10.75,+1.06%,169691,375112
2025-10-01,1000.25,1020,993.75,1013,11.25,+1.12%,207983,380690
2025-09-30,1009.25,1009.25,1000.5,1001.75,-8.75,-0.87%,160384,379620
2025-09-29,1011.75,1013.75,1006,1010.5,-3.25,-0.32%,103672,387100
2025-09-26,1012,1015.75,1008.75,1013.75,1.5,+0.15%,103466,390531
2025-09-25,1008.5,1017,1006.5,1012.25,3.25,+0.32%,132635,397721
2025-09-24,1011.25,1020.25,1005.75,1009,-3.,-0.30%,155373,399008
2025-09-23,1010.75,1015.5,1005,1012,1,+0.10%,147291,399687
2025-09-22,1024.25,1025,1006.25,1011,-14.5,-1.41%,188011,404771
2025-09-19,1038.5,1047.75,1024,1025.5,-12.,-1.16%,184812,406542
2025-09-18,1043.75,1044.5,1035.25,1037.5,-6.25,-0.60%,99218,403514
2025-09-17,1049.25,1052.75,1042,1043.75,-6.,-0.57%,106461,401705
2025-09-16,1043,1052.5,1041.75,1049.75,7,+0.67%,109074,396283
2025-09-15,1043,1051.25,1039.75,1042.75,-3.5,-0.33%,119751,392215
2025-09-12,1034.5,1049,1028,1046.25,12.75,+1.23%,185166,401087
2025-09-11,1024.75,1035.75,1022.75,1033.5,8.25,+0.80%,102675,405446
2025-09-10,1031,1032,1024,1025.25,-6.,-0.58%,100353,403638
2025-09-09,1034,1036,1029.25,1031.25,-2.5,-0.24%,88969,399041
2025-09-08,1027,1035,1023.5,1033.75,6.75,+0.66%,96001,401077
2025-09-05,1033.5,1037.25,1025.75,1027,-6.,-0.58%,102785,401796
2025-09-04,1031.5,1034.25,1021.5,1033,1.5,+0.15%,115810,398440
2025-09-03,1043.5,1047.75,1030.75,1031.5,-9.5,-0.91%,101587,403873
2025-09-02,1052.25,1053,1036.25,1041,-13.5,-1.28%,124743,406717
2025-08-29,1048.25,1055,1042,1054.5,6.5,+0.62%,107371,410011
2025-08-28,1047.75,1049.25,1039.75,1048,0.5,+0.05%,117498,408609
2025-08-27,1049,1054,1044.25,1047.5,-2.,-0.19%,122281,409616
2025-08-26,1047,1055.75,1041.75,1049.5,1.75,+0.17%,154540,405398
2025-08-25,1057.75,1061.75,1046,1047.75,-10.75,-1.02%,163195,399670
2025-08-22,1054.75,1062.75,1052,1058.5,2.5,+0.24%,173590,406803
2025-08-21,1036,1056.75,1032.25,1056,20,+1.93%,209807,414499
2025-08-20,1034,1040.5,1031.25,1036,2.25,+0.22%,78264,416266
2025-08-19,1042,1046,1030.5,1033.75,-7.5,-0.72%,119715,421101
2025-08-18,1042,1047.75,1034.5,1041.25,-1.25,-0.12%,139131,418554
2025-08-15,1029.25,1043.75,1026.75,1042.5,14,+1.36%,114070,417695
2025-08-14,1041.5,1049.25,1027.75,1028.5,-15.75,-1.51%,169963,419617
2025-08-13,1029.5,1047.25,1028,1044.25,11.5,+1.11%,221681,423370
2025-08-12,1009.5,1035,994,1032.75,21.5,+2.13%,325929,435069
2025-08-11,987.5,1015,984.5,1011.25,23.75,+2.41%,200457,439149
2025-08-08,993,998,986,987.5,-6.25,-0.63%,100864,442867
2025-08-07,985.25,994.75,983,993.75,9.25,+0.94%,114222,439056
2025-08-06,990,995.25,981.25,984.5,-6.25,-0.63%,118600,434911
2025-08-05,993,1002.25,989.5,990.75,-3.75,-0.38%,111850,441054
2025-08-04,990.5,996.75,986,994.5,5.25,+0.53%,117830,441024
2025-08-01,990,994.5,986,989.25,0,0.00%,126564,446643
2025-07-31,996,1000.75,987.5,989.25,-6.5,-0.65%,155394,448439
2025-07-30,1009,1012.25,995.25,995.75,-13.75,-1.36%,142232,456158
2025-07-29,1010,1013.75,1004.5,1009.5,-2.,-0.20%,129531,449949
2025-07-28,1015.75,1018.25,1010.5,1011.5,-9.5,-0.93%,137676,444410
2025-07-25,1024.5,1028.25,1016.75,1021,-3.25,-0.32%,100098,441903
2025-07-24,1023.75,1028.75,1019.25,1024.25,1.5,+0.15%,111066,436938
2025-07-23,1025.5,1035.5,1021.75,1022.75,-2.75,-0.27%,133235,432295
2025-07-22,1027.5,1030,1020.25,1025.5,-0.5,-0.05%,131980,429289
2025-07-21,1031.25,1034.25,1020.5,1026,-9.75,-0.94%,109526,426542
2025-07-18,1026.25,1043.25,1026,1035.75,9.25,+0.90%,138265,425336
2025-07-17,1019.25,1029,1016,1026.5,6,+0.59%,115497,425430
2025-07-16,1002.5,1021.75,1002.5,1020.5,18.75,+1.87%,125252,425665
2025-07-15,1003,1010,1000,1001.75,-5.25,-0.52%,92284,415909
2025-07-14,1003,1014.5,998.25,1007,-0.25,-0.02%,111209,414429
2025-07-11,1013.5,1017,1003.5,1007.25,-6.5,-0.64%,115332,404916
2025-07-10,1005,1015,1002.25,1013.75,6.5,+0.65%,120126,407299
2025-07-09,1017,1021,1007,1007.25,-10.25,-1.01%,107481,398449
2025-07-08,1020.75,1024,1014,1017.5,-3.25,-0.32%,117247,395852
2025-07-07,1039.5,1039.5,1017.5,1020.75,-28.5,-2.72%,143590,394596
2025-07-03,1046.5,1058.5,1044.25,1049.25,1.25,+0.12%,131044,394452
2025-07-02,1027,1048.5,1024.75,1048,20.75,+2.02%,138465,395148
2025-07-01,1023.25,1029.25,1014,1027.25,0.25,+0.02%,135743,395260
2025-06-30,1026.5,1038.25,1018.5,1027,2.25,+0.22%,152291,391783
2025-06-27,1017.5,1032,1013.25,1024.75,8.25,+0.81%,117426,382430
2025-06-26,1021.5,1023,1014.25,1016.5,-2.,-0.20%,127992,377930
2025-06-25,1037,1041.75,1017,1018.5,-18.5,-1.78%,156920,375063
2025-06-24,1040.75,1049.75,1036.5,1037,-9.75,-0.93%,120658,358281
2025-06-23,1065.75,1067.75,1044,1046.75,-14.,-1.32%,135400,352795
2025-06-20,1068.5,1074.25,1059.5,1060.75,-7.5,-0.70%,118193,340997
2025-06-18,1064.5,1071.75,1063.75,1068.25,0.5,+0.05%,99732,328666
2025-06-17,1060.5,1068.75,1056,1067.75,7.25,+0.68%,109233,315891
2025-06-16,1054.75,1065,1052.25,1060.5,5.75,+0.55%,125189,304452
2025-06-13,1027,1055.5,1025,1054.75,27.5,+2.68%,140414,287637
2025-06-12,1029.25,1038,1022,1027.25,-2.,-0.19%,139155,279388
2025-06-11,1031.75,1037,1027.5,1029.25,-2.,-0.19%,95787,267989
2025-06-10,1031,1035.25,1029,1031.25,0.5,+0.05%,91135,258869
2025-06-09,1037,1040.25,1029,1030.75,-6.25,-0.60%,84128,252677
2025-06-06,1032.25,1038.75,1028.5,1037,3.75,+0.36%,76623,252808
2025-06-05,1025,1036,1021.75,1033.25,8.25,+0.80%,78906,247985
2025-06-04,1021.5,1031.25,1018.5,1025,3.5,+0.34%,62351,246604
2025-06-03,1017.75,1023.5,1015.25,1021.5,4.5,+0.44%,56624,242503
2025-06-02,1027,1028.25,1015.5,1017,-9.75,-0.95%,49251,243680
2025-05-30,1035,1036.25,1024.75,1026.75,-10.5,-1.01%,56657,244357
