dataset_name,table_name,column_name,ordinal_position,data_type,is_nullable
models_v4,production_training_data_1m,date,1,DATE,True
models_v4,production_training_data_1m,target_1w,2,FLOAT,True
models_v4,production_training_data_1m,target_1m,3,FLOAT,True
models_v4,production_training_data_1m,target_3m,4,FLOAT,True
models_v4,production_training_data_1m,target_6m,5,FLOAT,True
models_v4,production_training_data_1m,zl_price_current,6,FLOAT,True
models_v4,production_training_data_1m,zl_volume,7,INTEGER,True
models_v4,production_training_data_1m,feature_vix_stress,8,FLOAT,True
models_v4,production_training_data_1m,feature_harvest_pace,9,FLOAT,True
models_v4,production_training_data_1m,feature_china_relations,10,FLOAT,True
models_v4,production_training_data_1m,feature_tariff_threat,11,FLOAT,True
models_v4,production_training_data_1m,feature_geopolitical_volatility,12,FLOAT,True
models_v4,production_training_data_1m,feature_biofuel_cascade,13,FLOAT,True
models_v4,production_training_data_1m,feature_hidden_correlation,14,FLOAT,True
models_v4,production_training_data_1m,feature_biofuel_ethanol,15,FLOAT,True
models_v4,production_training_data_1m,big8_composite_score,16,FLOAT,True
models_v4,production_training_data_1m,corn_price,17,FLOAT,True
models_v4,production_training_data_1m,wheat_price,18,FLOAT,True
models_v4,production_training_data_1m,seasonal_index,19,FLOAT,True
models_v4,production_training_data_1m,monthly_zscore,20,FLOAT,True
models_v4,production_training_data_1m,yoy_change,21,FLOAT,True
models_v4,production_training_data_1m,oil_price_per_cwt,22,FLOAT,True
models_v4,production_training_data_1m,bean_price_per_bushel,23,FLOAT,True
models_v4,production_training_data_1m,meal_price_per_ton,24,FLOAT,True
models_v4,production_training_data_1m,crush_margin,25,FLOAT,True
models_v4,production_training_data_1m,crush_margin_7d_ma,26,FLOAT,True
models_v4,production_training_data_1m,crush_margin_30d_ma,27,FLOAT,True
models_v4,production_training_data_1m,china_mentions,28,INTEGER,True
models_v4,production_training_data_1m,china_posts,29,INTEGER,True
models_v4,production_training_data_1m,import_posts,30,INTEGER,True
models_v4,production_training_data_1m,soy_posts,31,INTEGER,True
models_v4,production_training_data_1m,china_sentiment,32,FLOAT,True
models_v4,production_training_data_1m,china_sentiment_volatility,33,FLOAT,True
models_v4,production_training_data_1m,china_policy_impact,34,FLOAT,True
models_v4,production_training_data_1m,import_demand_index,35,FLOAT,True
models_v4,production_training_data_1m,china_posts_7d_ma,36,FLOAT,True
models_v4,production_training_data_1m,china_sentiment_30d_ma,37,FLOAT,True
models_v4,production_training_data_1m,brazil_month,38,INTEGER,True
models_v4,production_training_data_1m,export_seasonality_factor,39,FLOAT,True
models_v4,production_training_data_1m,brazil_temperature_c,40,FLOAT,True
models_v4,production_training_data_1m,brazil_precipitation_mm,41,FLOAT,True
models_v4,production_training_data_1m,growing_degree_days,42,FLOAT,True
models_v4,production_training_data_1m,export_capacity_index,43,FLOAT,True
models_v4,production_training_data_1m,harvest_pressure,44,FLOAT,True
models_v4,production_training_data_1m,brazil_precip_30d_ma,45,FLOAT,True
models_v4,production_training_data_1m,brazil_temp_7d_ma,46,FLOAT,True
