Time,Open,High,Low,Last,Change,%Change,Volume
2025-10-15,4.2303,4.2303,4.2236,4.225,-0.0055,-0.13%,88
2025-10-14,4.226,4.2305,4.226,4.2305,0.0046,+0.11%,58
2025-10-13,4.2232,4.2259,4.2232,4.2259,0.0028,+0.07%,49
2025-10-10,4.2176,4.2249,4.2176,4.2231,0.0057,+0.14%,89
2025-10-09,4.2161,4.2177,4.2144,4.2174,0.0014,+0.03%,77
2025-10-08,4.2151,4.2208,4.2151,4.216,0.0012,+0.03%,80
2025-10-07,4.2154,4.2156,4.214,4.2148,-0.0007,-0.02%,54
2025-10-06,4.2093,4.2155,4.2093,4.2155,0.0062,+0.15%,83
2025-10-03,4.2074,4.2145,4.2073,4.2093,0.0019,+0.05%,101
2025-10-02,4.2082,4.2082,4.2048,4.2074,-0.001,-0.02%,64
2025-10-01,4.2081,4.2103,4.208,4.2084,0.0002,0.00%,75
2025-09-30,4.2206,4.2206,4.2082,4.2082,-0.0128,-0.30%,60
2025-09-29,4.2213,4.2215,4.2121,4.221,-0.0004,-0.01%,57
2025-09-26,4.2108,4.2215,4.2108,4.2214,0.0109,+0.26%,57
2025-09-25,4.2082,4.2165,4.2082,4.2105,0.003,+0.07%,75
2025-09-24,4.1989,4.2076,4.1989,4.2075,0.0086,+0.20%,67
2025-09-23,4.2047,4.2047,4.1982,4.1989,-0.0062,-0.15%,79
2025-09-22,4.2071,4.2101,4.2051,4.2051,-0.0014,-0.03%,98
2025-09-19,4.198,4.2076,4.198,4.2065,0.0091,+0.22%,37
2025-09-18,4.1912,4.1976,4.1911,4.1974,0.006,+0.14%,37
2025-09-17,4.205,4.205,4.1914,4.1914,-0.0136,-0.32%,54
2025-09-16,4.205,4.205,4.205,4.205,-0.0015,-0.04%,1
2025-09-15,4.2065,4.2065,4.2065,4.2065,0.004,+0.10%,1
2025-09-12,4.22,4.22,4.2022,4.2025,-0.0183,-0.43%,103
2025-09-11,4.2151,4.2224,4.2151,4.2208,0.0058,+0.14%,76
2025-09-10,4.2071,4.2168,4.2071,4.215,0.0086,+0.20%,56
2025-09-09,4.2184,4.2184,4.2064,4.2064,-0.0129,-0.31%,95
2025-09-08,4.2239,4.2239,4.2191,4.2193,-0.0045,-0.11%,119
2025-09-05,4.2238,4.2238,4.2238,4.2238,0,0.00%,0
2025-09-04,4.2279,4.2314,4.2238,4.2238,-0.0045,-0.11%,108
2025-09-03,4.23,4.2312,4.2283,4.2283,-0.0016,-0.04%,67
2025-09-02,4.2249,4.2309,4.2244,4.2299,0.0049,+0.12%,107
2025-09-01,4.225,4.225,4.225,4.225,0.0007,+0.02%,1
2025-08-29,4.219,4.2245,4.2061,4.2243,0.0046,+0.11%,115
2025-08-28,4.2336,4.2336,4.2197,4.2197,-0.0148,-0.35%,117
2025-08-27,4.2156,4.2345,4.2156,4.2345,0.019,+0.45%,83
2025-08-26,4.2154,4.217,4.213,4.2155,0,0.00%,43
2025-08-25,4.228,4.228,4.1971,4.2155,-0.0137,-0.32%,111
2025-08-22,4.2236,4.2299,4.2236,4.2292,0.0061,+0.14%,58
2025-08-21,4.2264,4.2264,4.2219,4.2231,-0.0034,-0.08%,74
2025-08-20,4.2232,4.2293,4.2232,4.2265,0.0035,+0.08%,94
2025-08-19,4.2237,4.2268,4.223,4.223,-0.0002,0.00%,56
2025-08-18,4.2154,4.224,4.2149,4.2232,0.0078,+0.19%,99
2025-08-15,4.2087,4.2173,4.2087,4.2154,0.0072,+0.17%,47
2025-08-14,4.2093,4.2093,4.1907,4.2082,-0.0012,-0.03%,125
2025-08-13,4.2292,4.2292,4.2094,4.2094,-0.0206,-0.49%,124
2025-08-12,4.2333,4.2351,4.23,4.23,-0.0031,-0.07%,36
2025-08-11,4.2413,4.2428,4.233,4.2331,-0.0082,-0.19%,98
2025-08-08,4.2297,4.2413,4.2288,4.2413,0.0117,+0.28%,95
2025-08-07,4.2295,4.2296,4.224,4.2296,-0.0005,-0.01%,124
2025-08-06,4.2282,4.2301,4.2277,4.2301,0.0016,+0.04%,36
2025-08-05,4.2719,4.2719,4.2285,4.2285,-0.0461,-1.08%,94
2025-08-04,4.2767,4.2775,4.2357,4.2746,-0.0047,-0.11%,128
2025-08-01,4.2652,4.2801,4.2652,4.2793,0.0146,+0.34%,81
2025-07-31,4.2416,4.2647,4.2416,4.2647,0.0246,+0.58%,98
2025-07-30,4.235,4.2401,4.2315,4.2401,0.0051,+0.12%,103
2025-07-29,4.2302,4.237,4.2302,4.235,0.0052,+0.12%,40
2025-07-28,4.2245,4.2298,4.2216,4.2298,0.0052,+0.12%,85
2025-07-25,4.2158,4.2251,4.2157,4.2246,0.0088,+0.21%,95
2025-07-24,4.2265,4.2265,4.2158,4.2158,-0.0112,-0.26%,68
2025-07-23,4.2307,4.2307,4.2261,4.227,-0.0037,-0.09%,67
2025-07-22,4.2343,4.2343,4.2295,4.2307,-0.004,-0.09%,89
2025-07-21,4.2459,4.2459,4.234,4.2347,-0.0113,-0.27%,93
2025-07-18,4.2466,4.2466,4.2453,4.246,-0.0005,-0.01%,37
2025-07-17,4.245,4.2484,4.245,4.2465,0.0015,+0.04%,40
2025-07-16,4.2435,4.2512,4.2435,4.245,0.0025,+0.06%,83
2025-07-15,4.2546,4.2557,4.2425,4.2425,-0.0121,-0.28%,63
2025-07-14,4.2559,4.2559,4.2527,4.2546,-0.0014,-0.03%,34
2025-07-11,4.2502,4.259,4.2502,4.256,0.0056,+0.13%,109
2025-07-10,4.2518,4.2522,4.2489,4.2504,-0.0019,-0.04%,58
2025-07-09,4.2399,4.2527,4.2399,4.2523,0.013,+0.31%,63
2025-07-08,4.2346,4.2407,4.2346,4.2393,0.0048,+0.11%,81
2025-07-07,4.2227,4.2389,4.2215,4.2345,0.0116,+0.27%,86
2025-07-04,4.2229,4.2346,4.2205,4.2229,0.0004,+0.01%,147
2025-07-03,4.2283,4.2283,4.2194,4.2225,-0.0065,-0.15%,79
2025-07-02,4.1975,4.229,4.1975,4.229,0.0315,+0.75%,81
2025-07-01,4.2118,4.2118,4.1829,4.1975,-0.0152,-0.36%,210
2025-06-30,4.2284,4.2284,4.2127,4.2127,-0.0158,-0.37%,94
2025-06-27,4.2285,4.2285,4.2285,4.2285,0,0.00%,0
2025-06-26,4.2339,4.2339,4.221,4.2285,-0.009,-0.21%,133
2025-06-25,4.2483,4.2483,4.2343,4.2375,-0.0114,-0.27%,112
2025-06-24,4.2939,4.2939,4.2478,4.2489,-0.0461,-1.07%,139
2025-06-23,4.2556,4.295,4.2556,4.295,0.0393,+0.92%,81
2025-06-20,4.2598,4.2598,4.2524,4.2557,-0.0049,-0.12%,87
2025-06-19,4.25,4.2618,4.25,4.2606,0.0106,+0.25%,108
2025-06-18,4.2443,4.25,4.2443,4.25,0.0063,+0.15%,99
2025-06-17,4.2456,4.2467,4.2405,4.2437,-0.0019,-0.04%,93
2025-06-16,4.2457,4.2476,4.2417,4.2456,0.0002,0.00%,91
2025-06-13,4.2247,4.2478,4.2246,4.2454,0.0203,+0.48%,150
2025-06-12,4.2384,4.2384,4.2251,4.2251,-0.0139,-0.33%,121
2025-06-11,4.2359,4.2398,4.2347,4.239,0.0029,+0.07%,73
2025-06-10,4.2355,4.2366,4.2323,4.2361,0.0006,+0.01%,88
2025-06-09,4.2277,4.2357,4.2277,4.2355,0.008,+0.19%,34
2025-06-06,4.2313,4.2313,4.2275,4.2275,-0.0039,-0.09%,55
2025-06-05,4.2476,4.2476,4.2314,4.2314,-0.0173,-0.41%,103
2025-06-04,4.2477,4.2506,4.2432,4.2487,0.0013,+0.03%,109
2025-06-03,4.255,4.255,4.2452,4.2474,-0.0076,-0.18%,75
2025-06-02,4.255,4.255,4.255,4.255,0,0.00%,0
2025-05-30,4.2411,4.255,4.2256,4.255,0.0136,+0.32%,227
2025-05-29,4.2266,4.25,4.2266,4.2414,0.0164,+0.39%,172
2025-05-28,4.236,4.2528,4.225,4.225,-0.0105,-0.25%,220
2025-05-27,4.2182,4.2355,4.2014,4.2355,0.0165,+0.39%,171
2025-05-26,4.2325,4.2325,4.2035,4.219,-0.0139,-0.33%,151
2025-05-23,4.2699,4.271,4.2329,4.2329,-0.0366,-0.86%,157
2025-05-22,4.2706,4.2706,4.25,4.2695,-0.0019,-0.04%,150
2025-05-21,4.2972,4.2972,4.267,4.2714,-0.0271,-0.63%,174
2025-05-20,4.2953,4.2996,4.2865,4.2985,0.0035,+0.08%,141
2025-05-19,4.29,4.31,4.29,4.295,0.0054,+0.13%,122
2025-05-16,4.2822,4.2896,4.267,4.2896,0.0071,+0.17%,175
2025-05-15,4.2906,4.2978,4.2811,4.2825,-0.0075,-0.17%,162
2025-05-14,4.3227,4.3227,4.29,4.29,-0.0334,-0.77%,215
2025-05-13,4.3026,4.3307,4.3026,4.3234,0.023,+0.53%,52
2025-05-12,4.3004,4.3004,4.3004,4.3004,0,0.00%,0
2025-05-09,4.2811,4.3207,4.2811,4.3004,0.0194,+0.45%,183
2025-05-08,4.2396,4.281,4.2396,4.281,0.0422,+1.00%,110
2025-05-07,4.2283,4.2388,4.226,4.2388,0.0094,+0.22%,52
2025-05-06,4.2032,4.236,4.2032,4.2294,0.0264,+0.63%,238
2025-05-05,4.2657,4.2657,4.1898,4.203,-0.0631,-1.48%,293
2025-05-02,4.3153,4.3227,4.2661,4.2661,-0.0489,-1.13%,202
2025-05-01,4.315,4.315,4.315,4.315,0,0.00%,0
2025-04-30,4.3258,4.3258,4.3062,4.315,-0.0108,-0.25%,201
2025-04-29,4.3629,4.3629,4.3224,4.3258,-0.0372,-0.85%,226
2025-04-28,4.374,4.3765,4.363,4.363,-0.0109,-0.25%,125
2025-04-25,4.3729,4.3769,4.3729,4.3739,0.0009,+0.02%,148
2025-04-24,4.3963,4.3998,4.373,4.373,-0.0224,-0.51%,190
2025-04-23,4.3911,4.4073,4.3911,4.3954,0.0044,+0.10%,122
2025-04-22,4.3707,4.391,4.3707,4.391,0.021,+0.48%,138
2025-04-21,4.4073,4.4073,4.37,4.37,-0.0372,-0.84%,186
2025-04-18,4.4072,4.4072,4.4072,4.4072,0,0.00%,0
2025-04-17,4.4119,4.4165,4.4072,4.4072,-0.0056,-0.13%,166
2025-04-16,4.4136,4.4154,4.4128,4.4128,-0.0007,-0.02%,25
2025-04-15,4.4144,4.4157,4.4044,4.4135,-0.0008,-0.02%,209
2025-04-14,4.4217,4.4285,4.408,4.4143,-0.0072,-0.16%,220
2025-04-11,4.4687,4.4687,4.4188,4.4215,-0.0487,-1.09%,268
2025-04-10,4.4967,4.4967,4.4687,4.4702,-0.0279,-0.62%,215
2025-04-09,4.4893,4.502,4.4893,4.4981,0.0098,+0.22%,209
2025-04-08,4.4715,4.4883,4.4715,4.4883,0.019,+0.43%,55
2025-04-07,4.4317,4.4693,4.4317,4.4693,0.0408,+0.92%,55
2025-04-04,4.4532,4.4532,4.4249,4.4285,-0.0258,-0.58%,52
2025-04-03,4.454,4.4692,4.454,4.4543,0.0021,+0.05%,58
2025-04-02,4.438,4.4522,4.438,4.4522,0.0147,+0.33%,49
2025-04-01,4.4375,4.4375,4.4375,4.4375,0,0.00%,0
2025-03-31,4.4329,4.4375,4.4329,4.4375,0.0047,+0.11%,1
2025-03-28,4.4314,4.4333,4.429,4.4328,0.0008,+0.02%,148
2025-03-27,4.431,4.4322,4.4304,4.432,0.0016,+0.04%,36
2025-03-26,4.4364,4.4364,4.4247,4.4304,-0.0061,-0.14%,121
2025-03-25,4.4243,4.44,4.4243,4.4365,0.0128,+0.29%,112
2025-03-24,4.4206,4.4329,4.4206,4.4237,0.003,+0.07%,44
2025-03-21,4.4241,4.4259,4.4171,4.4207,-0.0033,-0.07%,198
2025-03-20,4.4371,4.4371,4.4204,4.424,-0.0132,-0.30%,225
2025-03-19,4.4434,4.4434,4.4282,4.4372,-0.0068,-0.15%,209
2025-03-18,4.444,4.444,4.444,4.444,0.0005,+0.01%,1
2025-03-17,4.4429,4.4478,4.4411,4.4435,0,0.00%,98
2025-03-14,4.4379,4.447,4.4379,4.4435,0.0055,+0.12%,123
2025-03-13,4.4294,4.438,4.4283,4.438,0.008,+0.18%,137
2025-03-12,4.4172,4.435,4.4167,4.43,0.0126,+0.29%,153
2025-03-11,4.42,4.4355,4.4174,4.4174,-0.0022,-0.05%,225
2025-03-10,4.4144,4.4225,4.4106,4.4196,0.0051,+0.12%,133
2025-03-07,4.423,4.435,4.4138,4.4145,-0.0083,-0.19%,162
2025-03-06,4.444,4.444,4.4189,4.4228,-0.008,-0.18%,172
2025-03-05,4.4663,4.4663,4.4308,4.4308,-0.0357,-0.80%,235
2025-03-04,4.4627,4.4694,4.4619,4.4665,0.004,+0.09%,142
2025-03-03,4.4587,4.4663,4.4573,4.4625,0.0038,+0.09%,125
2025-02-28,4.4442,4.4683,4.4442,4.4587,0.0164,+0.37%,208
2025-02-27,4.4277,4.4441,4.4277,4.4423,0.0148,+0.33%,132
2025-02-26,4.4242,4.4311,4.4119,4.4275,0.003,+0.07%,206
2025-02-25,4.4124,4.4245,4.4124,4.4245,0.012,+0.27%,28
2025-02-24,4.418,4.418,4.3988,4.4125,-0.006,-0.14%,49
2025-02-21,4.4294,4.4294,4.4185,4.4185,-0.012,-0.27%,31
2025-02-20,4.4433,4.4434,4.43,4.4305,-0.0128,-0.29%,50
2025-02-19,4.4463,4.4474,4.4433,4.4433,-0.003,-0.07%,49
2025-02-18,4.4338,4.4496,4.4335,4.4463,0.0123,+0.28%,158
2025-02-17,4.4344,4.4344,4.4264,4.434,-0.0005,-0.01%,116
2025-02-14,4.455,4.455,4.4345,4.4345,-0.021,-0.47%,167
2025-02-13,4.468,4.4701,4.4555,4.4555,-0.0124,-0.28%,120
2025-02-12,4.4442,4.4679,4.4442,4.4679,0.0253,+0.57%,105
2025-02-11,4.4426,4.4426,4.4426,4.4426,0.0021,+0.05%,1
2025-02-10,4.4415,4.4734,4.4405,4.4405,0,0.00%,1
2025-02-07,4.4272,4.4415,4.4272,4.4405,0.0135,+0.30%,136
2025-02-06,4.4231,4.43,4.4169,4.427,0.004,+0.09%,125
2025-02-05,4.445,4.445,4.4188,4.423,-0.0228,-0.51%,206
2025-02-04,4.4778,4.4778,4.4458,4.4458,-0.0322,-0.72%,162
2025-02-03,4.458,4.5007,4.458,4.478,0.0238,+0.53%,147
2025-01-31,4.3907,4.4542,4.3907,4.4542,0.0642,+1.46%,173
2025-01-30,4.39,4.39,4.39,4.39,0,0.00%,0
2025-01-29,4.39,4.39,4.39,4.39,-0.0025,-0.06%,1
2025-01-28,4.3795,4.399,4.3795,4.3925,0.013,+0.30%,117
2025-01-27,4.3787,4.3834,4.3736,4.3795,0.0017,+0.04%,170
2025-01-24,4.4438,4.4438,4.3778,4.3778,-0.0664,-1.49%,226
2025-01-23,4.436,4.4487,4.436,4.4442,0.0087,+0.20%,170
2025-01-22,4.501,4.501,4.4355,4.4355,-0.0683,-1.52%,226
2025-01-21,4.4971,4.506,4.4733,4.5038,0.0034,+0.08%,119
2025-01-20,4.5051,4.5051,4.5004,4.5004,-0.0047,-0.10%,14
2025-01-17,4.5028,4.5051,4.5006,4.5051,0.0021,+0.05%,99
2025-01-16,4.5013,4.5032,4.4955,4.503,0.0014,+0.03%,123
2025-01-15,4.5028,4.5069,4.5016,4.5016,-0.0015,-0.03%,107
2025-01-14,4.5091,4.5091,4.5004,4.5031,-0.0065,-0.14%,153
2025-01-13,4.4989,4.5115,4.4989,4.5096,0.0122,+0.27%,169
2025-01-10,4.5066,4.5066,4.4934,4.4974,-0.0093,-0.21%,147
2025-01-09,4.508,4.5106,4.501,4.5067,0.0045,+0.10%,185
2025-01-08,4.4926,4.5022,4.4926,4.5022,0.0101,+0.22%,104
2025-01-07,4.5135,4.5135,4.4921,4.4921,-0.0214,-0.47%,166
2025-01-06,4.5009,4.5165,4.5009,4.5135,0.0136,+0.30%,86
2025-01-03,4.4799,4.4999,4.4799,4.4999,0.0208,+0.46%,134
2025-01-02,4.4733,4.4795,4.4733,4.4791,0.0083,+0.19%,93
2024-12-31,4.4685,4.4743,4.4545,4.4708,0.002,+0.04%,143
2024-12-30,4.4752,4.4752,4.4675,4.4688,-0.0071,-0.16%,103
2024-12-27,4.4676,4.48,4.4668,4.4759,0.0056,+0.13%,108
2024-12-26,4.4866,4.4866,4.4661,4.4703,-0.0167,-0.37%,133
2024-12-24,4.4902,4.491,4.4863,4.487,-0.0034,-0.08%,130
2024-12-23,4.5071,4.5071,4.4868,4.4904,-0.0177,-0.39%,127
2024-12-20,4.5044,4.5081,4.5044,4.5081,0.004,+0.09%,21
2024-12-19,4.4687,4.5056,4.4687,4.5041,0.0355,+0.79%,116
2024-12-18,4.456,4.472,4.456,4.4686,0.013,+0.29%,87
2024-12-17,4.4535,4.4556,4.4495,4.4556,0.0019,+0.04%,25
2024-12-16,4.4518,4.456,4.4518,4.4537,0.0019,+0.04%,23
2024-12-13,4.4372,4.454,4.4372,4.4518,0.0146,+0.33%,146
2024-12-12,4.4308,4.4372,4.43,4.4372,0.0063,+0.14%,121
2024-12-11,4.4262,4.4309,4.4232,4.4309,0.0047,+0.11%,155
2024-12-10,4.4248,4.4293,4.4248,4.4262,0.0017,+0.04%,134
2024-12-09,4.4206,4.4306,4.4206,4.4245,0.0038,+0.09%,162
2024-12-06,4.4272,4.4275,4.4207,4.4207,-0.0069,-0.16%,46
2024-12-05,4.4513,4.4513,4.4185,4.4276,-0.0249,-0.56%,192
2024-12-04,4.4695,4.4713,4.4469,4.4525,-0.0171,-0.38%,164
2024-12-03,4.4597,4.4725,4.4597,4.4696,0.0102,+0.23%,178
2024-12-02,4.4458,4.4639,4.4458,4.4594,0.0137,+0.31%,124
2024-11-29,4.4463,4.4463,4.4351,4.4457,-0.0007,-0.02%,175
2024-11-28,4.4423,4.4472,4.4393,4.4464,0.0036,+0.08%,152
2024-11-27,4.4661,4.4661,4.4403,4.4428,-0.0239,-0.54%,191
2024-11-26,4.4594,4.4671,4.4594,4.4667,0.0075,+0.17%,129
2024-11-25,4.4675,4.4675,4.4549,4.4592,-0.0088,-0.20%,110
2024-11-22,4.4646,4.4723,4.4646,4.468,0.0041,+0.09%,49
2024-11-21,4.4705,4.4728,4.4639,4.4639,-0.0065,-0.15%,147
2024-11-20,4.4712,4.4712,4.4674,4.4704,-0.0009,-0.02%,75
2024-11-19,4.4712,4.4731,4.4668,4.4713,0.0008,+0.02%,173
2024-11-18,4.4708,4.4796,4.4655,4.4705,-0.0001,0.00%,140
2024-11-15,4.4821,4.4867,4.4706,4.4706,-0.0114,-0.25%,127
2024-11-14,4.4484,4.4866,4.4484,4.482,0.034,+0.76%,111
2024-11-13,4.3952,4.4596,4.3952,4.448,0.056,+1.28%,158
2024-11-12,4.4103,4.4309,4.392,4.392,-0.018,-0.41%,98
2024-11-11,4.3855,4.4101,4.3855,4.41,0.0253,+0.58%,100
2024-11-08,4.4034,4.4034,4.3824,4.3847,-0.0193,-0.44%,220
2024-11-07,4.4023,4.4194,4.4022,4.404,0.0015,+0.03%,209
2024-11-06,4.3452,4.4055,4.3426,4.4025,0.0575,+1.32%,238
2024-11-05,4.3741,4.3745,4.345,4.345,-0.0287,-0.66%,67
2024-11-04,4.3805,4.3805,4.3631,4.3737,-0.0072,-0.16%,172
2024-11-01,4.3784,4.3831,4.3708,4.3809,0.0023,+0.05%,171
2024-10-30,4.3698,4.3941,4.3694,4.3786,0.0086,+0.20%,216
2024-10-29,4.3497,4.37,4.3497,4.37,0.0211,+0.49%,50
2024-10-28,4.3406,4.3614,4.3406,4.3489,0.0091,+0.21%,175
2024-10-25,4.3508,4.3508,4.3386,4.3398,-0.0117,-0.27%,192
2024-10-24,4.3498,4.3527,4.3488,4.3515,0.0018,+0.04%,197
2024-10-23,4.328,4.3499,4.328,4.3497,0.0217,+0.50%,165
2024-10-22,4.3053,4.328,4.3053,4.328,0.024,+0.56%,135
2024-10-21,4.3038,4.304,4.299,4.304,-0.0002,0.00%,150
2024-10-18,4.3113,4.3113,4.3032,4.3042,-0.0073,-0.17%,75
2024-10-17,4.2938,4.3115,4.2938,4.3115,0.0179,+0.42%,114
2024-10-16,4.3105,4.311,4.2934,4.2936,-0.0166,-0.39%,216
2024-10-15,4.2948,4.3107,4.2948,4.3102,0.0158,+0.37%,200
2024-10-14,4.2857,4.295,4.2857,4.2944,0.0092,+0.21%,152
2024-10-11,4.2905,4.2905,4.2824,4.2852,-0.0054,-0.13%,203
2024-10-10,4.2859,4.2956,4.2859,4.2906,0.0053,+0.12%,151
2024-10-09,4.287,4.2878,4.2806,4.2853,-0.0017,-0.04%,191
2024-10-08,4.2796,4.2913,4.2793,4.287,0.0075,+0.18%,343
2024-10-07,4.2214,4.2827,4.2214,4.2795,0.058,+1.37%,367
2024-10-04,4.217,4.2351,4.217,4.2215,0.0048,+0.11%,182
2024-10-03,4.1725,4.2167,4.1725,4.2167,0.0458,+1.10%,186
2024-10-02,4.17,4.1709,4.1626,4.1709,0.0007,+0.02%,200
2024-10-01,4.1225,4.1703,4.1225,4.1702,0.0478,+1.16%,60
2024-09-30,4.1235,4.1235,4.1019,4.1224,-0.0012,-0.03%,223
2024-09-27,4.1437,4.1437,4.122,4.1236,-0.0202,-0.49%,311
2024-09-26,4.137,4.1489,4.1262,4.1438,0.0077,+0.19%,211
2024-09-25,4.1961,4.1961,4.1221,4.1361,-0.0634,-1.51%,182
2024-09-24,4.205,4.205,4.1534,4.1995,-0.0055,-0.13%,185
2024-09-23,4.2005,4.2149,4.2005,4.205,0.0051,+0.12%,155
2024-09-20,4.2191,4.2191,4.1808,4.1999,-0.0196,-0.46%,179
2024-09-19,4.2431,4.2676,4.2195,4.2195,-0.0236,-0.56%,155
2024-09-18,4.2709,4.2709,4.2387,4.2431,-0.0284,-0.66%,140
2024-09-17,4.3009,4.3009,4.2715,4.2715,-0.0295,-0.69%,116
2024-09-16,4.301,4.301,4.301,4.301,-0.004,-0.09%,1
2024-09-13,4.334,4.334,4.305,4.305,-0.029,-0.67%,186
2024-09-12,4.3302,4.3351,4.3302,4.334,0.0043,+0.10%,107
2024-09-11,4.3416,4.3419,4.3262,4.3297,-0.0121,-0.28%,239
2024-09-10,4.379,4.379,4.3417,4.3418,-0.0381,-0.87%,190
2024-09-09,4.3323,4.3805,4.3323,4.3799,0.0487,+1.12%,176
2024-09-06,4.3372,4.3372,4.3284,4.3312,-0.0063,-0.15%,166
2024-09-05,4.3524,4.3524,4.3309,4.3375,-0.0159,-0.37%,200
2024-09-04,4.3679,4.3679,4.3439,4.3534,-0.0149,-0.34%,273
2024-09-03,4.3514,4.3791,4.3514,4.3683,0.0171,+0.39%,127
2024-09-02,4.3202,4.3512,4.3202,4.3512,0.0315,+0.73%,162
2024-08-30,4.314,4.3197,4.3133,4.3197,0.006,+0.14%,220
2024-08-29,4.3426,4.3426,4.3137,4.3137,-0.0288,-0.66%,229
2024-08-28,4.3482,4.3482,4.3423,4.3425,-0.006,-0.14%,150
2024-08-27,4.3706,4.3706,4.3485,4.3485,-0.0237,-0.54%,76
2024-08-26,4.3741,4.3742,4.3456,4.3722,-0.0018,-0.04%,114
2024-08-23,4.3793,4.3907,4.374,4.374,-0.0045,-0.10%,267
2024-08-22,4.374,4.3817,4.3697,4.3785,0.0041,+0.09%,174
2024-08-21,4.3802,4.3802,4.3705,4.3744,-0.0068,-0.16%,213
2024-08-20,4.3818,4.3818,4.3674,4.3812,-0.0006,-0.01%,132
2024-08-19,4.4351,4.4351,4.375,4.3818,-0.0541,-1.22%,119
2024-08-16,4.4328,4.4496,4.4328,4.4359,0.0034,+0.08%,98
2024-08-15,4.4199,4.4374,4.4199,4.4325,0.013,+0.29%,75
2024-08-14,4.4556,4.4556,4.4195,4.4195,-0.0361,-0.81%,43
2024-08-13,4.4476,4.457,4.4444,4.4556,0.008,+0.18%,76
2024-08-12,4.4178,4.4476,4.4178,4.4476,0.0301,+0.68%,54
2024-08-09,4.475,4.4756,4.4175,4.4175,-0.057,-1.27%,31
2024-08-08,4.4875,4.4875,4.4721,4.4745,-0.0132,-0.29%,31
2024-08-07,4.4726,4.4934,4.4725,4.4877,0.0149,+0.33%,75
2024-08-06,4.4208,4.4739,4.4208,4.4728,0.0541,+1.22%,75
2024-08-05,4.5019,4.5019,4.416,4.4187,-0.0886,-1.97%,44
2024-08-02,4.5679,4.5679,4.5073,4.5073,-0.0607,-1.33%,75
2024-08-01,4.6036,4.6036,4.5598,4.568,-0.0364,-0.79%,81
2024-07-31,4.6251,4.6251,4.6044,4.6044,-0.0216,-0.47%,36
2024-07-30,4.6365,4.6401,4.626,4.626,-0.0106,-0.23%,47
2024-07-29,4.6563,4.6563,4.6358,4.6366,-0.0198,-0.43%,50
2024-07-26,4.6643,4.6643,4.6564,4.6564,-0.0076,-0.16%,40
2024-07-25,4.672,4.6721,4.664,4.664,-0.0081,-0.17%,41
2024-07-24,4.674,4.6741,4.672,4.6721,-0.0018,-0.04%,21
2024-07-23,4.6869,4.6869,4.6739,4.6739,-0.0134,-0.29%,33
2024-07-22,4.6738,4.6873,4.6738,4.6873,0.0144,+0.31%,31
2024-07-19,4.667,4.6729,4.667,4.6729,0.0065,+0.14%,15
2024-07-18,4.6689,4.6689,4.6659,4.6664,-0.0032,-0.07%,16
2024-07-17,4.6769,4.677,4.6696,4.6696,-0.0075,-0.16%,28
2024-07-16,4.6725,4.6778,4.6725,4.6771,0.005,+0.11%,27
2024-07-15,4.6689,4.6742,4.6689,4.6721,0.0036,+0.08%,40
2024-07-12,4.6886,4.6886,4.6684,4.6685,-0.0207,-0.44%,63
