Time,Open,High,Low,Last,Change,%Change,Volume
2025-10-15,5.4835,5.498,5.4333,5.4553,-0.0284,-0.52%,4630
2025-10-14,5.4666,5.5193,5.4565,5.4837,0.0172,+0.31%,6448
2025-10-13,5.52514,5.5597,5.44061,5.4665,-0.0542,-0.98%,5909
2025-10-10,5.3693,5.5225,5.35974,5.5207,0.1513,+2.82%,7026
2025-10-09,5.344,5.3807,5.3247,5.3694,0.0252,+0.47%,5797
2025-10-08,5.3511,5.3635,5.32917,5.3442,-0.007,-0.13%,5719
2025-10-07,5.3129,5.35683,5.30778,5.3512,0.0385,+0.72%,5731
2025-10-06,5.33744,5.3686,5.30839,5.3127,-0.0223,-0.42%,5453
2025-10-03,5.3391,5.36401,5.32407,5.335,-0.003,-0.06%,6113
2025-10-02,5.3302,5.3727,5.3069,5.338,0.008,+0.15%,5634
2025-10-01,5.3226,5.33913,5.29363,5.33,0.0073,+0.14%,6038
2025-09-30,5.3222,5.3412,5.30396,5.3227,0.0006,+0.01%,5013
2025-09-29,5.34751,5.3671,5.30492,5.3221,-0.022,-0.41%,4999
2025-09-26,5.3641,5.3757,5.3354,5.3441,-0.0202,-0.38%,5284
2025-09-25,5.3321,5.37312,5.31054,5.3643,0.0323,+0.61%,5587
2025-09-24,5.2828,5.33462,5.27603,5.332,0.049,+0.93%,4958
2025-09-23,5.3356,5.34693,5.27588,5.283,-0.0525,-0.98%,5687
2025-09-22,5.32695,5.36633,5.32092,5.3355,0.0096,+0.18%,5041
2025-09-19,5.31276,5.34174,5.30264,5.3259,0.011,+0.21%,5784
2025-09-18,5.3049,5.35612,5.2695,5.3149,0.0101,+0.19%,6266
2025-09-17,5.297,5.31357,5.27557,5.3048,0.0079,+0.15%,6052
2025-09-16,5.3171,5.3224,5.2885,5.2969,-0.0203,-0.38%,5779
2025-09-15,5.3464,5.3606,5.309,5.3172,-0.0381,-0.71%,4849
2025-09-12,5.39,5.40427,5.34537,5.3553,-0.0348,-0.65%,6011
2025-09-11,5.4087,5.42478,5.35542,5.3901,-0.0188,-0.35%,5654
2025-09-10,5.4394,5.4404,5.3989,5.4089,-0.0304,-0.56%,5907
2025-09-09,5.4191,5.44432,5.41207,5.4393,0.0205,+0.38%,5740
2025-09-08,5.41526,5.44939,5.4013,5.4188,0.0051,+0.09%,5086
2025-09-05,5.446,5.4556,5.382,5.4137,-0.0324,-0.59%,5783
2025-09-04,5.4511,5.4724,5.4415,5.4461,-0.0051,-0.09%,5687
2025-09-03,5.4644,5.499,5.43436,5.4512,-0.0133,-0.24%,5536
2025-09-02,5.4398,5.50162,5.42815,5.4645,0.025,+0.46%,6051
2025-09-01,5.43501,5.4546,5.41429,5.4395,0.0096,+0.18%,4190
2025-08-29,5.4136,5.4508,5.41121,5.4299,0.0165,+0.30%,6075
2025-08-28,5.4184,5.44003,5.39572,5.4134,-0.0045,-0.08%,5795
