Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-15,20.5,21.08,19.85,20.75,0.2657,+1.30%,154478,0
2025-10-14,19.72,21.3,19.4,20.4843,0.79,+4.01%,311848,493478
2025-10-13,21.4,21.4,19.6,19.6943,-1.5401,-7.25%,328072,502973
2025-10-10,19.21,21.45,19.11,21.2344,1.9809,+10.29%,504828,514441
2025-10-09,19.1,19.51,19,19.2535,0.0476,+0.25%,173340,512263
2025-10-08,19.4,19.47,19.05,19.2059,-0.2851,-1.46%,137432,515737
2025-10-07,19.1,19.58,18.97,19.491,0.3893,+2.04%,180283,504886
2025-10-06,19.26,19.35,19.05,19.1017,-0.1449,-0.75%,133811,501834
2025-10-03,19.31,19.41,19.1,19.2466,-0.1017,-0.53%,120031,504683
2025-10-02,19.22,19.35,19.05,19.3483,0.1992,+1.04%,118923,500832
2025-10-01,19.28,19.67,19.06,19.1491,-0.1001,-0.52%,119047,491727
2025-09-30,19.3,19.5,19.15,19.2492,-0.0475,-0.25%,110373,483764
2025-09-29,19.1,19.37,18.85,19.2967,0.2399,+1.26%,118867,476372
2025-09-26,19.71,19.85,19.05,19.0568,-0.6557,-3.33%,160910,475200
2025-09-25,19.42,19.95,19.35,19.7125,0.1878,+0.96%,161124,472139
2025-09-24,19.68,19.95,19.4,19.5247,-0.1833,-0.93%,144268,466866
2025-09-23,19.49,19.95,19.4,19.708,0.174,+0.89%,147783,472633
2025-09-22,19.3,19.6,19.25,19.534,0.2515,+1.30%,118364,473323
2025-09-19,19.2,19.45,19.12,19.2825,0.0325,+0.17%,90551,470439
2025-09-18,19.2,19.3,18.92,19.25,0.0012,+0.01%,124833,467307
2025-09-17,19.6,19.66,18.98,19.2488,-0.3992,-2.03%,182122,469201
2025-09-16,19.4,19.7,19.3,19.648,0.2762,+1.43%,237481,522273
2025-09-15,19.35,19.45,19.1,19.3718,0.0762,+0.39%,194665,514592
2025-09-12,19.35,19.35,19.1,19.2956,-0.006,-0.03%,169163,514560
2025-09-11,19.55,19.55,19.25,19.3016,-0.3418,-1.74%,168867,507402
2025-09-10,19.62,19.75,19.41,19.6434,-0.0011,-0.01%,159609,509211
2025-09-09,19.65,19.92,19.55,19.6445,-0.0406,-0.21%,163239,509393
2025-09-08,19.95,19.98,19.62,19.6851,-0.2964,-1.48%,160070,503912
2025-09-05,19.85,20.25,19.48,19.9815,0.1302,+0.66%,236560,496191
2025-09-04,20.3,20.34,19.85,19.8513,-0.5237,-2.57%,177018,489913
2025-09-03,20.51,20.61,20.3,20.375,-0.2742,-1.33%,168049,487513
2025-09-02,20.27,21,20.25,20.6492,0.3492,+1.72%,259651,479739
2025-09-01,20.2,20.4,20.08,20.3,0.0864,+0.43%,14957,407278
2025-08-29,20.05,20.32,19.92,20.2136,0.1882,+0.94%,14972,484857
2025-08-28,20.17,20.27,19.92,20.0254,-0.1496,-0.74%,123354,482526
2025-08-27,20.09,20.32,20.05,20.175,0.104,+0.52%,119491,480019
2025-08-26,20.15,20.42,20.05,20.071,-0.0788,-0.39%,127560,469056
2025-08-25,19.97,20.2,19.9,20.1498,0.1509,+0.75%,116745,463477
2025-08-22,21.07,21.15,19.95,19.9989,-1.1,-5.21%,126933,455517
2025-08-21,20.91,21.25,20.81,21.0989,0.207,+0.99%,126933,460900
2025-08-20,20.85,21.22,20.65,20.8919,0.0419,+0.20%,181298,455672
2025-08-19,20.65,20.95,20.5,20.85,0.1499,+0.72%,216593,507099
2025-08-18,21.04,21.13,20.65,20.7001,-0.2711,-1.29%,173175,506784
2025-08-15,20.9,21.05,20.75,20.9712,0.1202,+0.58%,185925,509161
2025-08-14,20.73,20.97,20.67,20.851,0.0528,+0.25%,191136,506757
2025-08-13,20.66,20.85,20.55,20.7982,0.0974,+0.47%,184316,498499
2025-08-12,21.1,21.25,20.7,20.7008,-0.3492,-1.66%,175221,492591
2025-08-11,20.9,21.11,20.87,21.05,0.025,+0.12%,169759,478916
2025-08-08,21.13,21.22,20.94,21.025,-0.2153,-1.01%,172115,466508
2025-08-07,21.05,21.35,20.91,21.2403,0.1153,+0.55%,173379,456311
2025-08-06,21.4,21.5,21.07,21.125,-0.3,-1.40%,146717,454150
2025-08-05,21.31,21.72,21.15,21.425,0.075,+0.35%,176361,451483
2025-08-04,21.75,21.86,21.3,21.35,-0.5211,-2.38%,202598,448083
2025-08-01,21.2,22,21.2,21.8711,0.6328,+2.98%,392927,440664
2025-07-31,20.93,21.3,20.76,21.2383,0.0909,+0.43%,190212,453276
2025-07-30,21.06,21.3,20.9,21.1474,0.1002,+0.48%,177888,441383
2025-07-29,20.61,21.1,20.55,21.0472,0.3959,+1.92%,150226,443023
2025-07-28,20.8,20.8,20.4,20.6513,-0.2237,-1.07%,127034,430678
2025-07-25,20.9,21.02,20.82,20.875,-0.05,-0.24%,89549,420899
