Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-15,63.45,64.18,63.25,63.98,0.47,+0.74%,30479,0
2025-10-14,63.58,63.7,62.71,63.51,-0.08,-0.13%,57893,294187
2025-10-13,64,64.42,63.5,63.59,-0.25,-0.39%,41044,291947
2025-10-10,64.46,64.79,63.26,63.84,-0.63,-0.98%,73057,291683
2025-10-09,64.92,65.28,64.41,64.47,-0.44,-0.68%,43073,286105
2025-10-08,64.4,64.95,64.16,64.91,0.45,+0.70%,36302,281566
2025-10-07,65.1,65.23,64.4,64.46,-0.68,-1.04%,42063,278939
2025-10-06,65.36,65.56,64.99,65.14,-0.16,-0.25%,26398,276920
2025-10-03,65.1,65.74,64.82,65.3,0.21,+0.32%,39033,276141
2025-10-02,65.63,65.93,65.03,65.09,-0.5,-0.76%,39804,277365
2025-10-01,65.74,65.9,64.7,65.59,-0.18,-0.27%,58161,276498
2025-09-30,65.45,65.99,65.25,65.77,0.27,+0.41%,55283,278283
2025-09-29,66.3,66.62,65.4,65.5,-0.9,-1.36%,46304,275784
2025-09-26,66.21,66.44,66.05,66.4,0.12,+0.18%,25720,273867
2025-09-25,66.16,66.36,66.06,66.28,0.11,+0.17%,27714,271929
2025-09-24,66.6,66.69,66.05,66.17,-0.47,-0.71%,24443,268862
2025-09-23,66.2,67.02,66.03,66.64,0.42,+0.63%,36143,265373
2025-09-22,66.35,66.51,66.11,66.22,-0.07,-0.11%,29863,264581
2025-09-19,66.9,67.04,66.27,66.29,-0.61,-0.91%,26836,261142
2025-09-18,67.21,67.31,66.56,66.9,-0.35,-0.52%,34371,257429
2025-09-17,67.66,67.84,67.09,67.25,-0.43,-0.64%,36208,256735
2025-09-16,66.8,67.72,66.68,67.68,0.84,+1.26%,38541,258584
2025-09-15,66.8,66.93,66.46,66.84,0.01,+0.01%,20097,257990
2025-09-12,66.74,66.92,66.32,66.83,0.11,+0.16%,24662,256806
2025-09-11,66.74,67,66.3,66.72,0.05,+0.07%,29625,255540
2025-09-10,66.46,67.1,66.43,66.67,0.21,+0.32%,30150,254879
2025-09-09,66.25,66.57,66.15,66.46,0.25,+0.38%,22221,257154
2025-09-08,66.09,66.44,65.91,66.21,0.18,+0.27%,19078,257638
2025-09-05,66.21,66.33,65.83,66.03,-0.17,-0.26%,19900,257309
2025-09-04,66.25,66.59,65.82,66.2,-0.01,-0.02%,21539,255983
2025-09-03,66.28,66.43,65.83,66.21,0.16,+0.24%,19881,254983
2025-09-02,66.63,66.86,65.8,66.05,-0.49,-0.74%,43161,253334
2025-08-29,67.3,67.5,66.51,66.54,-0.76,-1.13%,32110,248082
2025-08-28,66.68,67.59,66.6,67.3,0.62,+0.93%,36718,244864
2025-08-27,66.66,66.88,66.55,66.68,-0.03,-0.04%,23841,245489
2025-08-26,67.38,67.5,66.61,66.71,-0.61,-0.91%,32804,242777
2025-08-25,68,68.2,67.3,67.32,-0.69,-1.01%,27543,241092
2025-08-22,67.44,68.3,67.3,68.01,0.59,+0.88%,25295,241089
2025-08-21,67.51,67.85,67.22,67.42,-0.18,-0.27%,25273,242285
2025-08-20,67.51,67.9,67.36,67.6,0.04,+0.06%,18260,241602
2025-08-19,67.77,68,67.25,67.56,-0.25,-0.37%,30926,241165
2025-08-18,67.35,68,67.32,67.81,0.27,+0.40%,29932,240643
2025-08-15,67.56,67.68,67.22,67.54,-0.14,-0.21%,34186,239515
2025-08-14,67.7,68,67.41,67.68,-0.05,-0.07%,28230,238885
2025-08-13,68.4,68.5,67.51,67.73,-0.66,-0.97%,62237,238844
2025-08-12,66.82,68.47,66.73,68.39,1.63,+2.44%,70703,242389
2025-08-11,66.55,67.19,66.55,66.76,0.16,+0.24%,32827,240762
2025-08-08,66.42,66.72,65.88,66.6,0.17,+0.26%,37351,239258
2025-08-07,66.89,67.44,66.36,66.43,-0.41,-0.61%,44588,235472
2025-08-06,67.16,67.72,66.8,66.84,-0.27,-0.40%,25944,233901
2025-08-05,66.61,67.44,66.51,67.11,0.47,+0.71%,36690,235079
2025-08-04,66.36,67.16,66.36,66.64,0.28,+0.42%,38618,234048
2025-08-01,67.3,67.41,66.34,66.36,-0.89,-1.32%,51908,232793
2025-07-31,67.73,67.85,67.16,67.25,-0.25,-0.37%,27355,226348
2025-07-30,67.7,67.75,67.15,67.5,-0.17,-0.25%,29728,224510
2025-07-29,68.35,68.5,67.57,67.67,-0.67,-0.98%,38397,223445
2025-07-28,68.38,68.77,68.05,68.34,0.11,+0.16%,26838,220152
2025-07-25,68.79,68.83,68.15,68.23,-0.48,-0.70%,22619,220920
2025-07-24,68.3,68.99,68.24,68.71,0.47,+0.69%,27373,220285
2025-07-23,68.3,68.59,68.05,68.24,-0.01,-0.01%,17105,220269
2025-07-22,68.1,68.43,67.8,68.25,0.15,+0.22%,23528,218828
2025-07-21,68.74,68.88,67.92,68.1,-0.58,-0.84%,29412,215001
2025-07-18,68.8,69.15,68.38,68.68,-0.12,-0.17%,30334,215188
2025-07-17,68.56,68.95,68.35,68.8,0.24,+0.35%,20182,213214
2025-07-16,68.5,68.8,68.21,68.56,-0.03,-0.04%,21526,212229
2025-07-15,68.1,69,67.89,68.59,0.47,+0.69%,38149,211767
2025-07-14,67.44,68.2,67.36,68.12,0.7,+1.04%,25941,209370
2025-07-11,67.55,67.94,67.25,67.42,-0.31,-0.46%,24665,209353
2025-07-10,67.45,68.1,67.39,67.73,-0.05,-0.07%,20200,207882
2025-07-09,67.38,67.97,67.13,67.78,0.4,+0.59%,26768,206231
2025-07-08,67.89,68.37,67.22,67.38,-0.51,-0.75%,29141,205957
2025-07-07,68.17,68.21,67.51,67.89,-0.57,-0.83%,30553,202049
2025-07-03,68.65,68.97,68.21,68.46,-0.17,-0.25%,24325,201253
2025-07-02,68.03,68.74,67.96,68.63,0.6,+0.88%,23796,201872
2025-07-01,68.15,68.75,67.87,68.03,-0.1,-0.15%,34931,201069
2025-06-30,69.35,69.48,67.76,68.13,-1.19,-1.72%,44387,200437
2025-06-27,68.81,69.52,68.76,69.32,0.52,+0.76%,35152,202692
2025-06-26,68.34,69.1,67.83,68.8,0.48,+0.70%,37488,203881
2025-06-25,67.8,68.7,67.65,68.32,0.53,+0.78%,37349,204546
2025-06-24,67.4,68.4,67.34,67.79,0.38,+0.56%,40553,204881
2025-06-23,66.7,67.75,66.27,67.41,0.71,+1.06%,41996,206697
2025-06-20,66.7,67.43,66.41,66.7,0.03,+0.04%,52083,210620
2025-06-18,67.73,67.85,66.51,66.67,-0.88,-1.30%,40986,216985
2025-06-17,68,68.14,67.41,67.55,-0.47,-0.69%,40986,217909
2025-06-16,67.84,68.2,67.71,68.02,0.18,+0.27%,46545,220088
2025-06-13,67.49,68.16,67.16,67.84,0.37,+0.55%,60621,224576
2025-06-12,67.65,67.67,67.02,67.47,-0.18,-0.27%,65444,233826
2025-06-11,67.8,67.98,67.34,67.65,-0.06,-0.09%,67383,232832
2025-06-10,68.42,68.54,67.55,67.71,-0.64,-0.94%,88556,231537
2025-06-09,68.15,68.5,67.91,68.35,0.14,+0.21%,73034,234765
2025-06-06,67.95,68.39,67.75,68.21,0.23,+0.34%,52898,235137
2025-06-05,67.81,68.4,67.55,67.98,0.21,+0.31%,55603,239302
2025-06-04,68.5,68.59,67.69,67.77,-0.76,-1.11%,42427,238450
2025-06-03,68.71,68.87,67.98,68.53,-0.16,-0.23%,54684,239377
2025-06-02,67.85,69.03,67.85,68.69,0.94,+1.39%,66121,239076
2025-05-30,67.76,68.04,67.43,67.75,-0.01,-0.01%,35805,243366
2025-05-29,68.21,68.56,67.54,67.76,-0.34,-0.50%,34554,241125
2025-05-28,68.49,68.5,67.77,68.1,-0.22,-0.32%,41362,238055
2025-05-27,68.51,69.17,68.22,68.32,-0.31,-0.45%,38916,235156
2025-05-23,68.31,68.94,68,68.63,0.37,+0.54%,34222,233448
2025-05-22,68.55,68.71,67.96,68.26,-0.45,-0.65%,28450,235226
2025-05-21,68.75,68.98,68.27,68.71,-0.03,-0.04%,25508,235093
2025-05-20,68.34,68.98,67.95,68.74,0.4,+0.59%,30842,235995
2025-05-19,67.96,68.71,67.67,68.34,0.67,+0.99%,34768,235689
2025-05-16,68.17,68.45,67.54,67.67,-0.51,-0.75%,29522,234470
2025-05-15,68.27,68.45,67.72,68.18,-0.07,-0.10%,38220,232118
2025-05-14,68.91,69.19,68.22,68.25,-0.52,-0.76%,42043,228242
2025-05-13,68.9,69.56,68.61,68.77,-0.08,-0.12%,37018,224739
2025-05-12,69.56,70.5,68.8,68.85,0.18,+0.26%,60565,222236
2025-05-09,68.75,69.21,68.42,68.67,-0.08,-0.12%,29160,219244
2025-05-08,69.14,69.44,68.35,68.75,-0.5,-0.72%,38896,218336
2025-05-07,69.74,70.55,69.12,69.25,-0.27,-0.39%,44127,216794
2025-05-06,69.35,69.98,69.35,69.52,-0.46,-0.66%,31773,219537
2025-05-05,69.55,70.15,69.5,69.98,0.27,+0.39%,30887,216912
2025-05-02,67.63,69.76,67.51,69.71,2.28,+3.38%,64607,218192
2025-05-01,67.79,67.91,67.32,67.43,-0.36,-0.53%,27874,213773
2025-04-30,68.35,68.35,67.48,67.79,-0.48,-0.70%,36127,213513
2025-04-29,69.02,69.23,67.94,68.27,-0.74,-1.07%,45236,210605
2025-04-28,69.89,69.89,68.67,69.01,-0.96,-1.37%,36601,215381
2025-04-25,70.35,70.75,69.56,69.97,-0.4,-0.57%,33055,216521
2025-04-24,69.9,70.47,69.66,70.37,0.4,+0.57%,44471,219021
2025-04-23,68.86,70.25,68.5,69.97,1.26,+1.83%,71615,220462
2025-04-22,68.42,68.81,67.91,68.71,0.41,+0.60%,41306,217691
2025-04-21,68.47,68.68,67.64,68.3,-0.14,-0.20%,34430,218016
2025-04-17,67.86,68.58,67.76,68.44,0.53,+0.78%,37441,219390
2025-04-16,67.62,68.07,67.23,67.91,0.31,+0.46%,37441,219974
2025-04-15,66.94,67.68,66.66,67.6,0.66,+0.99%,51665,222397
2025-04-14,68.51,68.76,66.76,66.94,-1.57,-2.29%,63857,225144
2025-04-11,68.34,68.82,67.9,68.51,0.23,+0.34%,84634,230414
2025-04-10,68.47,69.32,68.02,68.28,-0.19,-0.28%,97964,246766
2025-04-09,67.09,68.7,66.55,68.47,0.72,+1.06%,130313,253589
2025-04-08,68.15,68.23,67.1,67.75,-0.48,-0.70%,102866,266116
2025-04-07,65.3,68.31,65.04,68.23,2.07,+3.13%,137877,275611
2025-04-04,67.45,67.85,64.24,66.16,-1.39,-2.06%,163769,285401
2025-04-03,69,69,67.39,67.55,-2.84,-4.03%,96524,280470
2025-04-02,70.61,70.93,70.28,70.39,-0.42,-0.59%,71814,282791
2025-04-01,69.94,70.89,69.58,70.81,0.89,+1.27%,76831,289328
2025-03-31,70,70.02,69.33,69.92,-0.17,-0.24%,55923,290690
2025-03-28,70.15,70.28,69.8,70.09,-0.2,-0.28%,45141,286934
2025-03-27,69.17,70.31,69.09,70.29,1,+1.44%,56356,286041
2025-03-26,68.85,69.51,68.7,69.29,0.49,+0.71%,36370,284585
2025-03-25,68.93,69.23,68.57,68.8,-0.13,-0.19%,35899,283040
2025-03-24,68.79,69.12,68.37,68.93,0.27,+0.39%,33253,282273
2025-03-21,69.43,69.58,68.61,68.66,-0.7,-1.01%,27589,277903
2025-03-20,69.6,69.92,69.06,69.36,-0.16,-0.23%,29408,274352
2025-03-19,69.57,69.65,69.22,69.52,-0.04,-0.06%,35687,275081
2025-03-18,69.76,69.97,69.21,69.56,-0.3,-0.43%,33784,272839
2025-03-17,69.97,70.43,69.73,69.86,-0.12,-0.17%,34874,273222
2025-03-14,69.19,70.07,69.19,69.98,0.78,+1.13%,41855,276847
2025-03-13,69.62,69.74,69.08,69.2,-0.45,-0.65%,38097,274997
2025-03-12,68.97,69.66,68.81,69.65,0.8,+1.16%,40515,273897
2025-03-11,68.45,69.28,68.24,68.85,0.19,+0.28%,33783,270768
2025-03-10,68.5,69.24,68.43,68.66,0.2,+0.29%,51737,268910
2025-03-07,67.82,68.8,67.58,68.46,0.37,+0.54%,40846,270656
2025-03-06,67.05,68.31,66.96,68.09,1.25,+1.87%,63002,273715
2025-03-05,66.57,67,66.18,66.84,0.32,+0.48%,47686,282197
2025-03-04,68.05,68.09,66,66.52,-1.57,-2.31%,118432,280617
2025-03-03,67.99,68.83,67.86,68.09,0.21,+0.31%,47078,276804
2025-02-28,68.69,68.74,67.8,67.88,-0.79,-1.15%,60688,279370
2025-02-27,68.85,69.3,68.63,68.67,-0.08,-0.12%,33311,274128
2025-02-26,69.14,69.15,68.69,68.75,-0.33,-0.48%,32052,273021
2025-02-25,69.5,69.61,68.86,69.08,-0.42,-0.60%,28928,268701
2025-02-24,69.19,69.74,69.19,69.5,0.35,+0.51%,30274,267361
2025-02-21,69.36,69.55,68.9,69.15,-0.01,-0.01%,39416,265442
2025-02-20,69.29,69.38,69.01,69.16,-0.11,-0.16%,51723,266682
2025-02-19,69.87,69.96,69.24,69.27,-0.6,-0.86%,72565,270771
2025-02-18,69.8,70.19,69.65,69.87,0.48,+0.69%,77571,278259
2025-02-14,69.35,69.85,69.26,69.39,0.24,+0.35%,73466,282243
2025-02-13,69.7,69.72,69.05,69.15,-0.57,-0.82%,73466,284820
2025-02-12,69.9,70.17,69.55,69.72,-0.17,-0.24%,80934,289885
2025-02-11,69.7,70,69.53,69.89,0.52,+0.75%,95911,287555
2025-02-10,68.8,69.82,68.74,69.37,0.76,+1.11%,85715,285719
2025-02-07,68.97,69.39,68.5,68.61,-0.28,-0.41%,80812,283925
2025-02-06,68.61,69.15,68.5,68.89,0.17,+0.25%,62727,289643
2025-02-05,69.4,69.71,68.62,68.72,-0.65,-0.94%,70992,287973
2025-02-04,68.68,69.52,68.64,69.37,0.88,+1.28%,78486,289974
2025-02-03,68.52,68.63,67.83,68.49,-0.22,-0.32%,86284,287916
2025-01-31,68.87,69.01,68.41,68.71,-0.17,-0.25%,57473,286272
2025-01-30,68.9,69.1,68.61,68.88,-0.04,-0.06%,53522,283979
2025-01-29,69.14,69.25,68.85,68.92,-0.16,-0.23%,42142,280364
2025-01-28,69.43,69.61,69.03,69.08,-0.27,-0.39%,33394,276543
2025-01-27,69.5,69.98,69.3,69.35,-0.15,-0.22%,32606,273355
2025-01-24,69.43,70.06,69.41,69.5,0.04,+0.06%,39113,274523
2025-01-23,69.11,69.58,68.83,69.46,0.32,+0.46%,32106,273886
2025-01-22,69.29,69.64,69.05,69.14,-0.23,-0.33%,34555,271631
2025-01-21,69.14,69.81,69.14,69.37,0.25,+0.36%,39126,269868
2025-01-17,68.61,69.14,68.53,69.12,0.59,+0.86%,38037,272536
2025-01-16,69.46,69.46,68.51,68.53,-0.91,-1.31%,38037,264122
2025-01-15,69.26,69.48,69.1,69.44,0.15,+0.22%,32092,260246
2025-01-14,69.56,69.61,69.03,69.29,-0.2,-0.29%,36831,256759
2025-01-13,69,69.6,68.68,69.49,0.63,+0.91%,52075,253813
2025-01-10,69.93,70,68.7,68.86,-1.04,-1.49%,53181,249267
2025-01-09,69.55,69.99,69.35,69.9,0.33,+0.47%,29869,244581
2025-01-08,69.82,69.86,69.42,69.57,-0.31,-0.44%,28018,243422
2025-01-07,69.91,70.19,69.64,69.88,-0.02,-0.03%,29113,242742
2025-01-06,69.2,69.91,69.2,69.9,0.84,+1.22%,30414,241392
2025-01-03,69.65,69.7,69,69.06,-0.68,-0.98%,29716,241128
2025-01-02,69.62,70.44,69.62,69.74,0.04,+0.06%,29494,238751
2024-12-31,69.77,70.13,69.56,69.7,-0.08,-0.11%,18418,238272
2024-12-30,69.6,70.24,69.51,69.78,-0.24,-0.34%,18418,238078
2024-12-27,70.37,70.37,69.59,70.02,0.07,+0.10%,12974,236987
2024-12-26,69.92,70.12,69.71,69.95,0.04,+0.06%,12042,236670
2024-12-24,70.19,70.43,69.82,69.91,-0.46,-0.65%,33239,237109
2024-12-23,69.49,70.65,69.49,70.37,1.09,+1.57%,33239,239250
2024-12-20,69.16,69.42,68.81,69.28,0.16,+0.23%,25609,240612
2024-12-19,69.41,69.54,68.9,69.12,-0.27,-0.39%,32674,244867
2024-12-18,69.9,69.94,69.37,69.39,-0.52,-0.74%,32936,243242
2024-12-17,70.3,70.38,69.75,69.91,-0.42,-0.60%,32268,239659
2024-12-16,70.48,70.99,70.3,70.33,-0.16,-0.23%,20898,237164
2024-12-13,71.18,71.18,70.47,70.49,-0.78,-1.09%,24400,236691
2024-12-12,71.18,71.46,71.03,71.27,0.09,+0.13%,26196,236192
