Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-14,1079,1079,1079,1079,1,+0.09%,0,0
2025-10-13,1078,1078,1078,1078,3,+0.28%,0,0
2025-10-10,1075,1075,1075,1075,-3.,-0.28%,0,0
2025-10-09,1078,1078,1078,1078,2.5,+0.23%,0,0
2025-10-08,1075.5,1075.5,1075.5,1075.5,1,+0.09%,0,0
2025-10-07,1074.5,1074.5,1074.5,1074.5,-1.5,-0.14%,0,0
2025-10-06,1076,1076,1076,1076,-2.5,-0.23%,0,0
2025-10-03,1078.5,1078.5,1078.5,1078.5,-1.5,-0.14%,0,0
2025-10-02,1080,1080,1080,1080,6.5,+0.61%,0,0
2025-10-01,1073.5,1073.5,1073.5,1073.5,10.5,+0.99%,0,0
2025-09-30,1063,1063,1063,1063,3,+0.28%,0,0
2025-09-29,1060,1060,1060,1060,-2.5,-0.24%,0,0
2025-09-26,1062.5,1062.5,1062.5,1062.5,2,+0.19%,0,0
2025-09-25,1060.5,1060.5,1060.5,1060.5,1,+0.09%,0,0
2025-09-24,1059.5,1059.5,1059.5,1059.5,3,+0.28%,0,0
2025-09-23,1056.5,1056.5,1056.5,1056.5,7.5,+0.71%,0,0
2025-09-22,1049,1049,1049,1049,-12.,-1.13%,0,0
2025-09-19,1061,1061,1061,1061,-0.5,-0.05%,0,0
2025-09-18,1061.5,1061.5,1061.5,1061.5,3.5,+0.33%,0,0
2025-09-17,1058,1058,1058,1058,3,+0.28%,0,0
2025-09-16,1055,1055,1055,1055,6.5,+0.62%,0,0
2025-09-15,1048.5,1048.5,1048.5,1048.5,1.5,+0.14%,0,0
2025-09-12,1047,1047,1047,1047,6,+0.58%,0,0
2025-09-11,1041,1041,1041,1041,-0.5,-0.05%,0,0
2025-09-10,1041.5,1041.5,1041.5,1041.5,1.5,+0.14%,0,0
2025-09-09,1040,1040,1040,1040,0,0.00%,0,0
2025-09-08,1040,1040,1040,1040,-2.5,-0.24%,0,0
2025-09-05,1042.5,1042.5,1042.5,1042.5,3.5,+0.34%,0,0
2025-09-04,1039,1039,1039,1039,-2.,-0.19%,0,0
2025-09-03,1041,1041,1041,1041,-5.5,-0.53%,0,0
2025-09-02,1046.5,1046.5,1046.5,1046.5,4,+0.38%,0,0
2025-08-29,1042.5,1042.5,1042.5,1042.5,0,0.00%,0,0
2025-08-28,1042.5,1042.5,1042.5,1042.5,-4.5,-0.43%,0,0
2025-08-27,1047,1047,1047,1047,7.5,+0.72%,0,0
2025-08-26,1039.5,1039.5,1039.5,1039.5,2,+0.19%,0,0
2025-08-25,1037.5,1037.5,1037.5,1037.5,0,0.00%,0,0
2025-08-22,1037.5,1037.5,1037.5,1037.5,-2.5,-0.24%,0,0
2025-08-21,1040,1040,1040,1040,3.5,+0.34%,0,0
2025-08-20,1036.5,1036.5,1036.5,1036.5,1,+0.10%,0,0
2025-08-19,1035.5,1035.5,1035.5,1035.5,-1.5,-0.14%,0,0
2025-08-18,1037,1037,1037,1037,0.5,+0.05%,0,0
2025-08-15,1036.5,1036.5,1036.5,1036.5,8.5,+0.83%,0,0
2025-08-14,1028,1028,1028,1028,9.5,+0.93%,0,0
2025-08-13,1018.5,1018.5,1018.5,1018.5,4.5,+0.44%,0,0
2025-08-12,1014,1014,1014,1014,-13.,-1.27%,0,0
2025-08-11,1027,1027,1027,1027,1,+0.10%,0,0
2025-08-08,1026,1026,1026,1026,1.5,+0.15%,0,0
