Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-15,62.28,63.02,61.79,62.02,-0.37,-0.59%,96042,0
2025-10-14,63.44,63.62,61.5,62.39,-0.93,-1.47%,161982,208408
2025-10-13,62.67,63.95,62.67,63.32,0.59,+0.94%,194588,206296
2025-10-10,65.19,65.35,62.13,62.73,-2.49,-3.82%,194577,203029
2025-10-09,66.09,66.56,64.96,65.22,-1.03,-1.55%,131950,203152
2025-10-08,65.83,66.53,65.77,66.25,0.8,+1.22%,120764,202279
2025-10-07,65.54,65.83,64.52,65.45,-0.02,-0.03%,110458,200085
2025-10-06,64.82,65.77,64.76,65.47,0.94,+1.46%,112946,201947
2025-10-03,64.3,65,64.21,64.53,0.42,+0.66%,112429,196556
2025-10-02,65.32,66.13,64,64.11,-1.24,-1.90%,144554,195093
2025-10-01,66.09,66.57,65.04,65.35,-0.68,-1.03%,123073,194966
2025-09-30,66.78,66.83,65.64,66.03,-1.06,-1.58%,135530,197732
2025-09-29,68.55,68.95,66.68,67.09,-2.13,-3.08%,113263,222634
2025-09-26,68.8,69.87,68.28,69.22,0.64,+0.93%,142240,224374
2025-09-25,68.29,68.84,67.67,68.58,0.12,+0.18%,129817,222831
2025-09-24,67.2,68.51,66.8,68.46,1.49,+2.22%,132753,216197
2025-09-23,66,67.42,65.51,66.97,1,+1.52%,108951,213683
2025-09-22,66.14,66.65,65.35,65.97,-0.07,-0.11%,108433,208512
2025-09-19,66.92,67.04,65.85,66.04,-0.88,-1.32%,111915,206364
2025-09-18,67.35,67.88,66.69,66.92,-0.54,-0.80%,121673,206111
2025-09-17,68.01,68.13,67.13,67.46,-0.55,-0.81%,109254,206041
2025-09-16,67.06,68.2,66.65,68.01,0.97,+1.45%,124969,205173
2025-09-15,66.76,67.4,66.37,67.04,0.5,+0.75%,81265,203946
2025-09-12,65.89,67.7,65.36,66.54,0.53,+0.80%,186785,204414
2025-09-11,67.22,67.28,65.82,66.01,-1.15,-1.71%,111114,202779
2025-09-10,66.18,67.4,66.17,67.16,1.05,+1.59%,126799,207761
2025-09-09,65.86,67.01,65.77,66.11,0.44,+0.67%,137599,208059
2025-09-08,65.6,66.57,65.12,65.67,0.56,+0.86%,111394,205691
2025-09-05,66.39,66.57,64.69,65.11,-1.42,-2.13%,153967,204557
