Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-14,153.25,153.25,153.25,153.25,1.5,+0.99%,0,0
2025-10-13,151.75,151.75,151.75,151.75,3.75,+2.53%,0,0
2025-10-10,148,148,148,148,0.75,+0.51%,0,0
2025-10-09,147.25,147.25,147.25,147.25,-1.25,-0.84%,0,0
2025-10-08,148.5,148.5,148.5,148.5,0,0.00%,0,0
2025-10-07,148.5,148.5,148.5,148.5,2.5,+1.71%,0,0
2025-10-06,146,146,146,146,0.5,+0.34%,0,0
2025-10-03,145.5,145.5,145.5,145.5,0,0.00%,0,0
2025-10-02,145.5,145.5,145.5,145.5,2,+1.39%,0,0
2025-10-01,143.5,143.5,143.5,143.5,-0.5,-0.35%,0,0
2025-09-30,144,144,144,144,2,+1.41%,0,0
2025-09-29,142,142,142,142,-0.5,-0.35%,0,0
2025-09-26,142.5,142.5,142.5,142.5,0.75,+0.53%,0,0
2025-09-25,141.75,141.75,141.75,141.75,-5.,-3.41%,0,0
2025-09-24,146.75,146.75,146.75,146.75,0,0.00%,0,0
2025-09-23,146.75,146.75,146.75,146.75,-5.,-3.29%,0,0
2025-09-22,151.75,151.75,151.75,151.75,-4.25,-2.72%,0,0
2025-09-19,156,156,156,156,4.75,+3.14%,0,0
2025-09-18,151.25,151.25,151.25,151.25,-3.,-1.94%,0,0
2025-09-17,154.25,154.25,154.25,154.25,-10.5,-6.37%,0,0
2025-09-16,164.75,164.75,164.75,164.75,4,+2.49%,0,0
2025-09-15,160.75,160.75,160.75,160.75,-1.75,-1.08%,0,0
2025-09-12,162.5,162.5,162.5,162.5,-4.5,-2.69%,0,0
2025-09-11,167,167,167,167,2.5,+1.52%,0,0
2025-09-10,164.5,164.5,164.5,164.5,4.75,+2.97%,0,0
2025-09-09,159.75,159.75,159.75,159.75,-1.,-0.62%,0,0
2025-09-08,160.75,160.75,160.75,160.75,-0.5,-0.31%,0,0
2025-09-05,161.25,161.25,161.25,161.25,-1.,-0.62%,0,0
2025-09-04,162.25,162.25,162.25,162.25,2,+1.25%,0,0
2025-09-03,160.25,160.25,160.25,160.25,-2.25,-1.38%,0,0
2025-09-02,162.5,162.5,162.5,162.5,7.75,+5.01%,0,0
2025-08-29,154.75,154.75,154.75,154.75,-6.,-3.73%,0,0
2025-08-28,160.75,160.75,160.75,160.75,-10.5,-6.13%,0,0
2025-08-27,171.25,171.25,171.25,171.25,-12.75,-6.93%,0,0
2025-08-26,184,184,184,184,-11.75,-6.00%,0,0
2025-08-25,195.75,195.75,195.75,195.75,4.5,+2.35%,0,0
2025-08-22,191.25,191.25,191.25,191.25,7.5,+4.08%,0,0
2025-08-21,183.75,183.75,183.75,183.75,0,0.00%,0,0
2025-08-20,183.75,183.75,183.75,183.75,-3.5,-1.87%,0,0
2025-08-19,187.25,187.25,187.25,187.25,0,0.00%,0,0
2025-08-18,187.25,187.25,187.25,187.25,-3.75,-1.96%,0,0
2025-08-15,191,191,191,191,-3.,-1.55%,0,0
2025-08-14,194,194,194,194,-3.75,-1.90%,0,0
2025-08-13,197.75,197.75,197.75,197.75,3.75,+1.93%,0,0
2025-08-12,194,194,194,194,-16.25,-7.73%,0,0
2025-08-11,210.25,210.25,210.25,210.25,-7.5,-3.44%,0,0
