Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-15,616,624.3,613.3,622.4,6.8,+1.10%,59689,0
2025-10-14,610.3,620.6,607.4,615.6,8.2,+1.35%,105208,260351
2025-10-10,616.9,618,604.6,607.4,-9.5,-1.54%,67404,262858
2025-10-09,616,620,614,616.9,-0.1,-0.02%,67404,260106
2025-10-08,615,617.9,610.9,617,2,+0.33%,71785,259355
2025-10-07,607,615.4,606.9,615,7.5,+1.23%,38858,260586
2025-10-06,606,609.7,603.3,607.5,2.5,+0.41%,39060,259740
2025-10-03,613.6,616,604.5,605,-8.8,-1.43%,57857,258902
2025-10-02,606.2,617.9,606.1,613.8,6.6,+1.09%,63817,259029
2025-10-01,602,612,596.7,607.2,2,+0.33%,72102,259560
2025-09-30,605.2,605.2,605.2,605.2,0,0.00%,49693,258044
2025-09-29,614.6,614.6,603.2,605.2,-9.4,-1.53%,0,258044
2025-09-26,618.9,619.4,613,614.6,-5.,-0.81%,42489,257439
2025-09-25,617.3,625.6,617,619.6,1.5,+0.24%,42073,258013
2025-09-24,617,623.8,614.2,618.1,0.5,+0.08%,35666,256496
2025-09-23,610.2,620,606.1,617.6,7.2,+1.18%,54712,257145
2025-09-22,618.1,619.8,608,610.4,-8.2,-1.33%,53374,258016
2025-09-19,624.2,628.8,616.2,618.6,-5.3,-0.85%,44579,258315
2025-09-18,627.6,634.1,622.2,623.9,-4.2,-0.67%,44386,257332
2025-09-17,640,640.6,626.7,628.1,-12.7,-1.98%,43972,252456
2025-09-16,631,644.6,629.5,640.8,8.5,+1.34%,42351,251912
2025-09-15,635.5,640.2,629,632.3,-7.4,-1.16%,38770,249904
2025-09-12,631.5,640.8,628.2,639.7,8,+1.27%,48562,248859
2025-09-11,627,633.3,622.5,631.7,3.6,+0.57%,33520,246638
2025-09-10,618.4,628.5,615.4,628.1,8.4,+1.36%,39203,246304
2025-09-09,626,629.5,618.2,619.7,-7.6,-1.21%,44917,244031
2025-09-08,616.8,628,616.2,627.3,10.5,+1.70%,40429,239948
2025-09-05,621,631,614.4,616.8,-3.4,-0.55%,51688,240031
2025-09-04,616.5,621.5,610.2,620.2,3.3,+0.53%,62844,239949
2025-09-03,629.1,630,616.2,616.9,-13.4,-2.13%,57184,235640
2025-09-02,628,634.9,621.7,630.3,3.9,+0.62%,58408,232861
2025-08-29,635,636,621.7,626.4,-9.3,-1.46%,58059,232032
2025-08-28,649.3,649.9,633.1,635.7,-15.,-2.31%,56191,232900
2025-08-27,654.8,657.7,650,650.7,-4.1,-0.63%,28219,228372
2025-08-26,659.2,663,648.1,654.8,-4.6,-0.70%,40659,227669
2025-08-25,665,676.7,658.7,659.4,-7.1,-1.07%,38295,227114
