Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-15,501,501.25,494.75,498.75,-1.5,-0.30%,42746,0
2025-10-14,498.5,501.75,492.25,500.25,3.5,+0.70%,113268,540599
2025-10-13,499.25,501.75,494.5,496.75,-1.75,-0.35%,100473,535253
2025-10-10,508.5,509.5,496.75,498.5,-8.,-1.58%,106039,525824
2025-10-09,508,513.5,506.5,506.5,-0.75,-0.15%,168533,510886
2025-10-08,507,508.75,503.75,507.25,0.5,+0.10%,82838,500138
2025-10-07,513,514.25,505.75,506.75,-6.,-1.17%,93929,494791
2025-10-06,515.25,518.25,512,512.75,-2.5,-0.49%,89999,488736
2025-10-03,514,518.5,512.75,515.25,0.5,+0.10%,85045,484424
2025-10-02,509,516,508.25,514.75,5.5,+1.08%,100607,485295
2025-10-01,508,510.25,502,509.25,1.25,+0.25%,141532,485322
2025-09-30,519.5,519.75,506.75,508,-11.5,-2.21%,162154,472182
2025-09-29,519,522.5,516.75,519.5,-0.25,-0.05%,74877,461845
2025-09-26,526.25,527.75,518.75,519.75,-7.25,-1.38%,86024,457934
2025-09-25,520.5,527.5,518.25,527,7.5,+1.44%,88058,459894
2025-09-24,520.5,524.5,519,519.5,-1.,-0.19%,87266,459074
2025-09-23,511,521,507.25,520.5,9.75,+1.91%,112052,464988
2025-09-22,522.25,523,508.5,510.75,-11.75,-2.25%,135658,467316
2025-09-19,525,526.75,520.25,522.5,-1.75,-0.33%,73461,460134
2025-09-18,528.25,532.25,523,524.25,-4.,-0.76%,65530,458582
2025-09-17,533.5,535.75,526,528.25,-5.75,-1.08%,90982,456383
2025-09-16,525,534.5,524,534,9,+1.71%,74933,458420
2025-09-15,522.75,529.25,520.25,525,1.5,+0.29%,82503,459283
2025-09-12,520.75,524,515.25,523.5,2,+0.38%,84156,459071
2025-09-11,515.25,522.25,512,521.5,6.5,+1.26%,107834,461374
2025-09-10,520,522.25,514.75,515,-5.25,-1.01%,55339,453845
2025-09-09,524,525,519.25,520.25,-3.5,-0.67%,56129,451108
2025-09-08,519,524.5,516.25,523.75,4.5,+0.87%,81392,451730
2025-09-05,520.25,523.5,518,519.25,-0.25,-0.05%,62938,450920
2025-09-04,522,522.5,514.5,519.5,-2.5,-0.48%,112738,450299
2025-09-03,528.25,530,521.75,522,-6.25,-1.18%,116679,441213
2025-09-02,530.5,532,522.25,528.25,-6.,-1.12%,140442,425549
2025-08-29,529,534.75,527,534.25,5.25,+0.99%,123080,415818
2025-08-28,524.25,530,520.25,529,4.75,+0.91%,123698,426487
2025-08-27,531.25,532.75,523.25,524.25,-7.5,-1.41%,156485,437118
2025-08-26,529.75,534.5,527,531.75,2,+0.38%,131312,451551
2025-08-25,527.75,535.5,526.75,529.75,2.5,+0.47%,129311,466942
2025-08-22,529.25,532,526.5,527.25,-2.5,-0.47%,144452,473417
2025-08-21,529,534.25,525.25,529.75,1.5,+0.28%,195956,487864
2025-08-20,521,530.75,517.25,528.25,7,+1.34%,194636,488685
2025-08-19,525,525,519.5,521.25,-3.75,-0.71%,155233,492954
2025-08-18,526.5,530,521.75,525,-2.,-0.38%,177167,493876
2025-08-15,525,529,523,527,2.5,+0.48%,140119,487170
2025-08-14,527,529.75,521.5,524.5,-3.75,-0.71%,174456,490457
2025-08-13,525.5,531,523.25,528.25,2.25,+0.43%,188341,494746
2025-08-12,534.5,535.5,524,526,-9.5,-1.77%,264798,487569
2025-08-11,536.5,542.75,533.75,535.5,0.5,+0.09%,186982,483539
2025-08-08,538.5,542,534.25,535,-4.,-0.74%,172351,493667
2025-08-07,529.25,540.5,529,539,9.75,+1.84%,182508,503088
2025-08-06,528.25,530,525,529.25,0.75,+0.14%,144143,507268
2025-08-05,537.5,537.5,527.25,528.5,-8.5,-1.58%,132159,494130
2025-08-04,537,543,533.5,537,0,0.00%,137950,492226
2025-08-01,542.5,545.25,536.25,537,-5.5,-1.01%,125656,474480
2025-07-31,543.75,546,536.75,542.5,-1.75,-0.32%,151111,466070
2025-07-30,550,551.5,543.75,544.25,-5.75,-1.05%,125671,455819
2025-07-29,558.5,559,546.25,550,-8.75,-1.57%,142151,445847
2025-07-28,556.75,559.75,552.25,558.75,0.5,+0.09%,78741,443433
2025-07-25,561,563.75,554,558.25,-3.,-0.53%,65905,440076
2025-07-24,562.5,566,555.5,561.25,0,0.00%,106794,442286
2025-07-23,568.75,572,561,561.25,-8.25,-1.45%,94763,436695
2025-07-22,562.25,572.75,557.5,569.5,6.25,+1.11%,116705,435642
2025-07-21,567,570,562.25,563.25,-3.75,-0.66%,78027,433411
2025-07-18,554,570.25,553.5,567,12.75,+2.30%,142684,431164
2025-07-17,561,563.25,552.75,554.25,-7.5,-1.34%,98391,431574
2025-07-16,558.75,563.75,554.25,561.75,3,+0.54%,104235,418081
2025-07-15,564,565.75,556.5,558.75,-3.5,-0.62%,90999,413231
2025-07-14,564,572,559.75,562.25,-3.25,-0.57%,88144,406927
2025-07-11,575.5,578,564.5,565.5,-9.5,-1.65%,131675,403686
2025-07-10,566.75,575.75,561.25,575,7.75,+1.37%,92829,396963
2025-07-09,567.5,571.75,562.25,567.25,-1.25,-0.22%,87731,392979
2025-07-08,569.75,570.75,563.5,568.5,-1.75,-0.31%,107262,391310
2025-07-07,573.5,574.25,563.5,570.25,-8.,-1.38%,122824,384128
2025-07-03,582.25,588.5,577.75,578.25,-5.75,-0.98%,153177,377583
2025-07-02,570,585.25,565.25,584,14.75,+2.59%,161884,379658
2025-07-01,560,570.5,557.5,569.25,9.25,+1.65%,184927,382143
2025-06-30,563,567.25,556.75,560,-3.,-0.53%,112144,372071
2025-06-27,559.75,567.5,559.5,563,3.25,+0.58%,109010,370002
2025-06-26,567.5,571,559.25,559.75,-7.75,-1.37%,141571,371523
2025-06-25,575.25,577.25,565.75,567.5,-8.25,-1.43%,121865,372160
2025-06-24,592.25,593,575.25,575.75,-17.,-2.87%,171241,373204
2025-06-23,607,607.75,590,592.75,-13.25,-2.19%,190638,373983
2025-06-20,610,616.25,604,606,-6.25,-1.02%,183561,384373
2025-06-18,586.5,612.75,585,612.25,25.25,+4.30%,286746,413367
2025-06-17,574.25,589.25,573.75,587,13.25,+2.31%,174196,419798
2025-06-16,585.5,585.5,569.25,573.75,-6.75,-1.16%,188299,417271
2025-06-13,563.5,581.25,559.5,580.5,17,+3.02%,219301,421077
2025-06-12,570.75,573.25,562.5,563.5,-7.,-1.23%,189533,431809
2025-06-11,570.5,574.25,568,570.5,0.25,+0.04%,158921,436739
2025-06-10,578,579.25,567.25,570.25,-9.,-1.55%,193171,441963
2025-06-09,590.25,593.5,577.25,579.25,-10.5,-1.78%,210349,452470
2025-06-06,580.75,591.25,575.25,589.75,8.75,+1.51%,194123,462193
2025-06-05,580.5,584.75,576.75,581,2,+0.35%,132312,472044
2025-06-04,572.25,582.5,570.25,579,6.25,+1.09%,145648,471933
2025-06-03,574,581.5,569.25,572.75,-2.25,-0.39%,157203,471829
2025-06-02,572.5,585.25,570.5,575,4,+0.70%,156491,474981
2025-05-30,572,576,568.25,571,-0.5,-0.09%,101128,474623
2025-05-29,570.75,573,565.5,571.5,2.75,+0.48%,91225,477189
2025-05-28,569,574.5,565.5,568.75,1.25,+0.22%,118789,475841
2025-05-27,580,582.25,567.25,567.5,-13.25,-2.28%,125838,475725
2025-05-23,583.75,586.5,577.25,580.75,-2.5,-0.43%,118272,472088
2025-05-22,585,589.25,578,583.25,-2.25,-0.38%,164332,462046
2025-05-21,580.25,591.75,580,585.5,5.25,+0.90%,145726,467863
2025-05-20,566,581.5,564.25,580.25,15.75,+2.79%,142508,478028
2025-05-19,560.75,570.5,560,564.5,3.75,+0.67%,117870,481880
2025-05-16,568.5,569,559.25,560.75,-7.25,-1.28%,87026,482560
2025-05-15,560.25,568.25,558.5,568,7.25,+1.29%,121797,482178
2025-05-14,555.25,561.75,548.5,560.75,6.75,+1.22%,105109,484387
2025-05-13,551.25,556.25,543.75,554,2.25,+0.41%,135615,481487
2025-05-12,561.5,563.5,550.75,551.75,-6.5,-1.16%,140619,474922
2025-05-09,568.75,569.25,557.25,558.25,-7.75,-1.37%,99123,471244
2025-05-08,570.5,575.25,562.25,566,-5.25,-0.92%,91621,461520
2025-05-07,573,580.5,570,571.25,-1.,-0.17%,103279,455919
2025-05-06,569,574.25,565.25,572.25,4.25,+0.75%,89848,456016
2025-05-05,580.5,582.75,567.5,568,-10.75,-1.86%,104797,452369
2025-05-02,569.5,582,568,578.75,10.5,+1.85%,107944,450878
2025-05-01,570,574.5,566.75,568.25,0,0.00%,99856,454857
2025-04-30,565.25,576.25,561.5,568.25,4.25,+0.75%,147635,447682
2025-04-29,571.5,575.25,562.5,564,-5.75,-1.01%,139288,447242
2025-04-28,580.5,581.5,566.25,569.75,-12.5,-2.15%,177747,446741
2025-04-25,582.5,586.25,579.5,582.25,0.75,+0.13%,110550,447662
2025-04-24,581.25,582,576,581.5,1.25,+0.22%,114202,456164
2025-04-23,586,587.75,579.75,580.25,-5.75,-0.98%,102565,450310
2025-04-22,590.5,592,583.25,586,-4.25,-0.72%,125332,454265
2025-04-21,598.25,602.75,589.25,590.25,-7.75,-1.30%,87833,458150
2025-04-17,597,604,596.25,598,2,+0.34%,114599,456707
2025-04-16,592.75,599.5,587.75,596,3.25,+0.55%,158857,461864
2025-04-15,599.5,602.25,592.25,592.75,-6.5,-1.08%,161331,466135
2025-04-14,605.25,605.5,595,599.25,-6.5,-1.07%,188688,470960
2025-04-11,590.25,606.25,588.75,605.75,15.25,+2.58%,263132,464833
2025-04-10,594.25,597.25,586.5,590.5,-1.25,-0.21%,243215,477459
2025-04-09,592.25,595.5,586.75,591.75,1,+0.17%,178696,473793
2025-04-08,588,594.75,585,590.75,4.5,+0.77%,205868,474640
2025-04-07,581.75,596,577,586.25,5.5,+0.95%,205484,479855
2025-04-04,589.25,591.75,573.25,580.75,-8.25,-1.40%,161114,490830
2025-04-03,579.75,594,578,589,-2.25,-0.38%,160910,487243
2025-04-02,595.25,595.75,586.5,591.25,-1.5,-0.25%,113344,487756
2025-04-01,590.5,595.25,586.25,592.75,3.5,+0.59%,125107,487607
2025-03-31,584.5,592,578.75,589.25,5.75,+0.99%,156259,488277
2025-03-28,589.5,590,574.5,583.5,-5.25,-0.89%,167938,487207
2025-03-27,592,593,584,588.75,-2.5,-0.42%,142302,476789
2025-03-26,601,602,591.25,591.25,-8.25,-1.38%,112445,467478
2025-03-25,603.5,605.5,597.25,599.5,-5.25,-0.87%,108283,464889
2025-03-24,617.5,618,601,604.75,-8.75,-1.43%,102199,463271
2025-03-21,613,618.25,609.5,613.5,0.5,+0.08%,82017,457011
2025-03-20,621.5,624.25,610,613,-7.,-1.13%,113349,454644
2025-03-19,619,624.75,614.75,620,-1.75,-0.28%,106622,450081
2025-03-18,625.5,629.25,620.25,621.75,-2.25,-0.36%,110746,446942
2025-03-17,612.75,630.75,612.75,624,10.75,+1.75%,142851,442104
2025-03-14,615.75,620.5,612,613.25,-4.,-0.65%,108006,448161
2025-03-13,611.25,619.75,610.5,617.25,8.25,+1.35%,145982,440453
2025-03-12,611.75,615.25,603,609,-2.25,-0.37%,135025,443943
2025-03-11,614,615.75,609.25,611.25,-4.,-0.65%,100483,437310
2025-03-10,607,616.5,604.25,615.25,12.25,+2.03%,128269,433001
2025-03-07,606.5,606.5,597,603,-2.5,-0.41%,109572,438709
2025-03-06,601.75,611,596,605.5,6.25,+1.04%,145572,436154
2025-03-05,594.75,602.25,590,599.25,8.5,+1.44%,155321,437644
2025-03-04,598.5,601,585.25,590.75,-7.5,-1.25%,200662,427699
2025-03-03,608.75,612,596,598.25,-6.25,-1.03%,160095,417134
2025-02-28,612,618.75,604,604.5,-7.,-1.14%,116470,406727
2025-02-27,627.5,628.5,610,611.5,-16.25,-2.59%,138533,406826
2025-02-26,637.25,641,626.25,627.75,-9.,-1.41%,133605,399238
2025-02-25,642.25,644.25,630.5,636.75,-5.25,-0.82%,160598,401806
2025-02-24,646.75,648.75,637.25,642,-7.75,-1.19%,142078,407939
2025-02-21,646,653.25,645.75,649.75,2.75,+0.43%,125243,412459
2025-02-20,652,654.75,645,647,-5.,-0.77%,125079,430081
2025-02-19,662.5,664.25,649.25,652,-9.25,-1.40%,184290,431027
2025-02-18,654.25,663.25,648,661.25,6,+0.92%,243036,437417
2025-02-14,635.5,657.75,635.5,655.25,19.5,+3.07%,242294,444562
2025-02-13,631,637.5,628.25,635.75,4.75,+0.75%,212724,447083
2025-02-12,632.75,638.5,628.5,631,-2.5,-0.39%,246424,444311
2025-02-11,636.75,642.5,631.75,633.5,-2.75,-0.43%,240464,448461
2025-02-10,635,640.75,632.5,636.25,-1.25,-0.20%,219264,453753
2025-02-07,641.75,644.5,634.25,637.5,-3.5,-0.55%,226885,461068
2025-02-06,629,642,624.75,641,12,+1.91%,204798,475816
2025-02-05,630.25,636.75,626.25,629,-1.5,-0.24%,205397,476593
2025-02-04,619.25,631.5,614.25,630.5,8.5,+1.37%,165539,475180
2025-02-03,611.75,626.75,609.25,622,5,+0.81%,160580,474863
2025-01-31,625,625,608.25,617,-5.75,-0.92%,152544,470755
2025-01-30,619.5,625,616.5,622.75,2.75,+0.44%,171177,482380
2025-01-29,603.5,621.25,603.25,620,16.5,+2.73%,156282,489695
2025-01-28,596,605.75,592.75,603.5,8,+1.34%,141411,494400
2025-01-27,602.75,602.75,592.25,595.5,-7.25,-1.20%,116881,494827
2025-01-24,606.5,608.75,600.75,602.75,-7.75,-1.27%,139008,482019
2025-01-23,610,614.5,605.5,610.5,-0.75,-0.12%,105497,473324
