Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-15,51.36,51.43,50.5,50.8,0.23,+0.45%,66081,0
2025-10-14,50.6,50.68,49.72,50.57,-0.03,-0.06%,132864,625438
2025-10-13,49.98,50.68,49.85,50.6,0.63,+1.26%,132183,626988
2025-10-10,51,51.24,49.68,49.97,-0.97,-1.90%,192202,627538
2025-10-09,51.48,51.6,50.79,50.94,-0.54,-1.05%,159628,620941
2025-10-08,51.1,51.54,51.06,51.48,0.44,+0.86%,181048,614415
2025-10-07,50.31,51.07,50.26,51.04,0.66,+1.31%,147734,612118
2025-10-06,50,50.6,49.9,50.38,0.33,+0.66%,98701,619524
2025-10-03,50.44,50.58,49.95,50.05,-0.39,-0.77%,99193,621660
2025-10-02,50.42,50.75,49.98,50.44,0.02,+0.04%,137107,617429
2025-10-01,49.49,50.75,49.2,50.42,0.93,+1.88%,169958,610531
2025-09-30,49.59,49.83,49.31,49.49,-0.2,-0.40%,114722,619379
2025-09-29,50.25,50.25,49.41,49.69,-0.5,-1.00%,153776,618775
2025-09-26,50.27,50.62,49.89,50.19,-0.08,-0.16%,195653,636727
2025-09-25,49.75,50.54,49.5,50.27,0.43,+0.86%,190226,645741
2025-09-24,49.88,50.55,49.4,49.84,-0.04,-0.08%,181439,647510
2025-09-23,49.69,50.02,48.89,49.88,0.19,+0.38%,219526,642066
2025-09-22,50.62,50.77,49.36,49.69,-0.93,-1.84%,209696,648324
2025-09-19,51.17,51.34,50.56,50.62,-0.51,-1.00%,165974,651224
2025-09-18,51.83,51.97,51.02,51.13,-0.65,-1.26%,138432,655674
2025-09-17,53.2,53.39,51.73,51.78,-1.42,-2.67%,167942,653330
2025-09-16,52.28,53.88,52.2,53.2,0.94,+1.80%,212307,641441
2025-09-15,52.06,52.97,51.87,52.26,0.09,+0.17%,123166,642679
2025-09-12,51.58,52.52,51.34,52.17,0.57,+1.10%,194459,642043
2025-09-11,51.01,51.65,50.98,51.6,0.59,+1.16%,163570,630184
2025-09-10,50.58,51.05,50.02,51.01,0.53,+1.05%,216405,632564
2025-09-09,51.54,51.66,50.37,50.48,-0.99,-1.92%,191906,631776
2025-09-08,51.23,51.98,50.98,51.47,0.24,+0.47%,176830,627957
2025-09-05,51.98,52.2,51.17,51.23,-0.7,-1.35%,129513,620526
2025-09-04,52.01,52.02,51.12,51.93,0.09,+0.17%,138995,616694
2025-09-03,52.7,52.85,51.8,51.84,-0.82,-1.56%,134668,615873
2025-09-02,52.2,52.84,51.83,52.66,0.52,+1.00%,167928,606808
2025-08-29,52.39,52.5,51.68,52.14,-0.29,-0.55%,154130,600908
2025-08-28,53.15,53.2,52.2,52.43,-0.72,-1.35%,184337,604078
2025-08-27,53.48,53.73,52.77,53.15,-0.33,-0.62%,158712,602767
2025-08-26,54.85,54.94,53.01,53.48,-1.39,-2.53%,223414,604231
