Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-15,113.34375,113.546875,113.21875,113.265625,-0.140625,-0.12%,1022555,0
2025-10-14,113.203125,113.546875,113.0625,113.40625,0.25,+0.22%,2199316,5419989
2025-10-13,113.109375,113.21875,112.9375,113.15625,0.015625,+0.01%,748601,5405366
2025-10-10,112.515625,113.28125,112.515625,113.140625,0.65625,+0.58%,2204653,5402423
2025-10-09,112.65625,112.765625,112.4375,112.484375,-0.125,-0.11%,1312486,5396069
2025-10-08,112.671875,112.84375,112.53125,112.609375,-0.0625,-0.06%,1391070,5360131
2025-10-07,112.453125,112.75,112.28125,112.671875,0.28125,+0.25%,1476852,5399662
2025-10-06,112.578125,112.609375,112.34375,112.390625,-0.28125,-0.25%,1336229,5434421
2025-10-03,112.953125,112.984375,112.625,112.671875,-0.25,-0.22%,1188674,5479448
2025-10-02,112.890625,112.96875,112.671875,112.921875,0.078125,+0.07%,1311632,5484385
2025-10-01,112.453125,112.96875,112.375,112.84375,0.34375,+0.31%,1992882,5471112
2025-09-30,112.546875,112.796875,112.40625,112.5,-0.015625,-0.01%,2283690,5462258
2025-09-29,112.28125,112.578125,112.265625,112.515625,0.25,+0.22%,1174756,5440694
2025-09-26,112.375,112.484375,112.1875,112.265625,-0.0625,-0.06%,1683122,5456588
2025-09-25,112.59375,112.6875,112.1875,112.328125,-0.3125,-0.28%,2422604,5487928
2025-09-24,112.953125,113,112.578125,112.640625,-0.234375,-0.21%,1577083,5450807
2025-09-23,112.671875,112.953125,112.671875,112.875,0.171875,+0.15%,1510067,5478034
2025-09-22,112.828125,112.890625,112.640625,112.703125,-0.046875,-0.04%,1284556,5445500
2025-09-19,112.984375,112.984375,112.6875,112.75,-0.234375,-0.21%,1280134,5394116
2025-09-18,113.046875,113.375,112.734375,112.984375,-0.140625,-0.12%,2215517,5400265
2025-09-17,113.515625,113.796875,113.046875,113.125,-0.421875,-0.37%,2012530,5404106
2025-09-16,113.421875,113.578125,113.265625,113.546875,0.078125,+0.07%,1241667,5412553
2025-09-15,113.203125,113.5,113.0625,113.46875,0.1875,+0.17%,1141391,5380232
2025-09-12,113.53125,113.5625,113.125,113.28125,-0.375,-0.33%,1412354,5376223
2025-09-11,113.453125,113.90625,113.28125,113.65625,0.078125,+0.07%,2243808,5371961
2025-09-10,113.234375,113.640625,113.15625,113.578125,0.234375,+0.21%,1612184,5292359
2025-09-09,113.578125,113.625,113.21875,113.34375,-0.203125,-0.18%,1659233,5268466
2025-09-08,113.421875,113.609375,113.234375,113.546875,0.15625,+0.14%,1655584,5287012
2025-09-05,112.890625,113.671875,112.875,113.390625,0.546875,+0.48%,2679137,5300825
2025-09-04,112.515625,112.9375,112.5,112.84375,0.234375,+0.21%,1698115,5274241
2025-09-03,112.265625,112.65625,112,112.609375,0.46875,+0.42%,1874713,5195195
2025-09-02,112.484375,112.5,111.96875,112.140625,-0.359375,-0.32%,2179995,5209519
2025-08-29,112.625,112.640625,112.390625,112.5,-0.09375,-0.08%,2173192,5254288
2025-08-28,112.46875,112.640625,112.3125,112.59375,0.15625,+0.14%,2260175,5257543
2025-08-27,112.1875,112.5,112.046875,112.4375,0.203125,+0.18%,3760931,5370973
2025-08-26,112.015625,112.265625,111.8125,112.234375,0.234375,+0.21%,7325514,5640455
2025-08-25,112.171875,112.203125,111.890625,112,-0.171875,-0.15%,6119354,5576072
2025-08-22,111.609375,112.28125,111.515625,112.171875,0.609375,+0.55%,5612641,5706952
2025-08-21,111.890625,111.921875,111.46875,111.5625,-0.3125,-0.28%,3828915,5567591
2025-08-20,111.734375,112.015625,111.640625,111.875,0.109375,+0.10%,2413047,5410042
2025-08-19,111.578125,111.8125,111.484375,111.765625,0.25,+0.22%,1295620,5340625
2025-08-18,111.625,111.828125,111.421875,111.515625,-0.078125,-0.07%,1496258,5278029
2025-08-15,111.828125,111.953125,111.546875,111.59375,-0.203125,-0.18%,1524626,5371872
2025-08-14,112.21875,112.46875,111.765625,111.796875,-0.390625,-0.35%,1843436,5389313
2025-08-13,111.796875,112.28125,111.71875,112.1875,0.375,+0.34%,1455270,5414485
2025-08-12,111.796875,112.15625,111.625,111.8125,-0.078125,-0.07%,1703603,5339441
2025-08-11,111.828125,112.015625,111.78125,111.890625,0.046875,+0.04%,1100890,5309817
2025-08-08,112.125,112.140625,111.8125,111.84375,-0.265625,-0.24%,1041984,5194072
2025-08-07,112.1875,112.296875,112.0625,112.109375,-0.140625,-0.13%,1301885,5179608
2025-08-06,112.234375,112.28125,111.84375,112.25,-0.078125,-0.07%,1685109,5146743
2025-08-05,112.4375,112.484375,112.1875,112.328125,-0.078125,-0.07%,1473271,5127634
2025-08-04,112.3125,112.453125,112.015625,112.40625,0.1875,+0.17%,1974392,5105848
2025-08-01,110.984375,112.34375,110.78125,112.21875,1.15625,+1.04%,3017491,4999904
2025-07-31,110.9375,111.28125,110.9375,111.0625,0.09375,+0.08%,2088050,4956459
2025-07-30,111.34375,111.40625,110.90625,110.96875,-0.359375,-0.32%,1798842,4978425
2025-07-29,110.84375,111.359375,110.734375,111.328125,0.609375,+0.55%,1769949,4958488
2025-07-28,110.671875,111.046875,110.421875,110.71875,-0.21875,-0.20%,1204818,4864109
2025-07-25,110.828125,110.953125,110.671875,110.9375,0.15625,+0.14%,1164752,4825271
2025-07-24,110.96875,111,110.578125,110.78125,-0.203125,-0.18%,1449168,4829821
2025-07-23,111.203125,111.25,110.953125,110.984375,-0.390625,-0.35%,1421323,4824769
2025-07-22,111.15625,111.390625,111,111.375,0.234375,+0.21%,1351804,4823425
2025-07-21,110.875,111.234375,110.875,111.140625,0.421875,+0.38%,1283394,4805654
