Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-15,95.915,95.915,95.9075,95.91,-0.0075,-0.01%,517356,0
2025-10-14,95.9175,95.92,95.915,95.9175,0.0025,0.00%,852877,2582076
2025-10-13,95.9175,95.92,95.915,95.915,0,0.00%,166876,2592890
2025-10-10,95.9175,95.92,95.915,95.915,0,0.00%,567313,2597821
2025-10-09,95.92,95.92,95.915,95.915,-0.005,-0.01%,395715,2641781
2025-10-08,95.92,95.9225,95.92,95.92,-0.0025,0.00%,215399,2642488
2025-10-07,95.9225,95.9225,95.92,95.9225,0.0025,0.00%,241274,2629150
2025-10-06,95.92,95.9225,95.9175,95.92,0,0.00%,230536,2612728
2025-10-03,95.9175,95.9225,95.9175,95.92,0,0.00%,283756,2633453
2025-10-02,95.92,95.9225,95.9175,95.92,-0.0025,0.00%,560040,2621553
2025-10-01,95.9225,95.9225,95.9175,95.9225,0.0025,0.00%,585267,2568522
2025-09-30,95.92,95.925,95.9175,95.92,0,0.00%,607734,2522362
2025-09-29,95.92,95.92,95.9175,95.92,0,0.00%,391615,2925726
2025-09-26,95.915,95.92,95.915,95.92,0,0.00%,425368,2928599
2025-09-25,95.92,95.925,95.915,95.92,-0.005,-0.01%,980592,2957263
2025-09-24,95.93,95.93,95.92,95.925,-0.005,-0.01%,916130,2883867
2025-09-23,95.93,95.935,95.925,95.93,0,0.00%,883039,3033133
2025-09-22,95.93,95.935,95.93,95.93,-0.005,-0.01%,364474,2837142
2025-09-19,95.93,95.935,95.93,95.935,0.005,+0.01%,299171,2856614
2025-09-18,95.93,95.935,95.93,95.93,-0.005,-0.01%,908739,2862738
2025-09-17,95.945,95.95,95.93,95.935,-0.01,-0.01%,1459964,2731242
2025-09-16,95.945,95.945,95.94,95.945,0,0.00%,508560,2526362
2025-09-15,95.94,95.95,95.94,95.945,-0.005,-0.01%,1036300,2515165
2025-09-12,95.955,95.955,95.94,95.95,0,0.00%,560630,2382815
2025-09-11,95.955,95.965,95.935,95.95,-0.005,-0.01%,1242963,2352569
2025-09-10,95.945,95.97,95.945,95.955,0.005,+0.01%,835281,2323220
2025-09-09,95.965,95.965,95.95,95.95,-0.01,-0.01%,650065,2264742
2025-09-08,95.955,95.965,95.955,95.96,0,0.00%,554402,2170221
2025-09-05,95.925,95.98,95.92,95.96,0.04,+0.04%,1526283,2127350
2025-09-04,95.92,95.93,95.915,95.92,0,0.00%,510189,2015279
2025-09-03,95.905,95.92,95.9,95.92,0.01,+0.01%,368342,2003905
2025-09-02,95.9,95.91,95.895,95.91,0.015,+0.02%,535073,1980922
2025-08-29,95.9,95.905,95.885,95.895,0,0.00%,277704,1968289
2025-08-28,95.9,95.9,95.89,95.895,-0.005,-0.01%,375477,2549086
2025-08-27,95.9,95.905,95.895,95.9,0,0.00%,560641,2549582
2025-08-26,95.885,95.91,95.88,95.9,0.015,+0.02%,711897,2499246
2025-08-25,95.89,95.905,95.88,95.885,-0.005,-0.01%,577334,2472930
2025-08-22,95.855,95.92,95.85,95.89,0.025,+0.03%,1226050,2443734
2025-08-21,95.885,95.885,95.83,95.865,-0.02,-0.02%,633434,2405663
2025-08-20,95.895,95.905,95.88,95.885,-0.01,-0.01%,297598,2359277
2025-08-19,95.89,95.895,95.885,95.895,0.01,+0.01%,273235,2336894
2025-08-18,95.895,95.895,95.88,95.885,-0.01,-0.01%,179354,2311776
2025-08-15,95.91,95.92,95.885,95.895,-0.015,-0.02%,404570,2308175
2025-08-14,95.945,95.95,95.9,95.91,-0.035,-0.04%,490070,2276567
2025-08-13,95.92,95.96,95.915,95.945,0.03,+0.03%,531614,2297671
2025-08-12,95.895,95.93,95.885,95.915,0.02,+0.02%,610664,2213611
2025-08-11,95.905,95.905,95.895,95.895,-0.01,-0.01%,237886,2149527
2025-08-08,95.915,95.915,95.905,95.905,-0.01,-0.01%,185904,2158422
2025-08-07,95.92,95.92,95.91,95.915,-0.005,-0.01%,217383,2137640
2025-08-06,95.91,95.925,95.895,95.92,0.005,+0.01%,413701,2135472
2025-08-05,95.925,95.93,95.9,95.915,0,0.00%,486714,2058897
2025-08-04,95.9,95.925,95.88,95.915,0.025,+0.03%,551517,2036787
2025-08-01,95.775,95.925,95.775,95.89,0.115,+0.12%,1595944,1989288
2025-07-31,95.79,95.79,95.77,95.775,-0.02,-0.02%,530038,1906785
2025-07-30,95.85,95.85,95.785,95.795,-0.05,-0.05%,838268,2361655
2025-07-29,95.845,95.85,95.84,95.845,0,0.00%,428370,2323011
2025-07-28,95.84,95.845,95.835,95.845,0,0.00%,292839,2314990
2025-07-25,95.84,95.855,95.835,95.845,0.01,+0.01%,340285,2271224
2025-07-24,95.84,95.85,95.83,95.835,-0.005,-0.01%,193490,2221796
2025-07-23,95.835,95.845,95.83,95.84,0.005,+0.01%,326871,2202260
2025-07-22,95.83,95.84,95.825,95.835,0.005,+0.01%,222217,2154030
2025-07-21,95.835,95.845,95.825,95.83,-0.005,-0.01%,156183,2129027
