Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-15,1.7175,1.7175,1.7175,1.7175,0.0025,+0.15%,2,0
2025-10-14,1.715,1.715,1.71,1.715,-0.045,-2.56%,7480,43452
2025-10-13,1.76,1.76,1.76,1.76,-0.01,-0.56%,4895,45431
2025-10-10,1.76,1.77,1.76,1.77,0.03,+1.72%,4895,45461
2025-10-09,1.74,1.74,1.7325,1.74,-0.04,-2.25%,10026,44742
2025-10-08,1.78,1.78,1.78,1.78,-0.0775,-4.17%,6280,44729
2025-10-07,1.8575,1.8575,1.8575,1.8575,-0.0425,-2.24%,3946,44242
2025-10-06,1.9,1.9,1.9,1.9,0,0.00%,3082,43119
2025-10-03,1.9,1.9,1.9,1.9,-0.0125,-0.65%,5298,42653
2025-10-02,1.9125,1.9125,1.9125,1.9125,-0.0075,-0.39%,4291,41860
2025-10-01,1.92,1.92,1.92,1.92,0.06,+3.23%,4927,42005
2025-09-30,1.86,1.86,1.86,1.86,-0.025,-1.33%,3714,41479
2025-09-29,1.8875,1.8875,1.885,1.885,0.015,+0.80%,4679,51133
2025-09-26,1.87,1.87,1.87,1.87,0,0.00%,3132,50664
2025-09-25,1.87,1.87,1.87,1.87,0.02,+1.08%,5096,50200
2025-09-24,1.85,1.85,1.85,1.85,0.0475,+2.64%,5755,49814
2025-09-23,1.8025,1.8025,1.8025,1.8025,0,0.00%,5079,49461
2025-09-22,1.8025,1.8025,1.8025,1.8025,-0.0275,-1.50%,4286,49017
2025-09-19,1.83,1.83,1.83,1.83,-0.01,-0.54%,5999,48056
2025-09-18,1.84,1.84,1.84,1.84,-0.035,-1.87%,5510,47809
2025-09-17,1.875,1.875,1.875,1.875,-0.01,-0.53%,7033,47473
2025-09-16,1.885,1.885,1.885,1.885,0.02,+1.07%,4638,45815
2025-09-15,1.865,1.865,1.865,1.865,0.005,+0.27%,4002,45083
2025-09-12,1.86,1.86,1.86,1.86,0.045,+2.48%,3253,44544
2025-09-11,1.815,1.815,1.815,1.815,0.035,+1.97%,6287,44419
2025-09-10,1.78,1.78,1.775,1.78,-0.015,-0.84%,6125,44073
2025-09-09,1.795,1.795,1.795,1.795,-0.015,-0.83%,5199,43236
2025-09-08,1.81,1.81,1.81,1.81,0,0.00%,2986,42303
2025-09-05,1.81,1.81,1.81,1.81,-0.015,-0.82%,5542,41708
2025-09-04,1.825,1.825,1.825,1.825,-0.0275,-1.48%,5554,40422
2025-09-03,1.8525,1.8525,1.8525,1.8525,-0.0325,-1.72%,6067,40715
2025-09-02,1.885,1.885,1.885,1.885,0.06,+3.29%,6918,40417
2025-08-29,1.825,1.825,1.825,1.825,0.065,+3.69%,8749,0
2025-08-28,1.76,1.76,1.76,1.76,0.0325,+1.88%,8749,44822
2025-08-27,1.7275,1.7275,1.7275,1.7275,0.0275,+1.62%,8587,43625
2025-08-26,1.7,1.7,1.7,1.7,-0.0175,-1.02%,3901,42381
2025-08-25,1.7175,1.7175,1.7175,1.7175,0,0.00%,3950,41773
2025-08-22,1.7175,1.7175,1.7175,1.7175,0.04,+2.38%,9764,40834
2025-08-21,1.6775,1.6775,1.6775,1.6775,0.0175,+1.05%,9764,40834
2025-08-20,1.66,1.66,1.66,1.66,0.03,+1.84%,8474,40209
2025-08-19,1.63,1.63,1.63,1.63,-0.0225,-1.36%,4221,38765
2025-08-18,1.6525,1.6525,1.6525,1.6525,0.005,+0.30%,4737,37288
2025-08-15,1.6475,1.6475,1.6475,1.6475,0.025,+1.54%,3209,36620
2025-08-14,1.6225,1.6225,1.6225,1.6225,-0.0125,-0.76%,2490,35866
2025-08-13,1.635,1.635,1.635,1.635,0.015,+0.93%,5429,35159
2025-08-12,1.62,1.62,1.62,1.62,-0.045,-2.70%,5537,33592
2025-08-11,1.665,1.665,1.665,1.665,0.0025,+0.15%,5597,33213
2025-08-08,1.6625,1.6625,1.6625,1.6625,0.0075,+0.45%,5657,32632
2025-08-07,1.655,1.655,1.655,1.655,0.0075,+0.46%,8840,32421
2025-08-06,1.6475,1.6475,1.6475,1.6475,0.0075,+0.46%,7544,31203
2025-08-05,1.64,1.64,1.64,1.64,-0.01,-0.61%,6705,31602
2025-08-04,1.65,1.65,1.65,1.65,-0.0025,-0.15%,2937,31045
2025-08-01,1.6525,1.6525,1.6525,1.6525,0.0075,+0.46%,4568,31285
2025-07-31,1.645,1.645,1.645,1.645,0.0025,+0.15%,2623,30276
2025-07-30,1.6425,1.6425,1.6425,1.6425,0,0.00%,5730,34536
2025-07-29,1.6425,1.6425,1.6425,1.6425,-0.015,-0.90%,4869,33547
