Time,Open,High,Low,Last,Change,%Change,Volume
2025-10-15,7.1823,7.1823,7.1823,7.1823,0,0.00%,1
2025-10-14,7.1823,7.1823,7.1823,7.1823,0.0538,+0.75%,1
2025-10-13,7.1285,7.1285,7.1285,7.1285,0,0.00%,0
2025-10-10,7.1285,7.1285,7.1285,7.1285,0,0.00%,1
2025-10-09,7.1285,7.1285,7.1285,7.1285,0.009,+0.13%,1
2025-10-08,7.1196,7.1196,7.1195,7.1195,0,0.00%,2
2025-10-07,7.1195,7.1195,7.1195,7.1195,0,0.00%,3
2025-10-06,7.1195,7.1195,7.1195,7.1195,0,0.00%,1
2025-10-03,7.1196,7.1196,7.1195,7.1195,-0.0001,0.00%,1
2025-10-02,7.1196,7.1196,7.1196,7.1196,0.0001,0.00%,1
2025-10-01,7.1195,7.1195,7.1195,7.1195,0.0001,0.00%,1
2025-09-30,7.1195,7.1195,7.1194,7.1194,-0.0144,-0.20%,1
2025-09-29,7.1338,7.1338,7.1338,7.1338,-0.0009,-0.01%,1
2025-09-26,7.1348,7.1348,7.1347,7.1347,0.0025,+0.04%,2
2025-09-25,7.1322,7.1322,7.1322,7.1322,0.02,+0.28%,1
2025-09-24,7.1122,7.1122,7.1122,7.1122,-0.0024,-0.03%,1
2025-09-23,7.1147,7.1147,7.1146,7.1146,0.0012,+0.02%,1
2025-09-22,7.1134,7.1134,7.1134,7.1134,0,0.00%,1
2025-09-19,7.1134,7.1134,7.1134,7.1134,0,0.00%,0
2025-09-18,7.1129,7.1134,7.1129,7.1134,-0.0002,0.00%,1
2025-09-17,7.1144,7.1144,7.1136,7.1136,-0.0054,-0.08%,1
2025-09-16,7.119,7.119,7.119,7.119,-0.0053,-0.07%,1
2025-09-15,7.1247,7.1247,7.1243,7.1243,0.0056,+0.08%,1
2025-09-12,7.1187,7.1187,7.1187,7.1187,-0.0025,-0.04%,1
2025-09-11,7.1213,7.1213,7.1212,7.1212,-0.0003,0.00%,1
2025-09-10,7.1215,7.1215,7.1215,7.1215,-0.0084,-0.12%,2
2025-09-09,7.1299,7.1299,7.1299,7.1299,-0.003,-0.04%,1
2025-09-08,7.1329,7.1329,7.1329,7.1329,-0.0088,-0.12%,1
2025-09-05,7.1417,7.1417,7.1417,7.1417,-0.0004,-0.01%,1
2025-09-04,7.1421,7.1421,7.1421,7.1421,0.0026,+0.04%,1
2025-09-03,7.1395,7.1395,7.1395,7.1395,0.0087,+0.12%,1
2025-09-02,7.1308,7.1308,7.1308,7.1308,-0.022,-0.31%,1
2025-09-01,7.1528,7.1528,7.1528,7.1528,0,0.00%,0
2025-08-29,7.1529,7.1529,7.1528,7.1528,-0.0002,0.00%,1
2025-08-28,7.153,7.153,7.153,7.153,0,0.00%,0
2025-08-27,7.1529,7.153,7.1529,7.153,0.0013,+0.02%,2
2025-08-26,7.1515,7.1517,7.1515,7.1517,-0.0161,-0.22%,2
2025-08-25,7.1678,7.1678,7.1678,7.1678,-0.0064,-0.09%,1
2025-08-22,7.1742,7.1742,7.1742,7.1742,-0.002,-0.03%,1
2025-08-21,7.1762,7.1762,7.1762,7.1762,-0.0057,-0.08%,1
2025-08-20,7.1824,7.1824,7.1819,7.1819,-0.0028,-0.04%,1
2025-08-19,7.1849,7.1849,7.1847,7.1847,0.0026,+0.04%,1
2025-08-18,7.1821,7.1821,7.1821,7.1821,0.0018,+0.03%,1
2025-08-15,7.1803,7.1803,7.1803,7.1803,0.0057,+0.08%,1
2025-08-14,7.1746,7.1746,7.1746,7.1746,-0.0046,-0.06%,1
2025-08-13,7.1792,7.1792,7.1792,7.1792,-0.009,-0.13%,1
2025-08-12,7.1882,7.1882,7.1882,7.1882,0,0.00%,1
2025-08-11,7.1882,7.1882,7.1882,7.1882,0.0052,+0.07%,1
2025-08-08,7.183,7.183,7.183,7.183,0,0.00%,0
2025-08-07,7.1832,7.1832,7.183,7.183,-0.001,-0.01%,2
2025-08-06,7.1841,7.1841,7.184,7.184,0.0052,+0.07%,2
2025-08-05,7.1788,7.1788,7.1788,7.1788,-0.033,-0.46%,1
2025-08-04,7.2118,7.2118,7.2118,7.2118,0.0113,+0.16%,1
2025-08-01,7.2005,7.2005,7.2005,7.2005,0.0061,+0.08%,1
2025-07-31,7.1944,7.1944,7.1944,7.1944,0.0175,+0.24%,1
2025-07-30,7.1769,7.1769,7.1769,7.1769,-0.0008,-0.01%,1
2025-07-29,7.1779,7.1779,7.1777,7.1777,0.0237,+0.33%,2
2025-07-28,7.154,7.154,7.154,7.154,-0.0058,-0.08%,1
2025-07-25,7.1598,7.1598,7.1598,7.1598,-0.0002,0.00%,1
2025-07-24,7.16,7.16,7.16,7.16,-0.016,-0.22%,1
2025-07-23,7.176,7.176,7.176,7.176,0.0001,0.00%,1
2025-07-22,7.176,7.176,7.1759,7.1759,-0.0018,-0.03%,2
2025-07-21,7.178,7.178,7.1777,7.1777,-0.006,-0.08%,2
2025-07-18,7.1837,7.1837,7.1837,7.1837,0.0047,+0.07%,1
2025-07-17,7.179,7.179,7.179,7.179,0.006,+0.08%,1
2025-07-16,7.173,7.173,7.173,7.173,0.0057,+0.08%,1
2025-07-15,7.1673,7.1673,7.1673,7.1673,-0.0011,-0.02%,1
2025-07-14,7.1686,7.1686,7.1684,7.1684,-0.0069,-0.10%,2
2025-07-11,7.1753,7.1753,7.1753,7.1753,-0.005,-0.07%,1
2025-07-10,7.1803,7.1803,7.1803,7.1803,0.0062,+0.09%,1
2025-07-09,7.1741,7.1741,7.1741,7.1741,-0.0007,-0.01%,1
2025-07-08,7.1749,7.1749,7.1748,7.1748,-0.0001,0.00%,2
2025-07-07,7.1749,7.1749,7.1749,7.1749,0.0095,+0.13%,1
2025-07-04,7.1654,7.1654,7.1654,7.1654,0,0.00%,0
2025-07-03,7.1654,7.1654,7.1654,7.1654,0.0001,0.00%,1
2025-07-02,7.1653,7.1653,7.1653,7.1653,0.0011,+0.02%,2
2025-07-01,7.1641,7.1642,7.1641,7.1642,-0.008,-0.11%,2
2025-06-30,7.1725,7.1725,7.1722,7.1722,0.004,+0.06%,1
2025-06-27,7.1679,7.1682,7.1679,7.1682,-0.0042,-0.06%,1
2025-06-26,7.1724,7.1724,7.1724,7.1724,0,0.00%,0
2025-06-25,7.1717,7.1724,7.1717,7.1724,-0.0033,-0.05%,2
2025-06-24,7.1757,7.1757,7.1757,7.1757,0.0157,+0.22%,1
2025-06-23,7.16,7.16,7.16,7.16,-0.0293,-0.41%,1
2025-06-20,7.1894,7.1894,7.1893,7.1893,-0.0001,0.00%,1
2025-06-19,7.1894,7.1894,7.1894,7.1894,0.0044,+0.06%,2
2025-06-18,7.185,7.185,7.185,7.185,0.0052,+0.07%,1
2025-06-17,7.1798,7.1798,7.1798,7.1798,-0.0016,-0.02%,1
2025-06-16,7.1816,7.1816,7.1814,7.1814,0.0072,+0.10%,2
2025-06-13,7.1736,7.1742,7.1736,7.1742,-0.0191,-0.27%,1
2025-06-12,7.1933,7.1933,7.1933,7.1933,0.0057,+0.08%,1
2025-06-11,7.1876,7.1876,7.1876,7.1876,0.0069,+0.10%,1
2025-06-10,7.1807,7.1807,7.1807,7.1807,-0.0088,-0.12%,1
2025-06-09,7.1895,7.1895,7.1895,7.1895,0,0.00%,1
2025-06-06,7.1895,7.1895,7.1895,7.1895,0.0102,+0.14%,1
2025-06-05,7.2028,7.2028,7.1793,7.1793,-0.025,-0.35%,1
2025-06-02,7.2043,7.2043,7.2043,7.2043,0,0.00%,0
2025-05-30,7.2043,7.2043,7.2043,7.2043,0,0.00%,0
2025-05-29,7.2043,7.2043,7.2043,7.2043,0,0.00%,0
2025-05-28,7.2043,7.2043,7.2043,7.2043,0,0.00%,0
2025-05-27,7.2043,7.2043,7.2043,7.2043,0,0.00%,0
2025-05-26,7.2043,7.2043,7.2043,7.2043,0,0.00%,0
