Time,Open,High,Low,Last,Change,%Change,Volume
2025-10-15,1357.478,1391.192,1356.0707,1361.4397,3.9613,+0.29%,4461
2025-10-14,1348.505,1374.5106,1348.0159,1357.4784,8.9725,+0.67%,5073
2025-10-13,1421.0984,1426.8845,1339.9905,1348.5059,-72.8963,-5.13%,3235
2025-10-10,1421.4127,1421.6444,1420.5806,1421.4022,-0.1066,-0.01%,8986
2025-10-09,1429.6959,1468.767,1417.3666,1421.5088,-8.241,-0.58%,9513
2025-10-08,1429.7241,1429.973,1429.5763,1429.7498,0.0182,0.00%,9456
2025-10-07,1429.7391,1430.098,1429.0066,1429.7316,-0.0162,0.00%,9592
2025-10-06,1426.4539,1429.7848,1424.6631,1429.7478,5.0207,+0.35%,7601
2025-10-03,1424.4733,1424.8655,1424.3513,1424.7271,0.2326,+0.02%,9216
2025-10-02,1423.468,1424.8228,1420.0009,1424.4945,1.0073,+0.07%,9261
2025-10-01,1379.7905,1424.8002,1379.6266,1423.4872,43.7394,+3.17%,9424
2025-09-30,1358.0144,1379.7711,1342.8381,1379.7478,21.7501,+1.60%,9363
2025-09-29,1334.6936,1358.0227,1329.4484,1357.9977,28.5058,+2.14%,7088
2025-09-26,1339.4502,1340.5641,1322.1233,1329.4919,-10.0119,-0.75%,9250
2025-09-25,1337.4911,1339.5695,1317.5248,1339.5038,2.0125,+0.15%,9343
2025-09-24,1367.493,1368.5016,1329.0055,1337.4913,-30.0006,-2.19%,9311
2025-09-23,1410.2366,1410.3123,1348.4736,1367.4919,-42.7436,-3.03%,9313
2025-09-22,1476.274,1478.4734,1407.5073,1410.2355,-64.7445,-4.39%,7477
2025-09-19,1474.6479,1476.5819,1473.8966,1474.98,0.3062,+0.02%,7462
2025-09-18,1473.7491,1474.7695,1472.2413,1474.6738,0.9321,+0.06%,9006
2025-09-17,1469.4883,1474.2913,1467.0094,1473.7417,4.2554,+0.29%,8904
2025-09-16,1465.9861,1469.5424,1461.4769,1469.4863,3.5124,+0.24%,9195
2025-09-15,1432.8539,1469.5209,1432.7445,1465.9739,11.7136,+0.81%,7302
2025-09-12,1432.7897,1455.9956,1432.5822,1454.2603,21.4695,+1.50%,9109
2025-09-11,1423.9847,1432.7981,1423.3958,1432.7908,8.8045,+0.62%,8865
2025-09-10,1415.9919,1424.0338,1415.2106,1423.9863,7.9935,+0.56%,9199
2025-09-09,1422.9913,1423.1223,1413.4452,1415.9928,-7.0006,-0.49%,9300
2025-09-08,1365.2377,1436.7864,1359.6438,1422.9934,58.0701,+4.25%,7495
2025-09-05,1362.4973,1367.7789,1362.1611,1364.9233,2.4277,+0.18%,8951
2025-09-04,1361.262,1362.7889,1353.4956,1362.4956,1.2303,+0.09%,8871
2025-09-03,1359.4773,1362.0063,1352.0009,1361.2653,1.7697,+0.13%,9043
2025-09-02,1376.7214,1378.5116,1359.4502,1359.4956,-17.2239,-1.25%,9050
2025-09-01,1331.0194,1383.0505,1329.1694,1376.7195,29.7164,+2.21%,5947
2025-08-29,1334.0023,1347.0697,1316.4841,1347.0031,13.0011,+0.97%,8780
2025-08-28,1350.9305,1352.51,1333.4767,1334.002,-16.9989,-1.26%,9143
2025-08-27,1355.9991,1366.4103,1350.9563,1351.0009,-4.9982,-0.37%,9296
2025-08-26,1358.9445,1362.478,1349.4733,1355.9991,-2.9539,-0.22%,9560
2025-08-25,1300.6061,1359.0388,1300.0959,1358.953,37.9807,+2.88%,6973
2025-08-22,1314.5089,1326.5088,1314.3792,1320.9723,6.4628,+0.49%,8377
2025-08-21,1300.5016,1314.517,1298.4539,1314.5095,14.0238,+1.08%,11187
2025-08-20,1291.4824,1303.009,1291.4159,1300.4857,8.9897,+0.70%,12969
2025-08-19,1292.7397,1298.5266,1291.4657,1291.496,-1.2571,-0.10%,12515
2025-08-18,1295.0782,1307.5222,1291.4867,1292.7531,-5.4769,-0.42%,9916
2025-08-15,1298.511,1298.546,1298.23,1298.23,-0.2809,-0.02%,11537
2025-08-14,1313.7556,1317.4116,1288.9779,1298.5109,-15.2439,-1.16%,12453
2025-08-13,1316.7625,1326.0142,1312.002,1313.7548,-3.0108,-0.23%,11985
2025-08-12,1321.2238,1324.6134,1315.9545,1316.7656,-4.4867,-0.34%,13081
2025-08-11,1325.1964,1335.9902,1321.2084,1321.2523,-4.261,-0.32%,9903
2025-08-08,1326.2341,1330.3363,1321.4895,1325.5133,-0.7394,-0.06%,12783
2025-08-07,1331.4545,1337.4902,1326.2036,1326.2527,-5.2414,-0.39%,13711
2025-08-06,1339.2136,1340.0181,1331.4528,1331.4941,-7.7436,-0.58%,14163
2025-08-05,1357.4459,1357.5531,1334.4966,1339.2377,-18.2379,-1.34%,15159
2025-08-04,1350.2708,1365.0188,1349.9595,1357.4756,-6.0799,-0.45%,11176
2025-08-01,1371.473,1371.649,1346.4636,1363.5555,-7.9153,-0.58%,16139
2025-07-31,1320.0084,1374.0038,1315.147,1371.4708,51.4641,+3.90%,14592
2025-07-30,1291.4916,1320.0789,1288.9838,1320.0067,28.5179,+2.21%,13217
2025-07-29,1294.0299,1301.2711,1288.979,1291.4888,-2.5608,-0.20%,13700
2025-07-28,1268.8215,1294.0496,1268.8215,1294.0496,13.2576,+1.04%,9996
2025-07-25,1272.9679,1286.0249,1271.4702,1280.792,7.8235,+0.61%,12651
2025-07-24,1258.3748,1273.0481,1257.4596,1272.9685,14.5621,+1.16%,12348
2025-07-23,1255.5009,1262.0105,1255.298,1258.4064,2.9081,+0.23%,13121
2025-07-22,1273.8883,1279.5238,1252.9788,1255.4983,-18.3982,-1.44%,11646
2025-07-21,1273.9852,1293.545,1273.8859,1273.8965,-11.6243,-0.90%,9269
2025-07-18,1273.738,1286.0208,1272.2389,1285.5208,11.782,+0.92%,10383
2025-07-17,1261.4015,1276.745,1259.2411,1273.7388,12.32,+0.98%,12114
2025-07-16,1259.9904,1263.1515,1247.4773,1261.4188,1.4237,+0.11%,12152
2025-07-15,1279.0295,1291.264,1259.9406,1259.9951,-19.0176,-1.49%,11644
2025-07-14,1258.7239,1279.0171,1255.3806,1279.0127,18.278,+1.45%,9175
2025-07-11,1255.7548,1264.1019,1254.9697,1260.7347,4.9808,+0.40%,13013
2025-07-10,1252.505,1264.5238,1252.2982,1255.7539,3.212,+0.26%,11806
2025-07-09,1254.4622,1255.0671,1252.4894,1252.5419,-1.9543,-0.16%,12468
2025-07-08,1261.9845,1265.7666,1250.986,1254.4962,-7.4876,-0.59%,12996
2025-07-07,1230.7555,1270.1504,1227.4783,1261.9838,20.3982,+1.64%,9676
2025-07-04,1231.494,1244.2605,1231.3815,1241.5856,10.0934,+0.82%,10401
2025-07-03,1229.2639,1231.5229,1222.7183,1231.4922,2.2257,+0.18%,11545
2025-07-02,1220.9957,1241.9677,1219.9698,1229.2665,8.2727,+0.68%,12661
2025-07-01,1204.4999,1221.0205,1193.9867,1220.9938,16.4921,+1.37%,13529
2025-06-30,1186.2568,1204.526,1186.2397,1204.5017,16.2965,+1.37%,10643
2025-06-27,1188.4336,1195.3336,1184.5417,1188.2052,-0.2819,-0.02%,14050
2025-06-26,1189.98,1198.5228,1186.5006,1188.4871,-1.5079,-0.13%,14044
2025-06-25,1174.0131,1190.0378,1171.7147,1189.995,16.0005,+1.36%,12995
2025-06-24,1171.5353,1183.6995,1171.4088,1173.9945,2.4812,+0.21%,14335
2025-06-23,1164.6625,1172.2948,1159.4542,1171.5133,7.0301,+0.60%,9596
2025-06-20,1164.4806,1164.5909,1164.3997,1164.4832,0.0041,0.00%,6936
2025-06-19,1142.2452,1164.521,1142.2109,1164.4791,22.2289,+1.95%,6360
2025-06-18,1162.4939,1165.507,1140.7439,1142.2502,-20.247,-1.74%,7191
2025-06-17,1182.275,1184.512,1162.4629,1162.4972,-19.7573,-1.67%,7394
2025-06-16,1182.1281,1183.2156,1179.6033,1182.2545,0.1869,+0.02%,5259
2025-06-13,1184.4861,1191.5181,1181.9473,1182.0676,-2.4203,-0.20%,15425
2025-06-12,1181.5492,1190.5133,1181.4658,1184.4879,2.9905,+0.25%,14888
2025-06-11,1187.7269,1187.9979,1181.4609,1181.4974,-6.2358,-0.53%,13642
2025-06-10,1185.2534,1189.7623,1180.9893,1187.7332,2.4916,+0.21%,13292
2025-06-09,1190.392,1190.433,1184.9615,1185.2416,0.2626,+0.02%,9263
2025-06-06,1187.5177,1191.5231,1183.6322,1184.979,-2.5407,-0.21%,13127
2025-06-05,1185.1678,1193.5118,1182.9655,1187.5197,2.3261,+0.20%,13997
2025-06-04,1184.2407,1185.5259,1179.9653,1185.1936,0.9501,+0.08%,13460
2025-06-03,1180.6964,1189.5066,1179.9637,1184.2435,3.5476,+0.30%,13571
2025-06-02,1181.1456,1189.0327,1175.984,1180.6959,-8.4059,-0.71%,10321
2025-05-30,1184.147,1201.5212,1183.8213,1189.1018,4.9717,+0.42%,14299
2025-05-29,1160.1997,1184.1301,1153.9978,1184.1301,23.9145,+2.06%,14680
2025-05-28,1156.4752,1165.3453,1152.9851,1160.2156,3.7403,+0.32%,13418
2025-05-27,1143.4904,1156.5195,1137.474,1156.4753,12.9808,+1.14%,13711
2025-05-26,1134.7052,1144.3014,1129.7554,1143.4945,11.6179,+1.03%,8418
2025-05-23,1136.2676,1141.0225,1131.8536,1131.8766,-4.3844,-0.39%,14227
2025-05-22,1147.483,1149.5928,1136.2139,1136.261,-11.2284,-0.98%,12801
2025-05-21,1142.9932,1152.526,1141.9767,1147.4894,4.4889,+0.39%,13489
2025-05-20,1138.4874,1146.2734,1136.7302,1143.0005,4.51,+0.40%,13848
2025-05-19,1139.5009,1143.0569,1129.479,1138.4905,-3.7275,-0.33%,9263
2025-05-16,1138.0336,1148.9866,1137.79,1142.218,4.2182,+0.37%,14186
2025-05-15,1131.4937,1138.5122,1128.9906,1137.9998,6.5093,+0.58%,14773
2025-05-14,1125.0548,1134.5121,1120.9689,1131.4905,6.4348,+0.57%,14834
2025-05-13,1130.4612,1135.0164,1123.4668,1125.0557,-5.4005,-0.48%,14485
2025-05-12,1131.8578,1132.9779,1118.9615,1130.4562,3.0239,+0.27%,11937
2025-05-09,1112.5082,1127.5337,1104.9641,1127.4323,14.9108,+1.34%,14261
