Time,Open,High,Low,Last,Change,%Change,Volume,"Open Int"
2025-10-15,1060,1060,1060,1060,3.5,+0.33%,0,0
2025-10-14,1056.5,1056.5,1056.5,1056.5,-9.5,-0.89%,0,0
2025-10-13,1066,1066,1066,1066,-11.,-1.02%,0,0
2025-10-10,1077,1077,1077,1077,-12.5,-1.15%,0,0
2025-10-09,1089.5,1089.5,1089.5,1089.5,12.25,+1.14%,0,0
2025-10-08,1077.25,1077.25,1077.25,1077.25,16.5,+1.56%,0,0
2025-10-07,1060.75,1060.75,1060.75,1060.75,7.5,+0.71%,0,0
2025-10-06,1053.25,1053.25,1053.25,1053.25,-1.,-0.09%,0,0
2025-10-03,1054.25,1054.25,1054.25,1054.25,-2.75,-0.26%,0,0
2025-10-02,1057,1057,1057,1057,14.5,+1.39%,0,0
2025-10-01,1042.5,1042.5,1042.5,1042.5,7.75,+0.75%,0,0
2025-09-30,1034.75,1034.75,1034.75,1034.75,-6.75,-0.65%,0,0
2025-09-29,1041.5,1041.5,1041.5,1041.5,-1.25,-0.12%,0,0
2025-09-26,1042.75,1042.75,1042.75,1042.75,-13.,-1.23%,0,0
2025-09-25,1055.75,1055.75,1055.75,1055.75,13.75,+1.32%,0,0
2025-09-24,1042,1042,1042,1042,7.25,+0.70%,0,0
2025-09-23,1034.75,1034.75,1034.75,1034.75,-22.75,-2.15%,0,0
2025-09-22,1057.5,1057.5,1057.5,1057.5,4,+0.38%,0,0
2025-09-19,1053.5,1053.5,1053.5,1053.5,-5.,-0.47%,0,0
2025-09-18,1058.5,1058.5,1058.5,1058.5,-10.25,-0.96%,0,0
2025-09-17,1068.75,1068.75,1068.75,1068.75,5.75,+0.54%,0,0
2025-09-16,1063,1063,1063,1063,0,0.00%,0,0
2025-09-15,1063,1063,1063,1063,0,0.00%,0,0
2025-09-12,1063,1063,1063,1063,-0.75,-0.07%,0,0
2025-09-11,1063.75,1063.75,1063.75,1063.75,7.5,+0.71%,0,0
2025-09-10,1056.25,1056.25,1056.25,1056.25,-17.25,-1.61%,0,0
2025-09-09,1073.5,1073.5,1073.5,1073.5,1.75,+0.16%,0,0
2025-09-08,1071.75,1071.75,1071.75,1071.75,12.5,+1.18%,0,0
2025-09-05,1059.25,1059.25,1059.25,1059.25,0,0.00%,0,0
2025-09-04,1059.25,1059.25,1059.25,1059.25,0.75,+0.07%,0,0
2025-09-03,1058.5,1058.5,1058.5,1058.5,-6.25,-0.59%,0,0
2025-09-02,1064.75,1064.75,1064.75,1064.75,21.75,+2.09%,0,0
2025-08-29,1043,1043,1043,1043,-19.,-1.79%,0,0
2025-08-28,1062,1062,1062,1062,-7.5,-0.70%,0,0
2025-08-27,1069.5,1069.5,1069.5,1069.5,2.25,+0.21%,0,0
2025-08-26,1067.25,1067.25,1067.25,1067.25,-8.,-0.74%,0,0
2025-08-25,1075.25,1075.25,1075.25,1075.25,-3.5,-0.32%,0,0
2025-08-22,1078.75,1078.75,1078.75,1078.75,16.25,+1.53%,0,0
2025-08-21,1062.5,1062.5,1062.5,1062.5,-7.75,-0.72%,0,0
2025-08-20,1070.25,1070.25,1070.25,1070.25,-4.,-0.37%,0,0
2025-08-19,1074.25,1074.25,1074.25,1074.25,-11.75,-1.08%,0,0
2025-08-18,1086,1086,1086,1086,7.5,+0.70%,0,0
2025-08-15,1078.5,1078.5,1078.5,1078.5,16.75,+1.58%,0,0
2025-08-14,1061.75,1061.75,1061.75,1061.75,-7.75,-0.72%,0,0
2025-08-13,1069.5,1069.5,1069.5,1069.5,16.75,+1.59%,0,0
2025-08-12,1052.75,1052.75,1052.75,1052.75,7.5,+0.72%,0,0
2025-08-11,1045.25,1045.25,1045.25,1045.25,32,+3.16%,0,0
2025-08-08,1013.25,1013.25,1013.25,1013.25,1.75,+0.17%,0,0
2025-08-07,1011.5,1011.5,1011.5,1011.5,-5.75,-0.57%,0,0
2025-08-06,1017.25,1017.25,1017.25,1017.25,-4.25,-0.42%,0,0
2025-08-05,1021.5,1021.5,1021.5,1021.5,24.25,+2.43%,0,0
2025-08-04,997.25,997.25,997.25,997.25,-6.25,-0.62%,0,0
2025-08-01,1003.5,1003.5,1003.5,1003.5,3.25,+0.32%,0,0
2025-07-31,1000.25,1000.25,1000.25,1000.25,-16.75,-1.65%,0,0
2025-07-30,1017,1017,1017,1017,3.5,+0.35%,0,0
2025-07-29,1013.5,1013.5,1013.5,1013.5,2.75,+0.27%,0,0
2025-07-28,1010.75,1010.75,1010.75,1010.75,-9.75,-0.96%,0,0
2025-07-25,1020.5,1020.5,1020.5,1020.5,-11.25,-1.09%,0,0
2025-07-24,1031.75,1031.75,1031.75,1031.75,7.5,+0.73%,0,0
2025-07-23,1024.25,1024.25,1024.25,1024.25,11,+1.09%,0,0
2025-07-22,1013.25,1013.25,1013.25,1013.25,11,+1.10%,0,0
2025-07-21,1002.25,1002.25,1002.25,1002.25,-12.75,-1.26%,0,0
2025-07-18,1015,1015,1015,1015,19.25,+1.93%,0,0
2025-07-17,995.75,995.75,995.75,995.75,-6.,-0.60%,0,0
2025-07-16,1001.75,1001.75,1001.75,1001.75,14.75,+1.49%,0,0
2025-07-15,875.5,987,987,987,-12.5,-1.25%,0,0
2025-07-14,999.5,999.5,999.5,999.5,13,+1.32%,0,0
2025-07-11,986.5,986.5,986.5,986.5,5.75,+0.59%,0,0
2025-07-10,980.75,980.75,980.75,980.75,-1.,-0.10%,0,0
2025-07-09,981.75,981.75,981.75,981.75,0,0.00%,0,0
2025-07-08,981.75,981.75,981.75,981.75,15.5,+1.60%,0,0
2025-07-07,966.25,966.25,966.25,966.25,-8.5,-0.87%,0,0
2025-07-03,974.75,974.75,974.75,974.75,5.75,+0.59%,0,0
2025-07-02,969,969,969,969,12.75,+1.33%,0,0
2025-07-01,956.25,956.25,956.25,956.25,0.75,+0.08%,0,0
2025-06-30,955.5,955.5,955.5,955.5,-2.25,-0.23%,0,0
2025-06-27,957.75,957.75,957.75,957.75,0,0.00%,0,0
2025-06-26,957.75,957.75,957.75,957.75,10.5,+1.11%,0,0
2025-06-25,947.25,947.25,947.25,947.25,0,0.00%,0,0
2025-06-24,947.25,947.25,947.25,947.25,-25.25,-2.60%,0,0
2025-06-23,972.5,972.5,972.5,972.5,-2.75,-0.28%,0,0
2025-06-20,975.25,975.25,975.25,975.25,6.25,+0.64%,0,0
2025-06-18,969,969,969,969,7.75,+0.81%,0,0
2025-06-17,961.25,961.25,961.25,961.25,-6.25,-0.65%,0,0
2025-06-16,967.5,967.5,967.5,967.5,40,+4.31%,0,0
2025-06-13,927.5,927.5,927.5,927.5,10.5,+1.15%,0,0
2025-06-12,917,917,917,917,0.75,+0.08%,0,0
2025-06-11,916.25,916.25,916.25,916.25,-3.5,-0.38%,0,0
2025-06-10,919.75,919.75,919.75,919.75,-11.,-1.18%,0,0
2025-06-09,930.75,930.75,930.75,930.75,0.75,+0.08%,0,0
2025-06-06,930,930,930,930,0.75,+0.08%,0,0
2025-06-05,929.25,929.25,929.25,929.25,-5.,-0.54%,0,0
2025-06-04,934.25,934.25,934.25,934.25,3.25,+0.35%,0,0
2025-06-03,931,931,931,931,11,+1.20%,0,0
2025-06-02,920,920,920,920,0,0.00%,0,0
2025-05-30,920,920,920,920,-14.5,-1.55%,0,0
2025-05-29,934.5,934.5,934.5,934.5,2,+0.21%,0,0
2025-05-28,932.5,932.5,932.5,932.5,9.5,+1.03%,0,0
2025-05-27,923,923,923,923,11.75,+1.29%,0,0
2025-05-23,911.25,911.25,911.25,911.25,9,+1.00%,0,0
2025-05-22,902.25,902.25,902.25,902.25,-17.,-1.85%,0,0
2025-05-21,919.25,919.25,919.25,919.25,2.75,+0.30%,0,0
2025-05-20,916.5,916.5,916.5,916.5,2,+0.22%,0,0
