restaurant_id,restaurant_name,cuisine_type,oil_multiplier,classification_notes
RKV1rvkwTnWTiEqPWa2lLQ,1033 - America,American Diner,1.5,Classic American diner fare
UWZU0K2qQ9utdmD8qnel9Q,183 - EDR (Employee Dining Room),Employee Dining,1.4,Employee cafeteria - varied menu
7WNL0LxbReq02l9hQpDDhQ,427 - Gallagher's Steakhouse,Steakhouse,1.2,Traditional steakhouse
eZIiK712SBKnoaDm-e8yCw,616 - Broadway Burger Bar,Burgers,1.6,Burger restaurant + fries
84If4yRYS7Gu0IWVctUMZQ,622 - Production Kitchen,Production Kitchen,1.5,High volume production
a.7GT5ysaSVGjvlXeCrJ4UA,643 - Village Streets (Fish & Chips),Fish & Chips,1.7,British fish & chips - heavy frying
2CEpkOUZTtKq00lk3DlzIg,90 Bar & Grill,American Grill,1.5,Bar & grill - moderate frying
60xFkFzaTS-igsoK49s5RA,Alder & Birch Steakhouse,Steakhouse,1.2,Upscale steakhouse
D7U0.3WvSkK3YCZMA0FkDw,Amalfi,Italian,1.5,Italian - fried apps
MaxxO.lkRLmrUYTNse8jCQ,Angry Butcher,American Grill,1.6,American grill - burgers & apps
tharwIzyTAmvx0XzaM9G0Q,Bacchanal Buffet,Buffet,2.2,Large buffet - constant frying all stations
Ur1hrkipTVqqXULerTPFrQ,Bailiwick,American Casual,1.5,American casual dining
4z.trb7mRa-okwkjJYJJog,Banquets,Banquet,1.5,Banquet service - varied menu
Cnqm1-BHSreyWhLTKa7.VA,Banquets,Banquet,1.5,Banquet service
E9y4W3sbT.ytlzx0NZCj8A,Banquets,Banquet,1.5,Banquet service
tquE-rX0TSWpuW9ywcdUpQ,Banquets,Banquet,1.5,Banquet service
qoFASqVSTUSIsWuwk3VA.Q,Banquets,Banquet,1.5,Banquet service
uOKsik39QkWdUtNmonw.rw,Banquets,Banquet,1.5,Banquet service
45JwsR1uR7GvHtYuWcCR-Q,Banquets - Ballroom (Hot Kitchen),Banquet,1.5,Banquet hot kitchen
DjQopd2NSlC01i5QNNnO9Q,Banquets - Octavius,Banquet,1.5,Banquet service
wExThRDwSLms6qMj5nUHVA,Banquets - Promenade,Banquet,1.5,Banquet service
kQkDulZYT-qbOl7wtHSgGA,Bazaar Mar,Spanish Seafood,1.7,José Andrés seafood - heavy frying
2Y5xwOjmSSi6oYN60kbAiQ,Beijing Noodle,Chinese,1.4,Chinese noodles - stir-fry
NMPDOVtATym07E1Ukg4S-g,Bistro 57,French Bistro,1.3,French bistro - frites
uqlAE6NnS5aoOoQ47UNk-A,Bobby's Burger,Burgers,1.6,Bobby Flay burgers
dvuzA0vZRTeAMn98UiiWSQ,Bobby's Burger,Burgers,1.6,Bobby Flay burgers
QHaVDDa.QZCbxX.blWZVVw,Bowling Snack Bar,Snack Bar,1.6,Bowling alley - bar food
mqp3TtJ7SdKf9KI2rg7LNg,Bowling Snack Bar,Snack Bar,1.6,Bowling alley - bar food
sTyB4S0PRWi15--haabjTA,Bowling Snack Bar,Snack Bar,1.6,Bowling alley - bar food
dvfi0.fZQhGHUREsxaF-Hg,Bowling Snack Bar,Snack Bar,1.6,Bowling alley - bar food
o--dkGD8RvyQYIUANSLAhQ,Brasserie B,French Brasserie,1.3,French brasserie
zPl9jON1SRCMX9GN4fNVsQ,Brew Pub,Pub,1.7,Pub food - wings & fries
IbWtI316TmSS3hTdKoChWA,Buffet,Buffet,2.2,Casino buffet - all stations
h4M-O3QfTg2HuWIDQszcWA,Buffet,Buffet,2.2,Casino buffet
WGLJU8SMSCO4PLzPyMhPdg,Bugsy's Steakhouse,Steakhouse,1.2,Classic steakhouse
xVn86KaiSDuqHAm7zjb.7g,Cafe Americana,Cafe,1.2,Casual cafe
a-pQgyoGVST6rE..cJ9IU7g,Cafe Americano,Cafe,1.2,Casual cafe
GE4PwbvUT8alJDGLRZVg6g,California Noodle House,Chinese,1.4,Asian noodles - stir-fry
iMNetuKYSYuoPP6nrj8IKw,Canteen Food Hall - AttaBoy Burger,Burgers,1.6,Burger concept
nAIR1prJQCa3zs6PTf9hjA,Canteen Food Hall - Southland Burrito,Mexican,1.3,Mexican burrito concept
1aGx7sXOR4WSVZxdYKPhtg,Canteen Food Hall - Tender Crush,Burgers,1.6,Chicken tender concept - high frying
DMvgG2K4QbWuCqXUFJg-eg,Caramello,Bakery,0.6,Italian bakery/dessert
oV60nX08TnGyKb-d.4D88g,Carve Prime Rib Steakhouse,Steakhouse,1.2,Prime rib steakhouse
IrisAO0mSleLoOmq2QRpHw,Charleys Cheesesteak - Friday Dump,Cheesesteak,1.4,Cheesesteak + fries
ZB8hiP8yTLuQJN0kzKt2fQ,Charleys Cheesesteak - Monday Filter,Cheesesteak,1.4,Cheesesteak + fries
