column_name,data_type,total_rows,null_count,non_null_count,null_pct
target_1w,FLOAT64,2043,595,1448,29.12
target_1m,FLOAT64,2043,696,1347,34.07
target_3m,FLOAT64,2043,714,1329,34.95
target_6m,FLOAT64,2043,845,1198,41.36
feature_vix_stress,FLOAT64,2043,792,1251,38.77
feature_harvest_pace,FLOAT64,2043,792,1251,38.77
feature_china_relations,FLOAT64,2043,792,1251,38.77
feature_tariff_threat,FLOAT64,2043,792,1251,38.77
feature_geopolitical_volatility,FLOAT64,2043,792,1251,38.77
feature_biofuel_cascade,FLOAT64,2043,792,1251,38.77
feature_hidden_correlation,FLOAT64,2043,792,1251,38.77
feature_biofuel_ethanol,FLOAT64,2043,792,1251,38.77
big8_composite_score,FLOAT64,2043,792,1251,38.77
seasonal_index,FLOAT64,2043,792,1251,38.77
monthly_zscore,FLOAT64,2043,792,1251,38.77
yoy_change,FLOAT64,2043,792,1251,38.77
oil_price_per_cwt,FLOAT64,2043,792,1251,38.77
bean_price_per_bushel,FLOAT64,2043,792,1251,38.77
meal_price_per_ton,FLOAT64,2043,792,1251,38.77
crush_margin,FLOAT64,2043,792,1251,38.77
crush_margin_7d_ma,FLOAT64,2043,792,1251,38.77
crush_margin_30d_ma,FLOAT64,2043,792,1251,38.77
china_mentions,INT64,2043,792,1251,38.77
china_posts,INT64,2043,792,1251,38.77
import_posts,INT64,2043,792,1251,38.77
soy_posts,INT64,2043,792,1251,38.77
china_sentiment,FLOAT64,2043,792,1251,38.77
china_sentiment_volatility,FLOAT64,2043,792,1251,38.77
china_policy_impact,FLOAT64,2043,792,1251,38.77
import_demand_index,FLOAT64,2043,792,1251,38.77
china_posts_7d_ma,FLOAT64,2043,792,1251,38.77
china_sentiment_30d_ma,FLOAT64,2043,792,1251,38.77
brazil_month,INT64,2043,792,1251,38.77
export_seasonality_factor,FLOAT64,2043,792,1251,38.77
brazil_temperature_c,FLOAT64,2043,792,1251,38.77
brazil_precipitation_mm,FLOAT64,2043,792,1251,38.77
growing_degree_days,FLOAT64,2043,792,1251,38.77
export_capacity_index,FLOAT64,2043,792,1251,38.77
harvest_pressure,FLOAT64,2043,792,1251,38.77
brazil_precip_30d_ma,FLOAT64,2043,792,1251,38.77
brazil_temp_7d_ma,FLOAT64,2043,792,1251,38.77
trump_mentions,INT64,2043,792,1251,38.77
trumpxi_china_mentions,INT64,2043,792,1251,38.77
trump_xi_co_mentions,INT64,2043,792,1251,38.77
xi_mentions,INT64,2043,792,1251,38.77
tariff_mentions,INT64,2043,792,1251,38.77
co_mention_sentiment,FLOAT64,2043,792,1251,38.77
trumpxi_sentiment_volatility,FLOAT64,2043,792,1251,38.77
trumpxi_policy_impact,FLOAT64,2043,792,1251,38.77
max_policy_impact,FLOAT64,2043,792,1251,38.77
tension_index,FLOAT64,2043,792,1251,38.77
volatility_multiplier,FLOAT64,2043,792,1251,38.77
co_mentions_7d_ma,FLOAT64,2043,792,1251,38.77
trumpxi_volatility_30d_ma,FLOAT64,2043,792,1251,38.77
china_tariff_rate,FLOAT64,2043,792,1251,38.77
brazil_market_share,FLOAT64,2043,792,1251,38.77
us_export_impact,FLOAT64,2043,792,1251,38.77
tradewar_event_vol_mult,FLOAT64,2043,792,1251,38.77
trade_war_intensity,FLOAT64,2043,792,1251,38.77
trade_war_impact_score,FLOAT64,2043,792,1251,38.77
is_wasde_day,INT64,2043,792,1251,38.77
is_fomc_day,INT64,2043,792,1251,38.77
is_china_holiday,INT64,2043,792,1251,38.77
is_crop_report_day,INT64,2043,792,1251,38.77
is_stocks_day,INT64,2043,792,1251,38.77
is_planting_day,INT64,2043,792,1251,38.77
is_major_usda_day,INT64,2043,792,1251,38.77
event_impact_level,INT64,2043,792,1251,38.77
days_to_next_event,INT64,2043,792,1251,38.77
days_since_last_event,INT64,2043,792,1251,38.77
pre_event_window,INT64,2043,792,1251,38.77
post_event_window,INT64,2043,792,1251,38.77
event_vol_mult,FLOAT64,2043,792,1251,38.77
is_options_expiry,INT64,2043,792,1251,38.77
is_quarter_end,INT64,2043,792,1251,38.77
is_month_end,INT64,2043,792,1251,38.77
palm_lag1,FLOAT64,2043,792,1251,38.77
